 2460265.23000    45.730     0.033   Svetloe 3C295  2023
 2460265.26000    44.740     0.031   Svetloe 3C295  2023
 2460265.30000    48.730     0.038   Svetloe 3C295  2023
 2460283.01000    50.060     0.026   Svetloe 3C295  2023
 2460284.61000    51.080     0.034   Svetloe 3C295  2023
 2460286.00000    49.300     0.026   Svetloe 3C295  2023
 2460286.04000    51.430     0.025   Svetloe 3C295  2023
 2460288.94000    45.360     0.022   Svetloe 3C295  2023
 2460289.01000    46.170     0.022   Svetloe 3C295  2023
 2460289.02000    44.600     0.024   Svetloe 3C295  2023
 2460289.04000    44.710     0.026   Svetloe 3C295  2023
 2460289.05000    44.970     0.025   Svetloe 3C295  2023
 2460289.07000    43.560     0.025   Svetloe 3C295  2023
 
