Data retrieved from old Bach lists
Notice: 
    - exact frequencies are unknown, generic band indicators are used
    - elevations are unknown, a dummy value is used
 
 
        Name    HHMMSS       # MJD    Freq     Elev      Flux    e_Flux  
                                       MHz      deg        Jy        Jy
       0716+714 041033 54666.17400 22000.0   0.0000    3.0860    0.3430
       0716+714 031004 54687.13200 22000.0   0.0000    2.9610    0.4200
       0716+714 235248 54721.99500 22000.0   0.0000    2.4100    0.5130
       0716+714 213559 54778.90000 22000.0   0.0000    3.3850    0.4230
       0716+714 214857 54778.90900 22000.0   0.0000    3.0290    0.3850
       0716+714 132457 54911.55900 22000.0   0.0000    2.1350    0.4670
       0716+714 133921 54911.56900 22000.0   0.0000    1.9680    0.4110
       0716+714 123433 54952.52400 22000.0   0.0000    2.6580    0.6750
       0716+714 124731 54952.53300 22000.0   0.0000    1.1170    0.6670
       0716+714 040740 55032.17200 22000.0   0.0000    1.4660    0.3140
       0716+714 042038 55032.18100 22000.0   0.0000    1.0260    0.3180
       0716+714 110057 55098.45900 22000.0   0.0000    1.3120    0.2000
       0716+714 111521 55098.46900 22000.0   0.0000    1.1130    0.1770
       0716+714 225345 55120.95400 22000.0   0.0000    3.0570    0.6280
       0716+714 230809 55120.96400 22000.0   0.0000    1.9290    0.3430
       0716+714 175707 55208.74800 22000.0   0.0000    2.1620    0.2720
       0716+714 181131 55208.75800 22000.0   0.0000    1.5000    0.1930
       0716+714 133755 53826.56800 43000.0   0.0000    0.5830    0.4330
       0716+714 133628 53827.56700 43000.0   0.0000    0.4130    0.3370
       0716+714 113657 53852.48400 43000.0   0.0000    0.6940    0.5830
       0716+714 103628 53878.44200 43000.0   0.0000    0.5050    0.4300
       0716+714 103628 53879.44200 43000.0   0.0000    0.7150    0.4060
       0716+714 083657 53913.35900 43000.0   0.0000    0.4570    0.3450
       0716+714 073628 53928.31700 43000.0   0.0000    0.8350    0.4300
       0716+714 053657 53951.23400 43000.0   0.0000    1.3190    0.4380
       0716+714 053657 53952.23400 43000.0   0.0000    1.3670    0.4650
       0716+714 053657 53953.23400 43000.0   0.0000    1.4220    0.5600
       0716+714 043628 53972.19200 43000.0   0.0000    1.2240    0.5280
       0716+714 043628 53973.19200 43000.0   0.0000    1.1940    0.5060
       0716+714 023657 53998.10900 43000.0   0.0000    0.7120    0.3450
       0716+714 023657 53999.10900 43000.0   0.0000    1.0080    0.3620
       0716+714 023657 54000.10900 43000.0   0.0000    0.8740    0.3550
       0716+714 003559 54026.02500 43000.0   0.0000    0.6180    0.3880
       0716+714 083657 54277.35900 43000.0   0.0000    1.9850    0.2400
       0716+714 053657 54321.23400 43000.0   0.0000    1.4430    0.1970
       0716+714 053657 54322.23400 43000.0   0.0000    1.4340    0.1990
       0716+714 023657 54365.10900 43000.0   0.0000    2.0030    0.2450
       0716+714 023657 54367.10900 43000.0   0.0000    1.8600    0.2270
       0716+714 013628 54391.06700 43000.0   0.0000    3.8560    0.4250
       0716+714 222038 54421.93100 43000.0   0.0000    2.2050    0.3020
       0716+714 222204 54423.93200 43000.0   0.0000    2.0180    0.2650
       0716+714 222204 54424.93200 43000.0   0.0000    2.0780    0.2600
       0716+714 222204 54437.93200 43000.0   0.0000    1.1290    0.2360
       0716+714 192204 54479.80700 43000.0   0.0000    1.4250    0.2240
       0716+714 192038 54480.80600 43000.0   0.0000    1.4110    0.2220
       0716+714 172233 54505.72400 43000.0   0.0000    0.7710    0.1150
       0716+714 171940 54506.72200 43000.0   0.0000    1.0350    0.1690
       0716+714 155150 54521.66100 43000.0   0.0000    0.8220    0.1220
       0716+714 162204 54521.68200 43000.0   0.0000    0.8310    0.1180
       0716+714 155150 54522.66100 43000.0   0.0000    0.7500    0.1050
       0716+714 162204 54522.68200 43000.0   0.0000    0.7540    0.0980
       0716+714 155150 54523.66100 43000.0   0.0000    1.0220    0.1340
       0716+714 162204 54523.68200 43000.0   0.0000    0.9190    0.1170
       0716+714 125150 54556.53600 43000.0   0.0000    1.4130    0.1730
       0716+714 132038 54556.55600 43000.0   0.0000    1.4640    0.1810
       0716+714 125150 54557.53600 43000.0   0.0000    1.3990    0.1920
       0716+714 132204 54557.55700 43000.0   0.0000    1.4700    0.1660
       0716+714 110350 54580.46100 43000.0   0.0000    1.8620    0.2360
       0716+714 091716 54595.38700 43000.0   0.0000    1.5860    0.1900
       0716+714 103921 54595.44400 43000.0   0.0000    1.7480    0.2180
       0716+714 114955 54596.49300 43000.0   0.0000    1.6220    0.1990
       0716+714 085121 54611.36900 43000.0   0.0000    1.7610    0.1960
       0716+714 092136 54611.39000 43000.0   0.0000    1.6060    0.1890
       0716+714 085121 54612.36900 43000.0   0.0000    1.7870    0.2160
       0716+714 092136 54612.39000 43000.0   0.0000    1.6390    0.2130
       0716+714 065024 54642.28500 43000.0   0.0000    2.2430    0.3430
       0716+714 072331 54642.30800 43000.0   0.0000    2.4090    0.3750
       0716+714 065150 54643.28600 43000.0   0.0000    2.3760    0.3230
       0716+714 072204 54643.30700 43000.0   0.0000    2.4620    0.3540
       0716+714 055121 54659.24400 43000.0   0.0000    3.4780    0.5770
       0716+714 062136 54659.26500 43000.0   0.0000    3.1690    0.5140
       0716+714 055121 54660.24400 43000.0   0.0000    3.3560    0.5420
       0716+714 062136 54660.26500 43000.0   0.0000    3.1320    0.5130
       0716+714 045219 54680.20300 43000.0   0.0000    5.5370    0.6100
       0716+714 052233 54680.22400 43000.0   0.0000    5.6010    0.6260
       0716+714 045219 54681.20300 43000.0   0.0000    5.5510    0.6350
       0716+714 052107 54681.22300 43000.0   0.0000    5.1250    0.5750
       0716+714 045219 54682.20300 43000.0   0.0000    4.8720    0.5540
       0716+714 052107 54682.22300 43000.0   0.0000    4.7650    0.5480
       0716+714 030711 54708.13000 43000.0   0.0000    4.2890    0.4960
       0716+714 032136 54708.14000 43000.0   0.0000    4.2350    0.5040
       0716+714 031423 54709.13500 43000.0   0.0000    3.3780    0.3870
       0716+714 030711 54710.13000 43000.0   0.0000    2.9330    0.3460
       0716+714 032136 54710.14000 43000.0   0.0000    2.9570    0.3740
       0716+714 013628 54744.06700 43000.0   0.0000    3.4220    0.5520
       0716+714 013628 54745.06700 43000.0   0.0000    2.8810    0.4560
       0716+714 222204 54779.93200 43000.0   0.0000    3.5940    0.5180
       0716+714 222204 54780.93200 43000.0   0.0000    3.5160    0.5000
       0716+714 222204 54781.93200 43000.0   0.0000    3.0240    0.4420
       0716+714 222204 54807.93200 43000.0   0.0000    2.2430    0.3160
       0716+714 222204 54808.93200 43000.0   0.0000    2.2770    0.3520
       0716+714 222204 54809.93200 43000.0   0.0000    2.3890    0.3830
       0716+714 192204 54840.80700 43000.0   0.0000    3.9620    0.6800
       0716+714 192204 54841.80700 43000.0   0.0000    3.4940    0.6060
       0716+714 192038 54842.80600 43000.0   0.0000    3.4720    0.6060
       0716+714 172107 54878.72300 43000.0   0.0000    3.3170    0.5340
       0716+714 172107 54879.72300 43000.0   0.0000    3.3560    0.6450
       0716+714 125150 54929.53600 43000.0   0.0000    2.5600    0.2860
       0716+714 132204 54929.55700 43000.0   0.0000    2.6070    0.3000
       0716+714 125150 54930.53600 43000.0   0.0000    2.8670    0.3240
       0716+714 132204 54930.55700 43000.0   0.0000    2.7180    0.3200
       0716+714 125316 54931.53700 43000.0   0.0000    2.9840    0.3440
       0716+714 132204 54931.55700 43000.0   0.0000    2.7410    0.3120
       0716+714 095024 54959.41000 43000.0   0.0000    1.3270    0.2000
       0716+714 102204 54959.43200 43000.0   0.0000    1.4600    0.2930
       0716+714 095150 54961.41100 43000.0   0.0000    1.0660    0.1510
       0716+714 102204 54961.43200 43000.0   0.0000    1.3270    0.1820
       0716+714 065150 55009.28600 43000.0   0.0000    1.1870    0.1730
       0716+714 072204 55009.30700 43000.0   0.0000    1.4150    0.2310
       0716+714 065150 55011.28600 43000.0   0.0000    1.0300    0.1610
       0716+714 071912 55011.30500 43000.0   0.0000    1.4420    0.2650
       0716+714 212848 55150.89500 43000.0   0.0000    4.6630    0.6350
       0716+714 223335 55150.94000 43000.0   0.0000    3.9980    0.5220
       0716+714 224800 55150.95000 43000.0   0.0000    4.1560    0.5210
       0716+714 231648 55150.97000 43000.0   0.0000    4.3390    0.5490
       0716+714 205540 55151.87200 43000.0   0.0000    5.0450    0.6380
       0716+714 213726 55151.90100 43000.0   0.0000    5.1210    0.6160
       0716+714 224047 55151.94500 43000.0   0.0000    4.5650    0.5750
       0716+714 225512 55151.95500 43000.0   0.0000    4.9840    0.5850
       0716+714 232526 55151.97600 43000.0   0.0000    4.9130    0.6000
       0716+714 212848 55152.89500 43000.0   0.0000    5.7010    0.7140
       0716+714 223209 55152.93900 43000.0   0.0000    4.9060    0.5980
       0716+714 224800 55152.95000 43000.0   0.0000    5.0570    0.6310
       0716+714 231648 55152.97000 43000.0   0.0000    5.0100    0.6390
       0716+714 234702 55152.99100 43000.0   0.0000    5.1370    0.6220
       0716+714 201940 55157.84700 43000.0   0.0000    5.5030    0.6530
       0716+714 215609 55157.91400 43000.0   0.0000    5.2330    0.6170
       0716+714 223335 55157.94000 43000.0   0.0000    4.9130    0.6290
       0716+714 233823 55157.98500 43000.0   0.0000    4.7730    0.5890
       0716+714 200809 55161.83900 43000.0   0.0000    6.0220    0.9110
       0716+714 214311 55161.90500 43000.0   0.0000    5.9340    0.8970
       0716+714 222331 55161.93300 43000.0   0.0000    5.7100    0.8540
       0716+714 214019 55163.90300 43000.0   0.0000    7.3780    1.1010
       0716+714 222204 55163.93200 43000.0   0.0000    6.8910    0.9320
       0716+714 225219 55163.95300 43000.0   0.0000    6.6480    0.9260
       0716+714 200809 55164.83900 43000.0   0.0000    7.4120    0.9780
       0716+714 214145 55164.90400 43000.0   0.0000    6.7910    0.8810
       0716+714 222331 55164.93300 43000.0   0.0000    6.8590    0.8920
       0716+714 225345 55164.95400 43000.0   0.0000    6.5680    0.8840
       0716+714 200809 55165.83900 43000.0   0.0000    6.7360    0.8800
       0716+714 214145 55165.90400 43000.0   0.0000    6.8380    0.8860
       0716+714 212721 55166.89400 43000.0   0.0000    6.6060    0.8680
       0716+714 221033 55166.92400 43000.0   0.0000    6.6410    0.9010
       0716+714 222331 55167.93300 43000.0   0.0000    7.2520    1.0730
       0716+714 222331 55168.93300 43000.0   0.0000    7.1160    1.0540
       0716+714 190028 55174.79200 43000.0   0.0000    8.3660    1.0200
       0716+714 203531 55174.85800 43000.0   0.0000    8.4300    1.0640
       0716+714 211716 55174.88700 43000.0   0.0000    8.4370    1.0810
       0716+714 221745 55174.92900 43000.0   0.0000    8.7970    1.1240
       0716+714 190740 55175.79700 43000.0   0.0000    8.2030    1.0070
       0716+714 204243 55175.86300 43000.0   0.0000    8.0280    1.0070
       0716+714 212428 55175.89200 43000.0   0.0000    7.9160    1.0060
       0716+714 222457 55175.93400 43000.0   0.0000    8.3700    1.0760
       0716+714 185609 55176.78900 43000.0   0.0000    8.5850    1.0550
       0716+714 204828 55176.86700 43000.0   0.0000    8.0300    1.0090
       0716+714 221159 55176.92500 43000.0   0.0000    8.7320    1.1220
       0716+714 204955 55178.86800 43000.0   0.0000    8.0640    1.0250
       0716+714 210000 55178.87500 43000.0   0.0000    8.3410    1.0840
       0716+714 213307 55178.89800 43000.0   0.0000    8.9190    1.1360
       0716+714 223502 55178.94100 43000.0   0.0000    8.4970    1.0990
       0716+714 190447 55181.79500 43000.0   0.0000    9.4060    1.1840
       0716+714 203823 55181.86000 43000.0   0.0000    9.2090    1.1860
       0716+714 193502 55184.81600 43000.0   0.0000   13.0680    1.5410
       0716+714 202107 55184.84800 43000.0   0.0000   10.9740    1.3470
       0716+714 212136 55184.89000 43000.0   0.0000   11.3570    1.3970
       0716+714 181257 55185.75900 43000.0   0.0000   10.8940    1.2880
       0716+714 195931 55185.83300 43000.0   0.0000   10.6910    1.3000
       0716+714 212848 55185.89500 43000.0   0.0000   10.2410    1.2670
       0716+714 182009 55186.76400 43000.0   0.0000   11.9020    1.4350
       0716+714 195219 55186.82800 43000.0   0.0000   11.5420    1.4430
       0716+714 200223 55186.83500 43000.0   0.0000   11.0270    1.3940
       0716+714 203531 55186.85800 43000.0   0.0000   11.6810    1.4800
       0716+714 213559 55186.90000 43000.0   0.0000   12.8730    1.6450
       0716+714 182721 55187.76900 43000.0   0.0000   10.4700    1.4330
       0716+714 200809 55187.83900 43000.0   0.0000   10.8620    1.3390
       0716+714 214731 55187.90800 43000.0   0.0000   10.9660    1.4320
       0716+714 180419 55188.75300 43000.0   0.0000    9.1400    1.0960
       0716+714 201940 55188.84700 43000.0   0.0000    8.8480    1.1080
       0716+714 212009 55188.88900 43000.0   0.0000    9.7640    1.1980
       0716+714 180838 55189.75600 43000.0   0.0000    8.5150    1.0410
       0716+714 202819 55189.85300 43000.0   0.0000    9.0290    1.1400
       0716+714 212555 55189.89300 43000.0   0.0000    9.6590    1.2440
       0716+714 192204 55209.80700 43000.0   0.0000    2.7990    0.3230
       0716+714 155443 55213.66300 43000.0   0.0000    2.5350    0.3130
       0716+714 181257 55213.75900 43000.0   0.0000    3.0880    0.3740
       0716+714 191326 55213.80100 43000.0   0.0000    3.2440    0.3740
       0716+714 192204 55214.80700 43000.0   0.0000    2.9840    0.3610
       0716+714 021940 53355.09700  5000.0   0.0000    1.0420    0.0240
       0716+714 035609 53355.16400  5000.0   0.0000    1.0660    0.0310
       0716+714 052526 53355.22600  5000.0   0.0000    1.0450    0.0350
       0716+714 051228 53357.21700  5000.0   0.0000    1.1480    0.1180
       0716+714 015931 53358.08300  5000.0   0.0000    1.0580    0.0450
       0716+714 034019 53358.15300  5000.0   0.0000    1.0730    0.0770
       0716+714 051228 53358.21700  5000.0   0.0000    1.0640    0.0990
       0716+714 015931 53360.08300  5000.0   0.0000    1.1200    0.0630
       0716+714 034019 53360.15300  5000.0   0.0000    1.1050    0.0630
       0716+714 184019 53383.77800  5000.0   0.0000    1.0950    0.0180
       0716+714 190155 53384.79300  5000.0   0.0000    1.0930    0.0180
       0716+714 154311 53444.65500  5000.0   0.0000    0.8840    0.0160
       0716+714 154311 53445.65500  5000.0   0.0000    0.8690    0.0160
       0716+714 173657 53454.73400  5000.0   0.0000    0.6520    0.0800
       0716+714 212428 53454.89200  5000.0   0.0000    0.6130    0.0800
       0716+714 192204 53456.80700  5000.0   0.0000    0.6290    0.0710
       0716+714 132331 53457.55800  5000.0   0.0000    0.6470    0.0830
       0716+714 192916 53477.81200  5000.0   0.0000    0.5400    0.0760
       0716+714 215609 53478.91400  5000.0   0.0000    0.5610    0.0760
       0716+714 183307 53510.77300  5000.0   0.0000    0.5370    0.1030
       0716+714 023404 53511.10700  5000.0   0.0000    0.5790    0.0780
       0716+714 084116 53511.36200  5000.0   0.0000    0.5800    0.0770
       0716+714 155443 53511.66300  5000.0   0.0000    0.6120    0.0880
       0716+714 133628 53543.56700  5000.0   0.0000    0.6960    0.0840
       0716+714 004604 53544.03200  5000.0   0.0000    0.7270    0.0980
       0716+714 081648 53544.34500  5000.0   0.0000    0.7640    0.1000
       0716+714 180252 53544.75200  5000.0   0.0000    0.7170    0.0850
       0716+714 081102 53577.34100  5000.0   0.0000    0.8490    0.1000
       0716+714 193755 53577.81800  5000.0   0.0000    0.8480    0.0840
       0716+714 023823 53578.11000  5000.0   0.0000    0.8410    0.0940
       0716+714 081940 53578.34700  5000.0   0.0000    0.8850    0.0750
       0716+714 192916 53587.81200  5000.0   0.0000    0.8360    0.0980
       0716+714 230809 53587.96400  5000.0   0.0000    0.8210    0.0830
       0716+714 174536 53605.74000  5000.0   0.0000    0.7530    0.0800
       0716+714 012624 53606.06000  5000.0   0.0000    0.7920    0.0860
       0716+714 230809 53638.96400  5000.0   0.0000    0.8630    0.0770
       0716+714 032555 53639.14300  5000.0   0.0000    0.8840    0.0710
       0716+714 083111 53639.35500  5000.0   0.0000    0.9640    0.0790
       0716+714 134926 53639.57600  5000.0   0.0000    0.9710    0.0900
       0716+714 014633 53640.07400  5000.0   0.0000    0.8520    0.0800
       0716+714 062848 53640.27000  5000.0   0.0000    0.9560    0.0780
       0716+714 224633 53723.94900  5000.0   0.0000    0.6990    0.0670
       0716+714 072457 53724.30900  5000.0   0.0000    0.7260    0.0960
       0716+714 005150 53764.03600  5000.0   0.0000    0.8240    0.0890
       0716+714 075052 53766.32700  5000.0   0.0000    0.8100    0.0860
       0716+714 185902 53770.79100  5000.0   0.0000    0.8100    0.0770
       0716+714 192204 53770.80700  5000.0   0.0000    0.7540    0.0740
       0716+714 192457 53826.80900  5000.0   0.0000    0.6280    0.0720
       0716+714 193628 53826.81700  5000.0   0.0000    0.8220    0.0760
       0716+714 171355 53851.71800  5000.0   0.0000    0.6220    0.0820
       0716+714 172652 53851.72700  5000.0   0.0000    0.6970    0.0750
       0716+714 111102 53974.46600  5000.0   0.0000    0.9430    0.1080
       0716+714 112400 53974.47500  5000.0   0.0000    0.9690    0.0710
       0716+714 081940 54012.34700  5000.0   0.0000    0.7570    0.0890
       0716+714 083404 54012.35700  5000.0   0.0000    0.8220    0.0760
       0716+714 085833 54023.37400  5000.0   0.0000    0.8690    0.0530
       0716+714 091131 54023.38300  5000.0   0.0000    0.9090    0.0580
       0716+714 004857 54200.03400  5000.0   0.0000    0.6840    0.0820
       0716+714 010155 54200.04300  5000.0   0.0000    0.7220    0.0950
       0716+714 204955 54289.86800  5000.0   0.0000    0.7790    0.1020
       0716+714 210419 54289.87800  5000.0   0.0000    0.8470    0.1190
       0716+714 154019 54296.65300  5000.0   0.0000    0.7250    0.1050
       0716+714 155316 54296.66200  5000.0   0.0000    0.6920    0.1160
       0716+714 084243 54374.36300  5000.0   0.0000    0.8210    0.0640
       0716+714 085707 54374.37300  5000.0   0.0000    0.7280    0.0750
       0716+714 175707 54563.74800  5000.0   0.0000    0.7650    0.0590
       0716+714 181004 54563.75700  5000.0   0.0000    0.6740    0.0620
       0716+714 234116 54723.98700  5000.0   0.0000    1.3060    0.1560
       0716+714 175121 54912.74400  5000.0   0.0000    1.2210    0.3020
       0716+714 171355 54953.71800  5000.0   0.0000    1.2820    0.4970
       0716+714 172819 54953.72800  5000.0   0.0000    1.1570    0.3580
       0716+714 132624 55002.56000  5000.0   0.0000    1.0270    0.3800
       0716+714 134047 55002.57000  5000.0   0.0000    1.0160    0.3650
       0716+714 095443 55034.41300  5000.0   0.0000    0.8630    0.1980
       0716+714 100907 55034.42300  5000.0   0.0000    1.0080    0.3270
       0716+714 102331 55062.43300  5000.0   0.0000    0.8250    0.1880
       0716+714 103628 55062.44200  5000.0   0.0000    0.8900    0.2550
       0716+714 103921 55099.44400  5000.0   0.0000    0.8470    0.0840
       0716+714 105345 55099.45400  5000.0   0.0000    0.8550    0.0750
       0716+714 003726 55122.02600  5000.0   0.0000    1.5080    0.0870
       0716+714 005150 55122.03600  5000.0   0.0000    1.0250    0.0680
       0716+714 213559 55209.90000  5000.0   0.0000    1.4760    0.2260
       0716+714 214857 55209.90900  5000.0   0.0000    1.5580    0.1450
       0716+714 040740 53349.17200  8000.0   0.0000    1.3640    0.0770
       0716+714 070155 53349.29300  8000.0   0.0000    1.2800    0.1110
       0716+714 091716 53349.38700  8000.0   0.0000    1.5470    0.0660
       0716+714 110350 53349.46100  8000.0   0.0000    1.4720    0.0940
       0716+714 114955 53349.49300  8000.0   0.0000    1.5060    0.0830
       0716+714 193921 53349.81900  8000.0   0.0000    1.3710    0.0830
       0716+714 221745 53349.92900  8000.0   0.0000    1.4110    0.0650
       0716+714 001004 53350.00700  8000.0   0.0000    1.3790    0.0590
       0716+714 021355 53350.09300  8000.0   0.0000    1.3670    0.0600
       0716+714 042750 53350.18600  8000.0   0.0000    1.3490    0.0610
       0716+714 071452 53350.30200  8000.0   0.0000    1.5060    0.0670
       0716+714 102457 53350.43400  8000.0   0.0000    1.4300    0.0760
       0716+714 131745 53350.55400  8000.0   0.0000    1.4200    0.0860
       0716+714 190028 53350.79200  8000.0   0.0000    1.3920    0.0710
       0716+714 232400 53350.97500  8000.0   0.0000    1.5040    0.0630
       0716+714 011326 53351.05100  8000.0   0.0000    1.3970    0.0630
       0716+714 034438 53351.15600  8000.0   0.0000    1.3410    0.0630
       0716+714 063014 53351.27100  8000.0   0.0000    1.2810    0.0630
       0716+714 093433 53351.39900  8000.0   0.0000    1.4220    0.0760
       0716+714 122555 53351.51800  8000.0   0.0000    1.4500    0.1010
       0716+714 154311 53351.65500  8000.0   0.0000    1.4140    0.0730
       0716+714 184311 53351.78000  8000.0   0.0000    1.4630    0.0800
       0716+714 204955 53351.86800  8000.0   0.0000    1.4280    0.0580
       0716+714 231648 53351.97000  8000.0   0.0000    1.4200    0.0610
       0716+714 010614 53352.04600  8000.0   0.0000    1.2740    0.0590
       0716+714 031550 53352.13600  8000.0   0.0000    1.3230    0.0620
       0716+714 122136 53352.51500  8000.0   0.0000    1.3940    0.0880
       0716+714 180545 53382.75400  8000.0   0.0000    1.1830    0.0380
       0716+714 185902 53382.79100  8000.0   0.0000    1.2400    0.0400
       0716+714 195345 53382.82900  8000.0   0.0000    1.2910    0.0410
       0716+714 214438 53387.90600  8000.0   0.0000    1.2260    0.0720
       0716+714 171228 53412.71700  8000.0   0.0000    0.9310    0.0280
       0716+714 181257 53412.75900  8000.0   0.0000    0.9720    0.0290
       0716+714 024955 53418.11800  8000.0   0.0000    0.8980    0.0640
       0716+714 141228 53451.59200  8000.0   0.0000    0.7180    0.0120
       0716+714 235707 53456.99800  8000.0   0.0000    0.6400    0.0870
       0716+714 092009 53457.38900  8000.0   0.0000    0.6520    0.0960
       0716+714 124311 53463.53000  8000.0   0.0000    0.5380    0.0170
       0716+714 134507 53463.57300  8000.0   0.0000    0.5830    0.0130
       0716+714 134507 53464.57300  8000.0   0.0000    0.5940    0.0420
       0716+714 000545 53478.00400  8000.0   0.0000    0.4680    0.0850
       0716+714 172652 53478.72700  8000.0   0.0000    0.4450    0.0700
       0716+714 221452 53510.92700  8000.0   0.0000    0.6180    0.0730
       0716+714 120545 53511.50400  8000.0   0.0000    0.5650    0.0700
       0716+714 071452 53545.30200  8000.0   0.0000    0.7220    0.1250
       0716+714 211423 53576.88500  8000.0   0.0000    1.0190    0.1490
       0716+714 235833 53577.99900  8000.0   0.0000    0.9240    0.0970
       0716+714 213726 53587.90100  8000.0   0.0000    0.8280    0.1590
       0716+714 002428 53588.01700  8000.0   0.0000    0.8660    0.1150
       0716+714 120838 53605.50600  8000.0   0.0000    0.9520    0.0750
       0716+714 221033 53605.92400  8000.0   0.0000    0.9430    0.0930
       0716+714 173531 53637.73300  8000.0   0.0000    1.1820    0.0910
       0716+714 143823 53698.61000  8000.0   0.0000    0.6050    0.1500
       0716+714 214604 53698.90700  8000.0   0.0000    0.6260    0.0650
       0716+714 200057 53720.83400  8000.0   0.0000    0.8040    0.0630
       0716+714 003307 53722.02300  8000.0   0.0000    0.8130    0.0560
       0716+714 192038 53741.80600  8000.0   0.0000    0.8030    0.0190
       0716+714 081228 53743.34200  8000.0   0.0000    0.9150    0.0750
       0716+714 191745 53771.80400  8000.0   0.0000    0.7800    0.0870
       0716+714 194047 53771.82000  8000.0   0.0000    0.8810    0.0740
       0716+714 180545 53804.75400  8000.0   0.0000    0.6480    0.0650
       0716+714 182428 53804.76700  8000.0   0.0000    0.6240    0.0640
       0716+714 085540 53835.37200  8000.0   0.0000    0.8070    0.1110
       0716+714 091004 53835.38200  8000.0   0.0000    0.7880    0.1020
       0716+714 112819 53835.47800  8000.0   0.0000    0.6690    0.0830
       0716+714 124731 53835.53300  8000.0   0.0000    0.8240    0.1300
       0716+714 130028 53835.54200  8000.0   0.0000    0.6960    0.0940
       0716+714 152428 53835.64200  8000.0   0.0000    0.7120    0.0840
       0716+714 153726 53835.65100  8000.0   0.0000    0.6470    0.0820
       0716+714 181131 53835.75800  8000.0   0.0000    0.6790    0.1710
       0716+714 191619 53835.80300  8000.0   0.0000    0.5280    0.1510
       0716+714 204409 53835.86400  8000.0   0.0000    0.5970    0.1220
       0716+714 205833 53835.87400  8000.0   0.0000    0.7520    0.1000
       0716+714 220155 53835.91800  8000.0   0.0000    0.7970    0.1310
       0716+714 221452 53835.92700  8000.0   0.0000    0.6280    0.0940
       0716+714 005443 53836.03800  8000.0   0.0000    0.7200    0.1820
       0716+714 021355 53836.09300  8000.0   0.0000    0.7520    0.1550
       0716+714 033726 53836.15100  8000.0   0.0000    0.6630    0.1820
       0716+714 035024 53836.16000  8000.0   0.0000    0.7000    0.1120
       0716+714 045512 53836.20500  8000.0   0.0000    0.5700    0.1080
       0716+714 050809 53836.21400  8000.0   0.0000    0.5830    0.1110
       0716+714 062136 53836.26500  8000.0   0.0000    0.6850    0.1000
       0716+714 063433 53836.27400  8000.0   0.0000    0.6030    0.1010
       0716+714 074800 53836.32500  8000.0   0.0000    0.7330    0.1150
       0716+714 080057 53836.33400  8000.0   0.0000    0.6670    0.1030
       0716+714 090126 53836.37600  8000.0   0.0000    0.7130    0.1320
       0716+714 122848 53836.52000  8000.0   0.0000    0.7220    0.1880
       0716+714 134214 53836.57100  8000.0   0.0000    0.5600    0.1970
       0716+714 145833 53836.62400  8000.0   0.0000    0.6920    0.1050
       0716+714 151131 53836.63300  8000.0   0.0000    0.6210    0.1330
       0716+714 161912 53836.68000  8000.0   0.0000    0.6080    0.1010
       0716+714 163335 53836.69000  8000.0   0.0000    0.7450    0.1090
       0716+714 175248 53836.74500  8000.0   0.0000    0.7560    0.0990
       0716+714 180545 53836.75400  8000.0   0.0000    0.7040    0.1000
       0716+714 203950 53836.86100  8000.0   0.0000    0.6310    0.1660
       0716+714 213726 53836.90100  8000.0   0.0000    0.7990    0.1040
       0716+714 215024 53836.91000  8000.0   0.0000    0.6930    0.1570
       0716+714 232233 53836.97400  8000.0   0.0000    0.6740    0.0980
       0716+714 233531 53836.98300  8000.0   0.0000    0.6470    0.0960
       0716+714 004857 53837.03400  8000.0   0.0000    0.6750    0.1270
       0716+714 033140 53837.14700  8000.0   0.0000    0.7440    0.0970
       0716+714 034604 53837.15700  8000.0   0.0000    0.6150    0.1070
       0716+714 045052 53837.20200  8000.0   0.0000    0.6710    0.1030
       0716+714 050350 53837.21100  8000.0   0.0000    0.7250    0.1390
       0716+714 061716 53837.26200  8000.0   0.0000    0.7540    0.1130
       0716+714 063014 53837.27100  8000.0   0.0000    0.7390    0.0950
       0716+714 180711 53850.75500  8000.0   0.0000    0.5100    0.1320
       0716+714 165638 53860.70600  8000.0   0.0000    0.6530    0.0540
       0716+714 145540 53907.62200  8000.0   0.0000    0.7870    0.1070
       0716+714 115121 53956.49400  8000.0   0.0000    1.0330    0.0800
       0716+714 111814 53973.47100  8000.0   0.0000    0.8690    0.0920
       0716+714 082819 54011.35300  8000.0   0.0000    0.8670    0.0820
       0716+714 081521 54022.34400  8000.0   0.0000    0.7590    0.1250
       0716+714 052652 54080.22700  8000.0   0.0000    0.9290    0.1190
       0716+714 005736 54150.04000  8000.0   0.0000    1.1270    0.1030
       0716+714 151716 54199.63700  8000.0   0.0000    0.8540    0.0510
       0716+714 153726 54220.65100  8000.0   0.0000    0.8200    0.1410
       0716+714 153726 54220.65100  8000.0   0.0000    0.8200    0.1410
       0716+714 080223 54275.33500  8000.0   0.0000    1.0990    0.0640
       0716+714 073921 54289.31900  8000.0   0.0000    0.7920    0.0570
       0716+714 091423 54295.38500  8000.0   0.0000    0.9750    0.0680
       0716+714 081102 54324.34100  8000.0   0.0000    1.0480    0.0760
       0716+714 064438 54344.28100  8000.0   0.0000    0.9960    0.0710
       0716+714 034145 54373.15400  8000.0   0.0000    1.0750    0.0630
       0716+714 005024 54421.03500  8000.0   0.0000    1.2630    0.0900
       0716+714 233531 54434.98300  8000.0   0.0000    1.0420    0.0690
