Data retrieved from old Bach lists
Notice: 
    - exact frequencies are unknown, generic band indicators are used
    - elevations are unknown, a dummy value is used
 
 
        Name    HHMMSS       # MJD    Freq     Elev      Flux    e_Flux  
                                       MHz      deg        Jy        Jy
       0219+428 000545 53972.00400 43000.0   0.0000    1.3130    0.4700
       0219+428 000545 53973.00400 43000.0   0.0000    1.0480    0.4550
       0219+428 203657 53998.85900 43000.0   0.0000    1.2640    0.3860
       0219+428 220614 53998.92100 43000.0   0.0000    1.1210    0.3740
       0219+428 203657 53999.85900 43000.0   0.0000    1.2160    0.3710
       0219+428 220614 53999.92100 43000.0   0.0000    1.4070    0.4140
       0219+428 203657 54000.85900 43000.0   0.0000    1.5110    0.4170
       0219+428 183559 54025.77500 43000.0   0.0000    1.1200    0.4830
       0219+428 195052 54025.82700 43000.0   0.0000    1.0390    0.5540
       0219+428 195219 54026.82800 43000.0   0.0000    1.2040    0.5310
       0219+428 023657 54277.10900 43000.0   0.0000    1.1720    0.1470
       0219+428 040740 54277.17200 43000.0   0.0000    1.0050    0.1090
       0219+428 233531 54320.98300 43000.0   0.0000    0.8740    0.2000
       0219+428 010614 54321.04600 43000.0   0.0000    1.0260    0.1580
       0219+428 233404 54321.98200 43000.0   0.0000    0.8030    0.2080
       0219+428 010614 54322.04600 43000.0   0.0000    0.9000    0.1500
       0219+428 220614 54364.92100 43000.0   0.0000    1.0990    0.1380
       0219+428 220614 54365.92100 43000.0   0.0000    0.9390    0.1420
       0219+428 203657 54366.85900 43000.0   0.0000    0.8990    0.1260
       0219+428 220614 54366.92100 43000.0   0.0000    0.9720    0.1290
       0219+428 193628 54390.81700 43000.0   0.0000    1.1010    0.1340
       0219+428 210711 54390.88000 43000.0   0.0000    1.0340    0.1370
       0219+428 182136 54421.76500 43000.0   0.0000    1.1640    0.1870
       0219+428 165219 54422.70300 43000.0   0.0000    0.8810    0.1530
       0219+428 182302 54422.76600 43000.0   0.0000    1.0370    0.1650
       0219+428 165052 54423.70200 43000.0   0.0000    1.0670    0.1640
       0219+428 182136 54423.76500 43000.0   0.0000    1.2590    0.2060
       0219+428 165052 54424.70200 43000.0   0.0000    0.8850    0.1280
       0219+428 182136 54424.76500 43000.0   0.0000    1.2040    0.1720
       0219+428 155150 54435.66100 43000.0   0.0000    1.5230    0.4670
       0219+428 172107 54435.72300 43000.0   0.0000    1.1460    0.2350
       0219+428 165219 54436.70300 43000.0   0.0000    1.0630    0.2410
       0219+428 182136 54436.76500 43000.0   0.0000    1.2800    0.2140
       0219+428 165219 54437.70300 43000.0   0.0000    1.0620    0.2230
       0219+428 182136 54437.76500 43000.0   0.0000    1.3740    0.2380
       0219+428 135219 54479.57800 43000.0   0.0000    1.2820    0.2580
       0219+428 152302 54479.64100 43000.0   0.0000    1.3300    0.2400
       0219+428 135219 54480.57800 43000.0   0.0000    1.1250    0.2010
       0219+428 152136 54480.64000 43000.0   0.0000    1.1890    0.1940
       0219+428 105052 54521.45200 43000.0   0.0000    0.8820    0.1310
       0219+428 122009 54521.51400 43000.0   0.0000    0.9190    0.1400
       0219+428 105219 54522.45300 43000.0   0.0000    0.8050    0.1100
       0219+428 122136 54522.51500 43000.0   0.0000    0.8710    0.1130
       0219+428 105052 54523.45200 43000.0   0.0000    1.0750    0.1360
       0219+428 075219 54556.32800 43000.0   0.0000    1.0770    0.1310
       0219+428 092136 54556.39000 43000.0   0.0000    1.2300    0.1510
       0219+428 075052 54557.32700 43000.0   0.0000    1.2060    0.1960
       0219+428 092302 54557.39100 43000.0   0.0000    1.2340    0.1690
       0219+428 055121 54580.24400 43000.0   0.0000    1.2030    0.1670
       0219+428 072204 54580.30700 43000.0   0.0000    1.2400    0.1580
       0219+428 055121 54581.24400 43000.0   0.0000    1.0890    0.1340
       0219+428 045345 54597.20400 43000.0   0.0000    1.2030    0.1650
       0219+428 062136 54597.26500 43000.0   0.0000    1.0310    0.1630
       0219+428 035150 54611.16100 43000.0   0.0000    1.0650    0.1360
       0219+428 052107 54611.22300 43000.0   0.0000    1.0770    0.1310
       0219+428 035150 54612.16100 43000.0   0.0000    1.0430    0.1310
       0219+428 052107 54612.22300 43000.0   0.0000    1.0230    0.1230
       0219+428 035150 54613.16100 43000.0   0.0000    1.2010    0.1650
       0219+428 052107 54613.22300 43000.0   0.0000    0.9900    0.1180
       0219+428 032009 54642.13900 43000.0   0.0000    1.0690    0.2450
       0219+428 015052 54643.07700 43000.0   0.0000    1.1480    0.1570
       0219+428 032136 54643.14000 43000.0   0.0000    1.1120    0.1620
       0219+428 015219 54644.07800 43000.0   0.0000    1.1110    0.1570
       0219+428 032136 54644.14000 43000.0   0.0000    1.1270    0.1630
       0219+428 005150 54659.03600 43000.0   0.0000    0.8720    0.1570
       0219+428 022107 54659.09800 43000.0   0.0000    1.1520    0.2110
       0219+428 005150 54660.03600 43000.0   0.0000    0.8440    0.1460
       0219+428 022107 54660.09800 43000.0   0.0000    1.1710    0.2070
       0219+428 235121 54679.99400 43000.0   0.0000    0.9070    0.1130
       0219+428 012204 54680.05700 43000.0   0.0000    1.0970    0.1530
       0219+428 235121 54680.99400 43000.0   0.0000    1.0690    0.1510
       0219+428 012204 54681.05700 43000.0   0.0000    0.8830    0.1190
       0219+428 234955 54681.99300 43000.0   0.0000    1.0300    0.1370
       0219+428 012038 54682.05600 43000.0   0.0000    0.9110    0.1280
       0219+428 232107 54707.97300 43000.0   0.0000    0.9960    0.1400
       0219+428 211843 54708.88800 43000.0   0.0000    0.8620    0.2540
       0219+428 232107 54708.97300 43000.0   0.0000    0.8420    0.1250
       0219+428 211843 54709.88800 43000.0   0.0000    0.9970    0.1600
       0219+428 232107 54709.97300 43000.0   0.0000    0.7670    0.1270
       0219+428 211843 54710.88800 43000.0   0.0000    0.9490    0.2380
       0219+428 210545 54743.87900 43000.0   0.0000    1.1600    0.2650
       0219+428 193755 54745.81800 43000.0   0.0000    0.9060    0.2030
       0219+428 210545 54745.87900 43000.0   0.0000    1.0040    0.2610
       0219+428 165052 54779.70200 43000.0   0.0000    0.7140    0.1400
       0219+428 182136 54779.76500 43000.0   0.0000    0.8110    0.1760
       0219+428 181843 54780.76300 43000.0   0.0000    0.9820    0.1600
       0219+428 165219 54807.70300 43000.0   0.0000    0.9310    0.1800
       0219+428 165052 54808.70200 43000.0   0.0000    0.9360    0.1800
       0219+428 152302 54840.64100 43000.0   0.0000    1.4410    0.3490
       0219+428 135052 54841.57700 43000.0   0.0000    1.2600    0.2760
       0219+428 152136 54841.64000 43000.0   0.0000    1.3470    0.3680
       0219+428 152136 54842.64000 43000.0   0.0000    1.1850    0.4600
       0219+428 120545 54878.50400 43000.0   0.0000    1.3250    0.4230
       0219+428 115121 54879.49400 43000.0   0.0000    1.3350    0.2390
       0219+428 075052 54930.32700 43000.0   0.0000    0.6020    0.1080
       0219+428 045052 54961.20200 43000.0   0.0000    0.7840    0.1090
       0219+428 062136 54961.26500 43000.0   0.0000    0.7270    0.1170
       0219+428 015219 55009.07800 43000.0   0.0000    1.0070    0.1370
       0219+428 032009 55009.13900 43000.0   0.0000    1.0160    0.1990
       0219+428 015345 55010.07900 43000.0   0.0000    1.0060    0.1600
       0219+428 032136 55010.14000 43000.0   0.0000    0.8550    0.1310
       0219+428 032009 55011.13900 43000.0   0.0000    1.1030    0.1880
       0219+428 182136 55168.76500 43000.0   0.0000    0.8500    0.1590
       0219+428 135219 55209.57800 43000.0   0.0000    0.7030    0.1230
       0219+428 134340 53388.57200  5000.0   0.0000    1.5960    0.1260
       0219+428 165345 53477.70400  5000.0   0.0000    1.6620    0.0870
       0219+428 182555 53478.76800  5000.0   0.0000    1.5000    0.0940
       0219+428 085248 53503.37000  5000.0   0.0000    1.7560    0.0910
       0219+428 151843 53510.63800  5000.0   0.0000    1.5310    0.1010
       0219+428 063433 53511.27400  5000.0   0.0000    1.6120    0.0870
       0219+428 132457 53511.55900  5000.0   0.0000    1.5800    0.0840
       0219+428 111940 53543.47200  5000.0   0.0000    1.5490    0.0860
       0219+428 061550 53544.26100  5000.0   0.0000    1.6360    0.0920
       0219+428 141228 53544.59200  5000.0   0.0000    1.4840    0.0930
       0219+428 093726 53576.40100  5000.0   0.0000    1.4950    0.0850
       0219+428 054955 53577.24300  5000.0   0.0000    1.5080    0.0870
       0219+428 231228 53605.96700  5000.0   0.0000    1.6200    0.0810
       0219+428 092009 53607.38900  5000.0   0.0000    1.4720    0.0960
       0219+428 205414 53638.87100  5000.0   0.0000    1.5650    0.0780
       0219+428 052400 53639.22500  5000.0   0.0000    1.6320    0.0800
       0219+428 194800 53639.82500  5000.0   0.0000    1.5990    0.0960
       0219+428 230643 53639.96300  5000.0   0.0000    1.4510    0.0770
       0219+428 034438 53640.15600  5000.0   0.0000    1.5300    0.0760
       0219+428 080223 53640.33500  5000.0   0.0000    1.5010    0.0950
       0219+428 202819 53723.85300  5000.0   0.0000    1.7150    0.0950
       0219+428 125609 53724.53900  5000.0   0.0000    1.6210    0.0850
       0219+428 151423 53763.63500  5000.0   0.0000    1.7940    0.1150
       0219+428 204702 53763.86600  5000.0   0.0000    1.6630    0.0930
       0219+428 144116 53770.61200  5000.0   0.0000    1.8160    0.1010
       0219+428 145414 53770.62100  5000.0   0.0000    1.8200    0.0880
       0219+428 111102 53826.46600  5000.0   0.0000    1.7120    0.0860
       0219+428 123307 53851.52300  5000.0   0.0000    1.7540    0.1100
       0219+428 025833 54012.12400  5000.0   0.0000    1.8950    0.1830
       0219+428 031131 54012.13300  5000.0   0.0000    1.9330    0.1750
       0219+428 225052 54023.95200  5000.0   0.0000    1.9570    0.0670
       0219+428 230350 54023.96100  5000.0   0.0000    1.9790    0.0730
       0219+428 094604 54296.40700  5000.0   0.0000    1.7990    0.0800
       0219+428 095902 54296.41600  5000.0   0.0000    1.7780    0.0770
       0219+428 235414 54347.99600  5000.0   0.0000    1.8790    0.0620
       0219+428 000711 54348.00500  5000.0   0.0000    1.7940    0.0590
       0219+428 002136 54348.01500  5000.0   0.0000    1.7490    0.0600
       0219+428 003433 54348.02400  5000.0   0.0000    1.6670    0.0590
       0219+428 033433 54374.14900  5000.0   0.0000    1.7720    0.0620
       0219+428 034731 54374.15800  5000.0   0.0000    1.7720    0.0670
       0219+428 020935 54397.09000  5000.0   0.0000    1.8910    0.2920
       0219+428 141228 54563.59200  5000.0   0.0000    1.8730    0.1060
       0219+428 162331 54912.68300  5000.0   0.0000    1.6430    0.2450
       0219+428 163628 54912.69200  5000.0   0.0000    1.2070    0.2760
       0219+428 154731 54953.65800  5000.0   0.0000    1.4020    0.2790
       0219+428 115833 55002.49900  5000.0   0.0000    1.6410    0.4440
       0219+428 082400 55034.35000  5000.0   0.0000    1.6870    0.2010
       0219+428 072331 55063.30800  5000.0   0.0000    1.6260    0.1590
       0219+428 025540 55100.12200  5000.0   0.0000    1.5470    0.0640
       0219+428 031004 55100.13200  5000.0   0.0000    1.6350    0.0630
       0219+428 044047 55122.19500  5000.0   0.0000    1.5850    0.0740
       0219+428 045512 55122.20500  5000.0   0.0000    1.6230    0.0720
       0219+428 201648 55209.84500  5000.0   0.0000    1.5310    0.0790
       0219+428 203111 55209.85500  5000.0   0.0000    1.5640    0.0730
       0219+428 160907 53349.67300  8000.0   0.0000    1.1730    0.0680
       0219+428 184019 53349.77800  8000.0   0.0000    1.0720    0.0600
       0219+428 011452 53350.05200  8000.0   0.0000    1.0360    0.0730
       0219+428 151843 53350.63800  8000.0   0.0000    1.1610    0.0820
       0219+428 180252 53350.75200  8000.0   0.0000    1.1290    0.0570
       0219+428 221745 53350.92900  8000.0   0.0000    1.0760    0.0580
       0219+428 001423 53351.01000  8000.0   0.0000    1.0780    0.0600
       0219+428 025833 53351.12400  8000.0   0.0000    1.1490    0.0780
       0219+428 174409 53351.73900  8000.0   0.0000    1.1930    0.0580
       0219+428 221033 53351.92400  8000.0   0.0000    1.0500    0.0580
       0219+428 000711 53352.00500  8000.0   0.0000    1.0790    0.0580
       0219+428 022945 53352.10400  8000.0   0.0000    1.1690    0.0760
       0219+428 192916 53387.81200  8000.0   0.0000    1.2720    0.0650
       0219+428 152302 53417.64100  8000.0   0.0000    1.1860    0.0860
       0219+428 090711 53478.38000  8000.0   0.0000    1.1730    0.0700
       0219+428 032428 53511.14200  8000.0   0.0000    1.2850    0.1010
       0219+428 102916 53544.43700  8000.0   0.0000    1.5140    0.0910
       0219+428 021102 53577.09100  8000.0   0.0000    1.1230    0.0760
       0219+428 224214 53637.94600  8000.0   0.0000    1.1020    0.0740
       0219+428 074214 53638.32100  8000.0   0.0000    1.0850    0.0880
       0219+428 003014 53698.02100  8000.0   0.0000    1.2270    0.1680
