 Site = SRT
        Name    HHMMSS       #MJD    Freq     Elev    Amp_0    Amp_1  e_Amp_0  e_Amp_1   flux_0   flux_1 e_flux_0 e_flux_1
       1730-130 083137 60735.35719  4825.0  28.9677  34.6924  38.5369   0.1046   0.1043   2.8598   3.1388   0.0241   0.0260
       1741-038 083517 60735.35971  4825.0  37.8800  19.9370  22.1194   0.0869   0.0779   1.6441   1.8017   0.0147   0.0154
       1611+343 083945 60735.36283  4825.0  46.1805  25.7086  28.7159   0.0945   0.0953   2.1198   2.3391   0.0184   0.0202
       1633+382 084813 60735.36871  4825.0  50.0748  20.1179  22.4571   0.0691   0.0744   1.6594   1.8309   0.0142   0.0155
          3C345 085140 60735.37113  4825.0  51.3725  62.4883  69.8117   0.1220   0.1360   5.1525   5.6855   0.0416   0.0458
         Mrk501 085509 60735.37356  4825.0  52.7204  12.7418  14.2018   0.1111   0.1267   1.0481   1.1533   0.0130   0.0145
       1807+698 085938 60735.37682  4825.0  55.4371  17.3772  19.3243   0.1031   0.1153   1.4335   1.5753   0.0141   0.0156
          BLLAC 090507 60735.38045  4825.0  70.3988  44.2387  49.3355   0.0962   0.1242   3.6482   4.0193   0.0296   0.0330
    1ES1959+650 091003 60735.39201  4825.0  63.7660   2.6072   2.8922   0.0420   0.0542   0.2151   0.2356   0.0039   0.0048
       2223-052 120239 60735.50478  4825.0  43.9926  64.0655  55.5325   0.2099   0.1680   5.2960   4.5348   0.0454   0.0384
       2230+114 120803 60735.50746  4825.0  60.1744  57.9754  50.2004   0.1990   0.1596   4.7760   4.0886   0.0411   0.0345
        3C454.3 121133 60735.50995  4825.0  65.7046 190.0713 164.9903   0.3570   0.2891  15.6760  13.4424   0.1262   0.1076
          3C380 121701 60735.51376  4825.0  37.1573  68.4601  59.3897   0.1297   0.1124   5.6452   4.8372   0.0455   0.0389
          3C66A 122252 60735.51779  4825.0  59.0669 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
           3C84 122639 60735.52041  4825.0  49.1085 638.9806 553.2980   0.9155   0.7862  52.6930  45.0717   0.4194   0.3576
       2344+092 123455 60735.52718  4825.0  60.1365  18.7845  16.3204   0.1304   0.1029   1.5489   1.3289   0.0162   0.0134
       0235+164 124112 60735.53484  4825.0  49.2293  23.9977  20.7677   0.0877   0.0815   1.9789   1.6918   0.0171   0.0148
        NRAO150 125157 60735.53800  4825.0  48.4918 112.4934  97.5579   0.1764   0.1488   9.2765   7.9468   0.0741   0.0632
       0336-019 125638 60735.54230  4825.0  27.4858  21.1786  18.4220   0.0951   0.0727   1.7462   1.5009   0.0158   0.0131
       0420-014 130150 60735.54483  4825.0  20.7168  81.1895  70.3778   0.2475   0.2159   6.6940   5.7303   0.0562   0.0481
       0440-003 130519 60735.54834  4825.0  18.7990  23.7535  20.6435   0.1584   0.1183   1.9576   1.6801   0.0204   0.0165
    TXS0506+056 131026 60735.55297  4825.0  18.9261  17.0548  14.7655   0.1027   0.0879   1.4044   1.2026   0.0140   0.0118
    1ES2344+514 175345 60735.75639  4825.0  33.5289   3.0728   3.3956   0.0400   0.0573   0.2533   0.2763   0.0038   0.0052
       0528+134 181417 60735.76285  4825.0  64.0573  18.0517  19.8437   0.0784   0.1008   1.4887   1.6165   0.0133   0.0151
       0716+714 182225 60735.76766  4825.0  55.3984  15.9705  17.7418   0.1186   0.1175   1.3169   1.4451   0.0142   0.0148
       0736+017 182834 60735.77281  4825.0  44.1828   9.3546  10.2235   0.0794   0.0778   0.7713   0.8321   0.0089   0.0091
       0735+178 183355 60735.77761  4825.0  58.4621  19.5110  21.3375   0.0892   0.0944   1.6090   1.7383   0.0146   0.0156
       0827+243 184051 60735.78027  4825.0  54.1801  14.0896  15.5383   0.0933   0.0973   1.1634   1.2670   0.0119   0.0127
       0829+046 185420 60735.78963  4825.0  42.5977  10.9558  12.0350   0.1044   0.1014   0.9046   0.9814   0.0115   0.0116
          3c207 185754 60735.79211  4825.0  48.3428  29.8203  32.8949   0.2548   0.1929   2.4563   2.6773   0.0312   0.0282
       0836+710 190314 60735.79600  4825.0  53.5897  40.6543  44.6435   0.1281   0.1525   3.3531   3.6358   0.0284   0.0312
          OJ287 190844 60735.79963  4825.0  52.4665  47.8932  52.5678   0.1321   0.1455   3.9479   4.2772   0.0328   0.0356
       0954+658 191339 60735.80545  4825.0  50.8957  21.7593  23.9547   0.0897   0.0874   1.7940   1.9513   0.0159   0.0168
         MRK421 192117 60735.80945  4825.0  39.4346   7.7347   8.4914   0.0727   0.0769   0.6380   0.6917   0.0078   0.0083
       1156+295 192645 60735.81215  4825.0  25.8733  56.3384  61.6513   0.1468   0.1637   4.6447   5.0218   0.0384   0.0414
       1219+285 193019 60735.82222  4825.0  23.9558   7.1837   7.8711   0.0526   0.0550   0.5924   0.6409   0.0064   0.0068
    PKS1222+216 020244 60736.08715  4825.0  68.2543  24.3647  21.1401   0.1099   0.0951   1.7369   1.7335   0.0270   0.0266
          3C273 020644 60736.08989  4825.0  50.3787 378.0674 329.6054   0.5209   0.4622  26.9561  27.0599   0.4027   0.3980
          3C279 021020 60736.09241  4825.0  43.9939 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       1334-127 021400 60736.09495  4825.0  37.4002  28.7669  25.1393   0.1033   0.0797   2.0504   2.0636   0.0314   0.0309
       1354+195 021824 60736.09799  4825.0  69.1936  26.2293  22.7269   0.1069   0.0846   1.8705   1.8661   0.0289   0.0282
     PKS1441+25 022226 60736.10839  4825.0  71.6611   3.2786   2.8613   0.0460   0.0477   0.2335   0.2348   0.0048   0.0052
       1510-089 023753 60736.11155  4825.0  38.1043  25.9594  22.5088   0.1899   0.1160   1.8508   1.8480   0.0307   0.0292
     PG1553+113 024925 60736.12279  4825.0  53.4478   4.1921   3.6003   0.0551   0.0534   0.2961   0.2946   0.0060   0.0062
       1606+105 025734 60736.12520  4825.0  51.5198  23.0959  20.0675   0.0899   0.0841   1.6468   1.6458   0.0253   0.0251
    PKS1222+216 030303 60736.12905  4825.0  59.2965  24.6486  21.5098   0.1252   0.1096   1.7538   1.7598   0.0280   0.0274
          3C273 030658 60736.13171  4825.0  44.1535 377.6648 329.3989   0.6567   0.5866  26.9287  27.0439   0.4033   0.3989
          3C279 031035 60736.13422  4825.0  39.8538 157.2766 137.3917   0.2726   0.2352  11.2176  11.2839   0.1680   0.1664
       1334-127 031414 60736.13678  4825.0  35.9264  29.1415  25.4142   0.1206   0.0995   2.0756   2.0865   0.0321   0.0316
       1354+195 031839 60736.13988  4825.0  67.9968  26.2032  22.5993   0.1078   0.0901   1.8683   1.8543   0.0288   0.0282
     PKS1441+25 032241 60736.15026  4825.0  75.3401   3.3430   2.8807   0.0569   0.0485   0.2384   0.2368   0.0054   0.0054
    PKS1222+216 023712 60712.11081 24600.0  71.7241   3.8458   4.2487   0.0674   0.0523   0.8644   0.8728   0.0170   0.0133
          3C273 024231 60712.11451 24600.0  52.4122  59.6477  63.5633   0.1098   0.1063  13.4100  13.0576   0.1236   0.1178
          3C279 024729 60712.11796 24600.0  44.2162  60.5047  66.3517   0.1383   0.1212  13.6020  13.6476   0.1266   0.1237
       1354+195 025256 60712.12174 24600.0  63.3397   7.0254   7.6746   0.0746   0.0502   1.5796   1.5750   0.0221   0.0176
     PKS1441+25 025623 60712.13635 24600.0  63.4275   0.6513   0.7336   0.0365   0.0176   0.1464   0.1507   0.0083   0.0039
       1334-127 031941 60712.14032 24600.0  36.8238  12.6976  13.8887   0.0850   0.0776   2.8592   2.8520   0.0323   0.0299
       1611+343 032604 60712.14476 24600.0  53.3095   6.1192   6.7610   0.1120   0.0549   1.3755   1.3890   0.0281   0.0167
       1730-130 092217 60712.39212 24600.0  33.0324  14.7164  16.2244   0.0893   0.0854   3.3081   3.3327   0.0360   0.0344
       1741-038 092718 60712.39561 24600.0  42.1401  15.8308  17.1588   0.1134   0.0710   3.5584   3.5248   0.0415   0.0345
       1830-211 093226 60712.39917 24600.0  28.6168  24.7273  26.9437   0.1119   0.0969   5.5633   5.5522   0.0565   0.0542
       1633+382 093852 60712.40364 24600.0  57.3551  10.0885  10.8537   0.1073   0.0705   2.2687   2.2296   0.0317   0.0245
          3C345 094339 60712.40696 24600.0  58.3249  39.5907  44.1168   0.1065   0.1016   8.9093   9.0590   0.0842   0.0830
         Mrk501 094641 60712.40907 24600.0  59.7845   4.8693   5.3831   0.0828   0.0515   1.0947   1.1061   0.0211   0.0145
       1807+698 095236 60712.41324 24600.0  57.3522   7.4348   7.9481   0.0821   0.0747   1.6706   1.6336   0.0245   0.0219
    FLAGGED 1ES1959+650 120017 60713.51415 24600.0  58.3948 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
          3C380 123625 60713.52695 24600.0  47.6219 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       2223-052 124330 60713.53186 24600.0  45.6543   5.6765   6.0000   0.0932   0.0775   1.7506   1.7425   0.0330   0.0268
       2230+114 124843 60713.53548 24600.0  62.3369 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
        3C454.3 125338 60713.53890 24600.0  66.6682 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
          FLAGGED BLLAC 130041 60713.54473 24600.0  80.3138 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
        NRAO150 150349 60713.62931 24600.0  55.8509  39.5925  42.5052   0.1017   0.0829  12.2118  12.3410   0.1142   0.1057
       0235+164 150957 60713.63357 24600.0  58.6720   5.9435   6.3847   0.0705   0.0479   1.8323   1.8538   0.0273   0.0208
       0336-019 151526 60713.63737 24600.0  35.7565   6.3389   6.8273   0.0696   0.0605   1.9549   1.9827   0.0277   0.0241
       2344+092 152149 60713.64180 24600.0  54.6475   3.2325   3.5549   0.0696   0.0525   0.9971   1.0328   0.0234   0.0176
       0420-014 154219 60713.65603 24600.0  33.5128  25.6188  27.2683   0.1279   0.1026   7.8846   7.8984   0.0821   0.0727
       0440-003 154706 60713.65935 24600.0  31.9559   4.1181   4.3749   0.0891   0.0593   1.2689   1.2707   0.0299   0.0202
    TXS0506+056 155017 60713.66250 24600.0  32.4296   3.4474   3.6824   0.0611   0.0440   1.0625   1.0695   0.0211   0.0156
       0528+134 155632 60713.66778 24600.0  35.0405   5.3616   5.6940   0.0508   0.0401   1.6535   1.6535   0.0216   0.0180
    1ES2344+514 160658 60713.68541 24600.0  61.8249   0.5184   0.5530   0.0189   0.0194   0.1597   0.1605   0.0060   0.0058
         MRK421 215719 60713.91834 24600.0  52.6872 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
           3C84 220729 60713.92351 24600.0  38.6065  87.8773  94.9733   0.3024   0.2553  27.0416  27.4392   0.2608   0.2427
       0716+714 221319 60713.92763 24600.0  57.7828 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       0736+017 222116 60713.93308 24600.0  51.3325   2.2874   2.6123   0.3726   0.2228   0.7054   0.7585   0.1151   0.0651
       0735+178 222628 60713.93763 24600.0  66.4528   1.8484   2.1648   0.3206   0.3851   0.5699 -99.0000   0.0990 -99.0000
       0827+243 223311 60713.94136 24600.0  74.5344 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       0829+046 223649 60713.94482 24600.0  54.9085   3.0683   3.6683   0.4415   0.3294   0.9458   1.0644   0.1365   0.0962
          3c207 224125 60713.94708 24600.0  63.5558   4.3841   4.8618   0.1831   0.1789   1.3514   1.4108   0.0579   0.0533
       0836+710 224932 60713.95277 24600.0  58.6863   4.4156   4.5542   0.2352   0.2189   1.3617   1.3228   0.0736   0.0645
          OJ287 225741 60713.95837 24600.0  70.4715  10.2062  11.1627   0.2504   0.1874   3.1439   3.2361   0.0837   0.0635
       1730-130 072930 60735.31381 24600.0  34.8243   6.1330   6.6445   0.0674   0.0677   2.1368   2.1119   0.0271   0.0253
       1741-038 073431 60735.31729 24600.0  44.0885   7.1819   7.8130   0.1234   0.1354   2.4911   2.4673   0.0457   0.0456
       1830-211 073941 60735.32088 24600.0  29.2689   9.8132  10.7327   0.1797   0.1858   3.3904   3.3799   0.0675   0.0644
       1633+382 074611 60735.32538 24600.0  61.5951   4.1738   4.5671   0.1800   0.2006   1.4490   1.4435   0.0632   0.0643
          3C345 075058 60735.32871 24600.0  62.5172  15.5821  17.3094   0.1489   0.1541   5.4105   5.4729   0.0617   0.0590
         Mrk501 075400 60735.33082 24600.0  63.9876   3.8976   4.2916   0.2671   0.2771   1.3535   1.3569   0.0931   0.0880
       1807+698 080000 60735.33504 24600.0  58.3130   4.1413   4.1701   0.4255   0.3432   1.4383   1.3186   0.1482   0.1090
    1ES1959+650 104144 60735.45961 24600.0  57.7295   0.6791   0.7483   0.0216   0.0169   0.2357   0.2365   0.0076   0.0055
          3C380 111752 60735.47240 24600.0  46.3323   4.9065   5.3427   0.0744   0.0511   1.7040   1.6885   0.0279   0.0192
       2223-052 112454 60735.47728 24600.0  45.5466  11.6244  12.5248   0.0673   0.0593   4.0341   3.9534   0.0342   0.0304
       2230+114 113009 60735.48091 24600.0  62.2020  15.9233  17.3732   0.0607   0.0493   5.5288   5.4899   0.0403   0.0367
          BLLAC 114158 60735.49006 24600.0  78.9077  19.2051  21.4320   0.0884   0.0811   6.6770   6.7867   0.0526   0.0499
        NRAO150 134829 60735.57699 24600.0  57.6098  36.2018  39.6477   0.1210   0.1441  12.5136  12.4871   0.0949   0.0913
       0235+164 135442 60735.58130 24600.0  60.2956   6.1899   6.8181   0.0868   0.0634   2.1408   2.1334   0.0331   0.0242
       0336-019 140009 60735.58508 24600.0  37.3853   5.7713   6.4186   0.1680   0.1465   2.0025   2.0281   0.0598   0.0480
       2344+092 140632 60735.58952 24600.0  53.2456   2.9565   3.3345   0.1136   0.0897   1.0267   1.0543   0.0399   0.0291
       0420-014 142702 60735.60376 24600.0  35.2518  23.3649  25.2762   0.1223   0.0992   8.1157   7.9993   0.0658   0.0580
       0440-003 143150 60735.60709 24600.0  33.7880   3.8181   4.2258   0.0911   0.0675   1.3261   1.3358   0.0327   0.0229
    TXS0506+056 143501 60735.61024 24600.0  34.4354   3.0928   3.3270   0.0880   0.0531   1.0741   1.0518   0.0313   0.0180
       0528+134 144117 60735.61553 24600.0  37.1614   5.2996   5.7356   0.0501   0.0403   1.8423   1.8160   0.0211   0.0169
    1ES2344+514 145148 60735.63320 24600.0  60.0986   0.4603   0.5382   0.0247   0.0239   0.1599   0.1701   0.0086   0.0076
         MRK421 202046 60735.85128 24600.0  50.7971 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
           3C84 203055 60735.85645 24600.0  40.3563 138.3697 152.8755   0.3325   0.3539  48.0067  48.2835   0.3191   0.3130
       0716+714 203648 60735.86060 24600.0  57.9591   4.0995   4.4881   0.0772   0.0628   1.4246   1.4213   0.0284   0.0222
       0736+017 204452 60735.86614 24600.0  51.7052   6.0949   6.7257   0.0712   0.0458   2.1159   2.1252   0.0283   0.0203
       0735+178 205004 60735.87070 24600.0  67.1688   4.1726   4.6191   0.0632   0.0390   1.4496   1.4613   0.0241   0.0153
       0827+243 205656 60735.87452 24600.0  74.2065   2.0477   2.3070   0.0957   0.0756   0.7113   0.7296   0.0336   0.0244
       0829+046 210034 60735.87798 24600.0  54.8008   3.4694   3.8780   0.0573   0.0407   1.2049   1.2260   0.0213   0.0149
          3c207 210509 60735.88023 24600.0  63.3165   6.7330   7.4243   0.0660   0.0455   2.3333   2.3473   0.0277   0.0202
       0836+710 211308 60735.88583 24600.0  58.6447   5.6895   6.2673   0.0636   0.0487   1.9757   1.9816   0.0252   0.0195
          OJ287 212107 60735.89132 24600.0  70.2042  20.8355  22.9665   0.0779   0.0631   7.2362   7.2614   0.0525   0.0481
       0954+658 214242 60735.90631 24600.0  62.6740   9.2731  10.3011   0.0530   0.0504   3.2210   3.2569   0.0271   0.0253
