 Site = SRT
        Name    HHMMSS       #MJD    Freq     Elev    Amp_0    Amp_1  e_Amp_0  e_Amp_1   flux_0   flux_1 e_flux_0 e_flux_1
        3C454.3 091722 60782.38898  4825.0  64.9222  92.4749 102.2590   0.4816   0.5268  11.0007  11.0293   0.1842   0.1798
          3C380 092244 60782.39273  4825.0  35.5380  35.6515  39.3370   0.1559   0.1670   4.2930   4.2912   0.0683   0.0665
          3C66A 092835 60782.39676  4825.0  60.9766 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
           3C84 093222 60782.39938  4825.0  51.0120 351.5697 387.3156   0.5119   0.5437  42.3303  42.2579   0.6493   0.6327
       2344+092 094033 60782.40609  4825.0  59.9564  11.0016  12.0590   0.1437   0.1416   1.3274   1.3188   0.0272   0.0256
       0235+164 094653 60782.41378  4825.0  51.0811  16.6876  18.4929   0.1651   0.1503   2.0103   2.0179   0.0366   0.0343
        NRAO150 095741 60782.41698  4825.0  50.1412  71.4409  78.9675   0.2424   0.2452   8.5962   8.6132   0.1350   0.1315
       0336-019 100224 60782.42130  4825.0  29.2686  11.5426  12.7863   0.0720   0.0700   1.3892   1.3934   0.0229   0.0222
       0420-014 100735 60782.42383  4825.0  22.6239  49.0036  54.1034   0.1398   0.1613   5.9002   5.9025   0.0917   0.0897
       0440-003 101104 60782.42733  4825.0  20.7467  15.5286  17.1844   0.0761   0.0955   1.8755   1.8768   0.0303   0.0299
    TXS0506+056 101611 60782.43197  4825.0  20.9442   9.3994  10.4077   0.0488   0.0560   1.1319   1.1359   0.0183   0.0180
    1ES1959+650 070301 60782.30772 24600.0  60.3914   0.4982  -0.0932   0.0918   0.1172   0.1274   0.1274   0.0236   0.0236
          3C380 073910 60782.32052 24600.0  51.8710 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       2223-052 074622 60782.32552 24600.0  45.4716 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       2230+114 075134 60782.32913 24600.0  61.9995 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
        3C454.3 075629 60782.33254 24600.0  65.4398   7.0776   7.5553   0.6429   0.6585   1.8100   1.8085   0.1663   0.1594
          FLAGGED BLLAC 080411 60782.33883 24600.0  84.6718 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
        NRAO150 112501 60782.47736 24600.0  64.0597  23.5541  24.8740   0.1625   0.1478   6.0514   5.9932   0.0982   0.0915
       FLAGGED 0235+164 113137 60782.48194 24600.0  65.1373 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       0336-019 113703 60782.48572 24600.0  42.7340   6.4079   6.8559   0.1280   0.0979   1.6428   1.6453   0.0408   0.0321
       2344+092 114328 60782.49017 24600.0  47.1667 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       0420-014 120359 60782.50442 24600.0  41.0962  27.6276  28.6724   0.1458   0.1250   6.9544   6.8946   0.1031   0.0956
       0440-003 120848 60782.50776 24600.0  40.0525   6.4862   6.8328   0.1431   0.0962   1.6574   1.6354   0.0443   0.0332
    TXS0506+056 121200 60782.51093 24600.0  41.5077   4.0016   4.3835   0.1311   0.1369   1.0227   1.0503   0.0363   0.0356
       0528+134 121815 60782.51597 24600.0  44.8503 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
    PKS1222+216 221514 60787.92917  4825.0  70.4914  23.0554  24.9301   0.1069   0.1133   1.6621   1.6604   0.0257   0.0258
          3C273 221917 60787.93194  4825.0  51.7157 369.0875 402.0456   0.5359   0.5651  26.6110  26.7766   0.3934   0.3998
          3C279 222253 60787.93445  4825.0  44.5349 145.1083 158.3059   0.2652   0.2536  10.4591  10.5425   0.1552   0.1576
       1334-127 222632 60787.93699  4825.0  36.9777  26.2338  28.5367   0.1049   0.1051   1.8915   1.9006   0.0289   0.0291
       1354+195 223053 60787.94002  4825.0  67.5716  25.8222  27.9074   0.1089   0.1059   1.8624   1.8575   0.0286   0.0285
     PKS1441+25 223452 60787.95037  4825.0  68.3647   3.5905   3.9391   0.0695   0.0781   0.2593   0.2625   0.0063   0.0065
       1510-089 225018 60787.95349  4825.0  36.0058  25.2279  27.3310   0.1309   0.1186   1.8204   1.8197   0.0284   0.0282
     PG1553+113 230135 60787.96457  4825.0  49.9848   3.8991   4.1802   0.0684   0.0728   0.2794   0.2772   0.0065   0.0064
       1606+105 230944 60787.96699  4825.0  47.9459  22.0622  23.9405   0.1023   0.1054   1.5906   1.5945   0.0245   0.0247
    PKS1222+216 210753 60787.88215 24600.0  70.3123   2.7128   2.9225   0.0595   0.0470   0.8153   0.8376   0.0202   0.0166
          3C273 211315 60787.88587 24600.0  51.6587  45.1326  47.8766   0.0962   0.0860  13.5518  13.7046   0.1556   0.1543
          3C279 211817 60787.88937 24600.0  42.8130  44.3438  47.2270   0.1273   0.1089  13.3314  13.5225   0.1551   0.1536
       1354+195 212349 60787.89320 24600.0  58.7181   5.1361   5.5683   0.0670   0.0536   1.5452   1.5935   0.0270   0.0237
     PKS1441+25 212713 60787.90793 24600.0  57.9847   0.9890   1.0563   0.0285   0.0167   0.2971   0.3019   0.0092   0.0059
       1334-127 215047 60787.91194 24600.0  35.3282  11.5510  12.4351   0.0905   0.0659   3.4710   3.5586   0.0477   0.0438
       1611+343 215708 60787.91634 24600.0  47.5414   4.0762   4.3948   0.0847   0.0625   1.2249   1.2549   0.0290   0.0232
     PG1553+113 235351 60788.00302 24600.0  57.5746   0.8732   0.9198   0.0526   0.0390   0.2625   0.2632   0.0161   0.0115
       1510-089 000712 60788.00666 24600.0  41.0248   5.9734   6.4856   0.0843   0.0592   1.7999   1.8576   0.0331   0.0268
       1606+105 001227 60788.01030 24600.0  56.6739   4.3292   4.7127   0.0577   0.0502   1.3001   1.3492   0.0234   0.0209
       1830-211 040723 60788.17369  4825.0  29.3460  99.0220 107.4936   0.1863   0.1991   6.9745   6.9700   0.0754   0.0763
       1730-130 042822 60788.18826  4825.0  32.6650  58.6041  63.5567   0.1301   0.1476   4.1293   4.1223   0.0449   0.0455
       1741-038 043202 60788.19079  4825.0  41.8751  35.5541  38.3485   0.1247   0.1256   2.5034   2.4874   0.0283   0.0282
       1611+343 043637 60788.19398  4825.0  52.8307  41.1294  44.8094   0.1120   0.1185   2.8977   2.9059   0.0318   0.0323
       1633+382 044009 60788.19649  4825.0  57.5458  31.5363  34.3140   0.0974   0.1036   2.2215   2.2253   0.0246   0.0249
          3C345 044340 60788.19892  4825.0  58.7581 100.9670 110.0398   0.1816   0.2045   7.1140   7.1371   0.0768   0.0782
         Mrk501 044710 60788.20136  4825.0  60.1290  20.4536  22.1977   0.1453   0.1234   1.4419   1.4421   0.0186   0.0178
       1807+698 045149 60788.20473  4825.0  57.5813  27.1981  29.6355   0.1286   0.1388   1.9167   1.9218   0.0227   0.0228
          BLLAC 045712 60788.20830  4825.0  63.0934  63.7464  68.9509   0.1276   0.1520   4.4907   4.4714   0.0486   0.0493
    1ES1959+650 050157 60788.22086  4825.0  64.2780   3.7972   4.1313   0.0534   0.0574   0.2673   0.2674   0.0047   0.0048
       1730-130 031831 60788.13951 24600.0  36.9800  10.3060  10.9069   0.0910   0.0539   3.0732   3.1033   0.0433   0.0376
       1741-038 032330 60788.14297 24600.0  46.3353  13.5833  14.3129   0.0881   0.0531   4.0426   4.0718   0.0520   0.0471
       1830-211 032846 60788.14662 24600.0  29.2557  19.7195  20.9212   0.1192   0.0837   5.8943   5.9721   0.0755   0.0713
       1633+382 033524 60788.15123 24600.0  69.7450   5.7578   6.1890   0.0730   0.0486   1.7156   1.7609   0.0290   0.0237
          3C345 034011 60788.15456 24600.0  70.5855  25.7923  28.0580   0.1511   0.1080   7.6946   7.9969   0.0974   0.0988
         Mrk501 034314 60788.15668 24600.0  72.0722   3.1588   3.4073   0.0733   0.0575   0.9419   0.9701   0.0242   0.0196
       1807+698 034927 60788.16105 24600.0  59.4573   5.2450   5.5712   0.0759   0.0416   1.5625   1.5846   0.0288   0.0210
       1830-211 023842 60811.11211  4825.0  29.3201 100.0508 107.8132   0.1748   0.1868   7.2244   7.2015   0.0638   0.0642
       1730-130 025020 60811.12019  4825.0  33.3480  59.0072  63.6353   0.1345   0.1321   4.2606   4.2504   0.0381   0.0382
       1741-038 025401 60811.12272  4825.0  42.6111  34.5597  37.3747   0.1231   0.1349   2.4967   2.4957   0.0237   0.0238
       1611+343 025837 60811.12593  4825.0  54.2845  40.2158  43.5554   0.1043   0.1106   2.9040   2.9094   0.0263   0.0265
       1633+382 030210 60811.12845  4825.0  58.9808  30.7137  33.1898   0.1099   0.1010   2.2174   2.2169   0.0208   0.0205
          3C345 030541 60811.13088  4825.0  60.1776 100.6109 109.1304   0.1709   0.1775   7.2645   7.2892   0.0641   0.0649
         Mrk501 030912 60811.13332  4825.0  61.5526  20.0496  21.6601   0.0912   0.1026   1.4475   1.4463   0.0142   0.0145
       1807+698 031353 60811.13672  4825.0  57.9135  26.8209  28.8991   0.0893   0.0949   1.9366   1.9302   0.0180   0.0180
          BLLAC 031914 60811.14027  4825.0  61.7050  55.4229  59.6572   0.1276   0.1305   4.0019   3.9853   0.0359   0.0359
    1ES1959+650 032356 60811.15280  4825.0  64.2373   3.5126   3.7097   0.0430   0.0539   0.2534   0.2478   0.0038   0.0042
    PKS1222+216 203541 60811.86004  4825.0  70.8562  21.6454  23.3962   0.1098   0.1222   1.5632   1.5628   0.0157   0.0159
          3C273 203944 60811.86281  4825.0  51.9235 357.7657 387.8180   0.5219   0.5542  25.8328  25.9042   0.2269   0.2296
          3C279 204321 60811.86533  4825.0  44.5715 140.5298 152.3819   0.2380   0.2358  10.1484  10.1772   0.0895   0.0904
       1334-127 204700 60811.86787  4825.0  36.8084  25.8718  28.1158   0.0976   0.1057   1.8684   1.8776   0.0177   0.0179
       1354+195 205121 60811.87089  4825.0  67.0748  25.2010  27.1883   0.1077   0.1196   1.8196   1.8156   0.0176   0.0178
     PKS1441+25 205519 60811.88123  4825.0  67.5468   4.1271   4.5448   0.0527   0.0605   0.2982   0.3044   0.0046   0.0049
       1510-089 211044 60811.88435  4825.0  35.4721  24.5301  26.6318   0.1645   0.1565   1.7734   1.7792   0.0220   0.0214
     PG1553+113 212156 60811.89537  4825.0  49.1529 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       1606+105 213005 60811.89779  4825.0  47.0929  21.3043  23.0831   0.1014   0.1009   1.5381   1.5412   0.0152   0.0151
       1730-130 014336 60811.07362 24600.0  37.1016   9.8625  10.6369   0.0781   0.0581   3.0951   3.0726   0.0351   0.0296
       1741-038 014839 60811.07713 24600.0  46.4478  13.2898  14.3702   0.0696   0.0628   4.1704   4.1522   0.0403   0.0376
       1830-211 015359 60811.08082 24600.0  29.1622  20.8627  22.4566   0.1208   0.0923   6.5379   6.4826   0.0670   0.0599
       1633+382 020040 60811.08547 24600.0  70.5689   5.3261   5.8128   0.0826   0.0610   1.6716   1.6800   0.0296   0.0221
          3C345 020531 60811.08884 24600.0  71.3910  24.9376  27.5408   0.1028   0.1013   7.8253   7.9665   0.0717   0.0698
         Mrk501 020836 60811.09098 24600.0  72.8735   3.0681   3.3508   0.0729   0.0583   0.9632   0.9683   0.0242   0.0185
       1807+698 021453 60811.09539 24600.0  59.5149   4.9226   5.4804   0.0609   0.0416   1.5456   1.5834   0.0230   0.0175
    PKS1222+216 192943 60811.81397 24600.0  69.9924   2.5985   2.8762   0.0536   0.0443   0.8156   0.8312   0.0181   0.0144
          3C273 193503 60811.81766 24600.0  51.4740  44.9738  48.2880   0.1039   0.0915  14.1150  13.9581   0.1191   0.1139
          3C279 194003 60811.82113 24600.0  42.5586  43.2284  47.8884   0.1183   0.1140  13.5714  13.8567   0.1167   0.1151
       1354+195 194531 60811.82493 24600.0  58.0696   4.9940   5.4491   0.0599   0.0454   1.5673   1.5751   0.0227   0.0181
     PKS1441+25 194853 60811.83947 24600.0  57.1989   0.8305   0.9357   0.0265   0.0168   0.2606   0.2703   0.0086   0.0053
       1334-127 201210 60811.84344 24600.0  35.0446  12.3814  13.7413   0.0865   0.0720   3.8860   3.9782   0.0416   0.0389
       1611+343 201827 60811.84780 24600.0  46.7133   3.9624   4.3838   0.0685   0.0495   1.2435   1.2679   0.0238   0.0176
     PG1553+113 220932 60811.93057 24600.0  56.4469   0.9113   0.9783   0.0390   0.0215   0.2860   0.2827   0.0125   0.0066
       1510-089 222252 60811.93420 24600.0  40.7200   5.3687   5.9614   0.0800   0.0552   1.6840   1.7226   0.0286   0.0211
       1606+105 222808 60811.93785 24600.0  55.5350   3.6896   4.1512   0.0799   0.0442   1.1586   1.1997   0.0268   0.0160
       2223-052 061203 60815.26135  4825.0  45.5025  52.1319  55.7325   0.3933   0.1926   3.9494   3.9343   0.0695   0.0647
       2230+114 061731 60815.26404  4825.0  62.1787  54.1532  58.2299   0.1552   0.1547   4.0996   4.1052   0.0662   0.0668
        3C454.3 062106 60815.26652  4825.0  66.7780 172.1287 185.4703   0.5077   0.5406  13.0678  13.1185   0.2115   0.2144
          3C380 062651 60815.27060  4825.0  42.7661  58.2227  62.7570   0.1576   0.1597   4.4077   4.4238   0.0710   0.0719
          3C66A 063245 60815.27465  4825.0  52.6620 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
           3C84 063631 60815.27728  4825.0  42.7668 585.3862 629.4753   0.8040   0.8665  44.3207  44.3842   0.7064   0.7149
       2344+092 064504 60815.28428  4825.0  59.4075  17.1985  18.5376   0.1338   0.1331   1.3025   1.3073   0.0230   0.0230
       0235+164 065114 60815.29181  4825.0  42.7398  25.7593  27.7123   0.0932   0.0973   1.9569   1.9598   0.0324   0.0326
        NRAO150 070152 60815.29489  4825.0  42.9893 108.2654 116.5628   0.1717   0.1818   8.1954   8.2177   0.1308   0.1325
       0336-019 070627 60815.29912  4825.0  21.2258  16.3930  17.6851   0.1075   0.1038   1.2391   1.2443   0.0213   0.0215
       0420-014 071139 60815.30166  4825.0  14.1297  73.7900  79.5056   0.2426   0.2409   5.6078   5.6296   0.0913   0.0924
       0440-003 071509 60815.30516  4825.0  12.1076  23.7923  25.8613   0.1672   0.1647   1.7992   1.8155   0.0313   0.0319
    TXS0506+056 072015 60815.30979  4825.0  12.0741  15.1705  16.3380   0.1391   0.1422   1.1488   1.1521   0.0211   0.0210
    1ES1959+650 044838 60815.21439 24600.0  60.7096   0.4776   0.5327   0.0670   0.0343   0.1830   0.1863   0.0257   0.0121
          3C380 052445 60815.22717 24600.0  52.6382 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
       2223-052 053355 60815.23354 24600.0  45.4044  11.0943  12.0279   0.0987   0.1011   4.2616   4.2133   0.0557   0.0531
       2230+114 053908 60815.23716 24600.0  61.8943  22.9397  25.1227   0.2420   0.2428   8.8150   8.8125   0.1307   0.1244
        3C454.3 054405 60815.24059 24600.0  65.2408  33.5594  37.0065   0.2881   0.3060  12.8772  12.9678   0.1631   0.1607
          BLLAC 055152 60815.24694 24600.0  85.0729   8.6069   9.7353   0.1035   0.0801   3.2985   3.4022   0.0508   0.0418
        NRAO150 080554 60815.33908 24600.0  53.1917  28.2848  30.6233   0.0978   0.0849  10.8435  10.7243   0.1078   0.1017
       0235+164 081154 60815.34326 24600.0  56.0274   5.1700   5.6062   0.0939   0.0652   1.9789   1.9621   0.0406   0.0289
       0336-019 081723 60815.34705 24600.0  33.1544   3.8223   4.1570   0.0992   0.0684   1.4637   1.4537   0.0406   0.0273
       2344+092 082342 60815.35145 24600.0  56.5352   2.5564   2.7907   0.0778   0.0597   0.9788   0.9752   0.0313   0.0227
       0420-014 084413 60815.36569 24600.0  30.7665  17.6708  19.0312   0.1059   0.0929   6.7609   6.6411   0.0747   0.0686
       0440-003 084901 60815.36902 24600.0  29.0904   3.5833   3.8825   0.1272   0.0767   1.3736   1.3576   0.0505   0.0295
    TXS0506+056 085211 60815.37216 24600.0  29.3337   3.2590   3.5468   0.0847   0.0611   1.2478   1.2422   0.0345   0.0242
       0528+134 085826 60815.37743 24600.0  31.7960   5.2828   5.7464   0.0698   0.0525   2.0178   2.0011   0.0328   0.0261
    1ES2344+514 090844 60815.39495 24600.0  64.4207   0.4296   0.4462   0.0694   0.0499   0.1646   0.1560   0.0266   0.0175
    1ES2344+514 092924 60815.39896 24600.0  63.5584   0.4742   0.4873   0.0916   0.0530   0.1817   0.1704   0.0352   0.0186
    1ES2344+514 122739 60816.52994  4825.0  34.6194   3.0324   3.2464   0.0366   0.0427   0.2371   0.2363   0.0046   0.0047
       0528+134 124629 60816.53522  4825.0  63.9893  14.6314  15.8586   0.0692   0.0703   1.1442   1.1529   0.0185   0.0176
       0716+714 125430 60816.53994  4825.0  54.9243  17.6894  19.0387   0.0825   0.0792   1.3834   1.3840   0.0222   0.0210
       0736+017 130034 60816.54504  4825.0  42.9368  12.8942  13.7022   0.0805   0.0814   1.0068   0.9938   0.0168   0.0157
       0735+178 130554 60816.54983  4825.0  56.9494  18.4430  19.8376   0.0653   0.0697   1.4415   1.4419   0.0228   0.0217
       0827+243 131250 60816.55248  4825.0  52.3829  11.5132  12.4216   0.0904   0.0837   0.9003   0.9030   0.0155   0.0145
       0829+046 132616 60816.56180  4825.0  41.1228   9.2348   9.8711   0.0845   0.0826   0.7221   0.7179   0.0129   0.0121
          3c207 132950 60816.56428  4825.0  46.7025  26.5357  28.5061   0.1033   0.1096   2.0789   2.0762   0.0332   0.0317
       0836+710 133506 60816.56813  4825.0  52.9687  37.5083  40.3995   0.0971   0.0955   2.9332   2.9370   0.0457   0.0434
          OJ287 134033 60816.57172  4825.0  50.6939  41.8838  45.0359   0.1023   0.1131   3.2752   3.2730   0.0510   0.0485
       0954+658 134525 60816.57751  4825.0  49.9161  15.8669  17.1076   0.0593   0.0638   1.2414   1.2445   0.0196   0.0188
         MRK421 135301 60816.58149  4825.0  37.6766   6.6778   7.1902   0.0736   0.0773   0.5222   0.5227   0.0099   0.0095
       1156+295 135829 60816.58419  4825.0  24.0770  55.0897  58.9206   0.1352   0.1499   4.3068   4.2799   0.0671   0.0635
       1219+285 140204 60816.59427  4825.0  22.1615   6.6479   7.1340   0.0573   0.0542   0.5206   0.5196   0.0092   0.0086
       MRK421 144559 60816.61879 24600.0  47.7617   1.0911   1.1543   0.0654   0.0597   0.3946   0.3918   0.0241   0.0207
           3C84 145607 60816.62396 24600.0  43.2245 127.0273 137.8632   0.2880   0.2959  46.1883  47.0824   0.5291   0.5285
       0716+714 150204 60816.62815 24600.0  58.1436   4.5506   5.0129   0.1046   0.0964   1.6344   1.6882   0.0426   0.0381
       0736+017 151018 60816.63381 24600.0  52.0319   8.5420   9.4304   0.0829   0.0782   3.0843   3.1956   0.0459   0.0444
       0735+178 151532 60816.63837 24600.0  67.9280   3.4158   3.6932   0.0550   0.0641   1.2343   1.2521   0.0262   0.0269
       0827+243 152224 60816.64221 24600.0  73.1207   1.9186   2.1541   0.1252   0.1186   0.6939   0.7311   0.0459   0.0411
       0829+046 152601 60816.64566 24600.0  54.3227   2.8762   3.0759   0.0651   0.0613   1.0402   1.0449   0.0263   0.0238
          3c207 153036 60816.64790 24600.0  62.5543   5.1407   5.6869   0.0676   0.0460   1.8612   1.9300   0.0323   0.0264
       0836+710 153822 60816.65335 24600.0  58.4651   4.1101   4.4160   0.0782   0.0539   1.4832   1.5051   0.0331   0.0251
          OJ287 154606 60816.65866 24600.0  69.2734  13.1845  14.2431   0.0846   0.0804   4.7567   4.8299   0.0623   0.0598
       0954+658 160750 60816.67376 24600.0  61.8488   4.5136   4.8956   0.0635   0.0546   1.6330   1.6641   0.0294   0.0266
       1156+295 161358 60816.68286 24600.0  51.3262  14.8529  15.8446   0.0876   0.0886   5.3649   5.3762   0.0680   0.0664
       1219+285 162405 60816.68692 24600.0  47.7369   1.0836   1.1629   0.0745   0.0645   0.3919   0.3946   0.0273   0.0224
    1ES2344+514 110430 60835.47220  4825.0  35.8369   2.8901   3.0050   0.0334   0.0393   0.2271   0.2212   0.0030   0.0032
       0528+134 112325 60835.47753  4825.0  63.7940  14.6323  15.5538   0.0754   0.0707   1.1499   1.1448   0.0091   0.0087
       0716+714 113119 60835.48218  4825.0  54.4689  16.6253  17.4888   0.0691   0.0792   1.3066   1.2874   0.0096   0.0098
       0736+017 113720 60835.48723  4825.0  41.7669  14.3556  15.1757   0.0774   0.0908   1.1285   1.1174   0.0092   0.0097
       0735+178 114239 60835.49202  4825.0  55.5467  16.8912  18.0226   0.1156   0.0788   1.3276   1.3259   0.0122   0.0100
       0827+243 114933 60835.49465  4825.0  50.7619  10.3266  10.8609   0.0752   0.0799   0.8112   0.7992   0.0077   0.0077
       0829+046 120255 60835.50393  4825.0  39.7550   8.4733   8.9346   0.0805   0.0848   0.6659   0.6577   0.0075   0.0074
          3c207 120630 60835.50641  4825.0  45.1982  25.2189  26.5764   0.0847   0.0897   1.9828   1.9591   0.0137   0.0137
       0836+710 121143 60835.51022  4825.0  52.3881  34.5295  36.5079   0.0953   0.1012   2.7134   2.6864   0.0180   0.0180
          OJ287 121706 60835.51377  4825.0  49.0799  37.2338  39.4097   0.1070   0.1025   2.9241   2.8991   0.0197   0.0193
       0954+658 122155 60835.51953  4825.0  49.0245  12.9353  13.6076   0.0548   0.0590   1.0150   1.0016   0.0075   0.0075
         MRK421 122930 60835.52349  4825.0  36.1073   6.1186   6.4008   0.0735   0.0729   0.4808   0.4713   0.0065   0.0061
       1156+295 123459 60835.52620  4825.0  22.4733  58.8218  62.0322   0.1343   0.1408   4.6260   4.5706   0.0299   0.0298
       1219+285 123832 60835.53626  4825.0  20.5568   6.0565   6.3915   0.0476   0.0449   0.4761   0.4705   0.0047   0.0044
    PKS1222+216 181800 60835.76442  4825.0  71.4103  18.6183  19.7712   0.1011   0.1135   1.4634   1.4555   0.0119   0.0123
          3C273 182204 60835.76722  4825.0  52.2299 316.3476 336.5601   0.4574   0.4930  24.8634  24.7771   0.1545   0.1558
          3C279 182545 60835.76978  4825.0  43.6509 123.7972 131.6817   0.2070   0.2201   9.7284   9.6930   0.0610   0.0614
       1334-127 182928 60835.77236  4825.0  34.3865  23.3372  24.6297   0.1208   0.1202   1.8365   1.8149   0.0153   0.0148
       1354+195 183342 60835.77530  4825.0  61.5141  22.4989  23.9120   0.1048   0.0958   1.7669   1.7604   0.0135   0.0129
     PKS1441+25 183731 60835.78554  4825.0  60.0475   4.2405   4.5103   0.0435   0.0438   0.3332   0.3320   0.0040   0.0038
       1510-089 185252 60835.78861  4825.0  30.2495  22.1131  23.5014   0.0909   0.1022   1.7364   1.7295   0.0128   0.0130
     PG1553+113 190357 60835.79955  4825.0  41.7873   3.5115   3.7447   0.0781   0.0832   0.2756   0.2752   0.0065   0.0065
       1606+105 191206 60835.80197  4825.0  39.6084  18.8574  20.0535   0.0762   0.0832   1.4820   1.4758   0.0108   0.0109
       1830-211 010402 60836.04637  4825.0  29.2551  94.8971 101.4120   0.1594   0.1679   7.4581   7.4650   0.0468   0.0473
       1730-130 011543 60836.05448  4825.0  33.0244  54.4889  58.0345   0.1225   0.1187   4.2823   4.2719   0.0276   0.0275
       1741-038 011924 60836.05701  4825.0  42.2632  29.9091  31.9151   0.1149   0.1069   2.3463   2.3453   0.0171   0.0171
       1611+343 012359 60836.06021  4825.0  53.5818  37.1171  39.8077   0.0972   0.1074   2.9170   2.9303   0.0192   0.0196
       1633+382 012732 60836.06273  4825.0  58.2848  27.8647  29.7757   0.0935   0.0978   2.1897   2.1917   0.0151   0.0152
          3C345 013103 60836.06516  4825.0  59.4896  91.6448  98.6369   0.1607   0.1621   7.2037   7.2611   0.0454   0.0460
         Mrk501 013434 60836.06760  4825.0  60.8647  18.6379  19.8112   0.0947   0.1005   1.4613   1.4565   0.0119   0.0120
       1807+698 013913 60836.07099  4825.0  57.7536  24.1985  25.8335   0.0861   0.0849   1.9016   1.9015   0.0133   0.0132
          BLLAC 014436 60836.07455  4825.0  62.3750  45.1573  48.1447   0.1444   0.1317   3.5487   3.5440   0.0243   0.0238
    1ES1959+650 014919 60836.08709  4825.0  64.2607   3.2522   3.3163   0.0481   0.0624   0.2555   0.2441   0.0041   0.0048
       2223-052 040423 60836.17268  4825.0  45.2255  61.2178  65.6915   0.1475   0.1503   4.8085   4.8274   0.0325   0.0336
       2230+114 040949 60836.17538  4825.0  61.5450  59.9721  64.1267   0.1233   0.1318   4.7126   4.7198   0.0301   0.0305
        3C454.3 041328 60836.17791  4825.0  64.5035 184.3816 197.8905   0.2954   0.3223  14.4910  14.5658   0.0906   0.0923
          3C380 041944 60836.18231  4825.0  49.9816  63.0306  67.3907   0.1405   0.1425   4.9557   4.9609   0.0320   0.0321
          3C66A 042536 60836.18636  4825.0  44.7718 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
           3C84 042922 60836.18898  4825.0  35.0213 624.5564 668.7683   0.8641   0.9257  49.0867  49.2316   0.3045   0.3087
       2344+092 043813 60836.19618  4825.0  55.8335  17.4965  18.6256   0.1527   0.1533   1.3755   1.3737   0.0153   0.0149
       0235+164 044409 60836.20355  4825.0  34.2732  25.1538  26.9719   0.0689   0.0696   1.9768   1.9854   0.0131   0.0132
        NRAO150 045440 60836.20656  4825.0  36.2528 106.8519 114.6947   0.1703   0.1774   8.3975   8.4422   0.0525   0.0532
       0336-019 045908 60836.21071  4825.0  12.9584  16.3041  17.5030   0.1034   0.1110   1.2814   1.2883   0.0112   0.0114
         MRK421 131935 60835.55880 24600.0  45.5925   1.1722   1.1959   0.0465   0.0388   0.2983   0.2868   0.0119   0.0094
           3C84 132944 60835.56396 24600.0  45.2941 146.5204 160.5267   0.3620   0.3875  37.4325  38.6423   0.1941   0.1970
       0716+714 133544 60835.56819 24600.0  58.1910   4.6460   5.2001   0.0652   0.0441   1.1822   1.2471   0.0174   0.0120
       0736+017 134406 60835.57395 24600.0  52.0469   8.9345   9.9471   0.0830   0.0587   2.2730   2.3839   0.0235   0.0177
       0735+178 134920 60835.57851 24600.0  68.1407   3.9937   4.3666   0.0485   0.0395   1.0162   1.0466   0.0132   0.0106
       0827+243 135608 60835.58230 24600.0  71.9782   2.2477   2.5653   0.0688   0.0539   0.5720   0.6151   0.0177   0.0132
       0829+046 135944 60835.58574 24600.0  53.7521   2.9759   3.3547   0.0443   0.0546   0.7572   0.8043   0.0118   0.0136
          3c207 140419 60835.58798 24600.0  61.7372   6.2079   6.8036   0.0538   0.0441   1.5799   1.6318   0.0155   0.0129
       0836+710 141156 60835.59333 24600.0  58.2486   4.1053   4.6211   0.0588   0.0436   1.0446   1.1072   0.0157   0.0117
          OJ287 141930 60835.59852 24600.0  68.2651  14.7703  16.2032   0.0692   0.0619   3.7573   3.8769   0.0245   0.0230
       0954+658 144120 60835.61370 24600.0  61.1530   5.4085   6.0266   0.0543   0.0474   1.3764   1.4453   0.0152   0.0131
       1156+295 144723 60835.61790 24600.0  47.6817  20.1802  21.5975   0.0851   0.0616   5.1333   5.1806   0.0317   0.0274
       1219+285 145031 60835.62195 24600.0  44.0924   1.2368   1.3265   0.0476   0.0392   0.3148   0.3181   0.0122   0.0095
       1219+285 145644 60835.62626 24600.0  45.2899   1.1385   1.2829   0.0515   0.0319   0.2897   0.3077   0.0132   0.0078
    PKS1222+216 171413 60835.71986 24600.0  65.0617   3.4623   3.6990   0.0765   0.0567   0.8810   0.8871   0.0199   0.0142
