J0006-0623 23.05 2454857.296   2.053 0.080
J0006-0623 23.05 2454933.949   2.305 0.093
J0006-0623 32.00 2454184.984   1.655 0.052
J0006-0623 32.00 2454338.561   2.213 0.203
J0006-0623 32.00 2454381.516   1.757 0.075
J0006-0623 32.00 2454673.703   2.108 0.065
J0006-0623 32.00 2454726.622   2.440 0.077
J0006-0623 32.00 2454778.423   1.792 0.055
J0006-0623 32.00 2454806.261   1.676 0.053
J0006-0623 32.00 2454857.300   1.752 0.054
J0006-0623 32.00 2454933.953   2.228 0.075
J0006-0623 43.00 2454381.519   1.549 0.062
J0006-0623 43.00 2454514.055   2.107 0.109
J0006-0623 43.00 2454590.926   1.489 0.183
J0006-0623 43.00 2454673.706   2.122 0.194
J0006-0623 43.00 2454726.625   1.593 0.094
J0006-0623 43.00 2454857.303   1.956 0.074
J0006-0623 43.00 2454933.957   2.441 0.134
J0017-0512  4.85 2455001.684   0.259 0.002
J0017-0512  8.35 2455001.680   0.371 0.013
J0017-0512 10.45 2455001.677   0.369 0.006
J0017-0512 14.60 2455001.689   0.560 0.025
J0033-1921  4.85 2454896.019   0.060 0.001
J0033-1921  4.85 2456872.650   0.039 0.005
J0033-1921  8.35 2456872.646   0.037 0.002
J0050-0929  2.64 2455046.589   0.780 0.007
J0050-0929  2.64 2455072.563   0.689 0.006
J0050-0929  2.64 2455138.497   0.742 0.006
J0050-0929  2.64 2455151.386   0.723 0.006
J0050-0929  2.64 2455164.379   0.712 0.006
J0050-0929  2.64 2455200.358   0.857 0.010
J0050-0929  2.64 2455255.172   0.603 0.006
J0050-0929  2.64 2455318.979   0.537 0.007
J0050-0929  2.64 2455340.979   0.409 0.004
J0050-0929  2.64 2455374.817   0.371 0.004
J0050-0929  2.64 2455424.623   0.312 0.007
J0050-0929  2.64 2455457.643   0.282 0.010
J0050-0929  2.64 2455486.429   0.293 0.011
J0050-0929  2.64 2455543.274   0.348 0.009
J0050-0929  2.64 2455571.247   0.382 0.020
J0050-0929  2.64 2455639.957   0.527 0.033
J0050-0929  2.64 2455681.889   0.609 0.020
J0050-0929  2.64 2455751.745   0.612 0.026
J0050-0929  2.64 2455779.631   0.694 0.034
J0050-0929  2.64 2455808.569   0.618 0.036
J0050-0929  2.64 2455835.509   0.659 0.031
J0050-0929  2.64 2455900.312   0.593 0.026
J0050-0929  2.64 2455933.239   0.635 0.026
J0050-0929  2.64 2455954.160   0.590 0.023
J0050-0929  2.64 2455990.051   0.730 0.026
J0050-0929  2.64 2456020.016   0.738 0.019
J0050-0929  2.64 2456046.927   0.812 0.026
J0050-0929  2.64 2456081.895   0.839 0.029
J0050-0929  2.64 2456143.704   0.707 0.023
J0050-0929  2.64 2456173.670   0.656 0.016
J0050-0929  2.64 2456200.617   0.598 0.020
J0050-0929  2.64 2456263.355   0.750 0.031
J0050-0929  2.64 2456297.253   0.729 0.027
J0050-0929  2.64 2456328.133   0.719 0.019
J0050-0929  2.64 2456383.990   0.586 0.014
J0050-0929  2.64 2456417.901   0.777 0.032
J0050-0929  2.64 2456444.930   0.725 0.022
