1633+382  &    11.06 &   12.10 &    0.92 &    15.38 &   16.99 &    0.90 &    20.53 &   28.55 &    0.70 &     7.48 &   28.48 &    3.44 & +0.05\\
1641+399  &    10.29 &   10.36 &    0.95 &    12.74 &   11.72 &    0.79 &    13.90 &   19.20 &    1.02 &    24.22 &   39.65 &    1.42 & +0.02\\
1652+398  &     6.92 &    6.16 &    1.19 &     6.33 &    6.55 &    0.89 &     6.55 &   14.99 &    1.10 &    -9.99 &   -9.99 &   -9.99 & -0.21\\
1730-130  &     9.70 &    8.83 &    1.30 &    15.95 &   12.54 &    1.05 &    17.50 &   23.27 &    1.31 &    17.01 &   28.96 &    1.04 & -0.25\\
1741-038  &    32.94 &   10.97 &    0.49 &    25.82 &   20.42 &    0.72 &    29.57 &   32.14 &    1.02 &    14.21 &   23.73 &    1.12 & -0.09\\
1807+698  &    11.41 &    8.48 &    1.51 &    17.57 &   11.65 &    0.71 &    22.70 &   23.53 &    0.94 &     8.53 &   18.94 &    1.13 & -0.06\\
1828+487  &     6.77 &    7.96 &    0.67 &     5.73 &    7.25 &    1.39 &    13.35 &   17.74 &    1.10 &    -9.99 &   -9.99 &   -9.99 & -0.48\\
1830-211  &    -9.99 &   -9.99 &   -9.99 &    25.07 &   27.19 &   -9.99 &    28.57 &   23.16 &   -9.99 &    -9.99 &   -9.99 &   -9.99 & -0.47\\
1959+650  &    -9.99 &   -9.99 &   -9.99 &    16.99 &   16.44 &    0.59 &    93.63 &  127.51 &    2.01 &    -9.99 &   -9.99 &   -9.99 & +0.06\\
2200+420  &    34.39 &   24.78 &    0.64 &    41.56 &   27.52 &    0.55 &    42.50 &   34.45 &    0.68 &    24.18 &   24.52 &    0.76 & +0.12\\
2223-052  &    20.76 &   11.33 &    0.57 &    29.40 &   11.08 &    0.39 &    54.63 &   18.14 &    0.78 &    12.88 &   25.98 &    1.68 & -0.23\\
2230+114  &     8.01 &    5.90 &    0.59 &    18.92 &   18.17 &    0.85 &    30.38 &   31.57 &    0.96 &    13.95 &   41.15 &    0.97 & -0.01\\
2251+158  &    28.92 &   19.08 &    0.65 &    39.62 &   19.99 &    0.58 &    39.55 &   30.80 &    0.87 &    49.24 &   39.73 &    0.69 & -0.13\\
2344+092  &     8.73 &    8.47 &    1.35 &    14.35 &   10.66 &    0.65 &    22.24 &   24.63 &    0.87 &     8.74 &   21.10 &    0.77 & -0.12\\
2344+514  &    -9.99 &   -9.99 &   -9.99 &     0.00 &   27.45 &    2.03 &     4.30 &   19.94 &    1.28 &    -9.99 &   -9.99 &   -9.99 & -0.23\\
