   1ES2344+514   58467.9294   58467.8669   58467.9918    -1.0000   0.0000   0      0.2218   0.0305   1      0.1869   0.0149   1     -1.0000   0.0000   0    2 -0.164650
   1ES2344+514   58532.7586   58532.6985   58532.8187    -1.0000   0.0000   0      0.1925   0.0203   1      0.1814   0.0148   1     -1.0000   0.0000   0    2 -0.057119
   1ES2344+514   58556.7320   58556.6350   58556.8290    -1.0000   0.0000   0      0.2193   0.0211   2      0.1747   0.0196   1     -1.0000   0.0000   0    2 -0.218668
   1ES2344+514   58659.4123   58659.3636   58659.4610    -1.0000   0.0000   0      0.1503   0.0286   1      0.1689   0.0249   1     -1.0000   0.0000   0    2 +0.109516
   1ES2344+514   58710.2314   58710.2314   58710.2314    -1.0000   0.0000   0     -1.0000   0.0000   0      0.1971   0.0258   2     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   58778.5875   58777.0401   58780.1350    -1.0000   0.0000   0      0.2479   0.0292   1      0.1752   0.0309   1     -1.0000   0.0000   0    2 -0.325805
   1ES2344+514   58809.0438   58808.9638   58809.1238    -1.0000   0.0000   0      0.2460   0.0814   2      0.1804   0.0365   1     -1.0000   0.0000   0    2 -0.290938
   1ES2344+514   58499.9093   58499.9093   58499.9093    -1.0000   0.0000   0      0.2458   0.0277   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   58588.6944   58588.6611   58588.7277    -1.0000   0.0000   0      0.1895   0.0237   2     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   58625.5627   58625.5627   58625.5627    -1.0000   0.0000   0      0.1793   0.0204   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   58687.4063   58687.3558   58687.4567    -1.0000   0.0000   0      0.2939   0.0841   2     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   58758.1726   58758.1726   58758.1726    -1.0000   0.0000   0      0.2661   0.0370   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   58908.7152   58908.7065   58908.7239     0.2535   0.0060   1     -1.0000   0.0000   0      0.1675   0.0041   1     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   58960.5931   58960.5931   58960.5931     0.2233   0.0148   1     -1.0000   0.0000   0     -1.0000   0.0000   0     -1.0000   0.0000   0    0 -9.990000
   1ES2344+514   59073.2924   59073.2924   59073.2924    -1.0000   0.0000   0      0.2181   0.0248   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59104.2152   59104.2152   59104.2152    -1.0000   0.0000   0      0.1911   0.0277   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59132.1078   59132.0739   59132.1418    -1.0000   0.0000   0      0.3181   0.0810   1      0.2433   0.0304   1     -1.0000   0.0000   0    2 -0.251626
   1ES2344+514   59199.4728   59197.9738   59200.9717    -1.0000   0.0000   0      0.2695   0.0382   2     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59230.8128   59230.8128   59230.8128    -1.0000   0.0000   0     -1.0000   0.0000   0      0.1572   0.0175   1     -1.0000   0.0000   0    1 -9.990000
