MJD,Freq,Flux,Flux_err,Source
53477.731,5000.0,4.396,0.125,0420-014
53478.538,5000.0,4.297,0.128,0420-014
53478.546,5000.0,4.29,0.127,0420-014
53503.389,5000.0,4.015,0.12,0420-014
53503.635,5000.0,3.652,0.12,0420-014
53504.364,5000.0,3.895,0.118,0420-014
53504.508,5000.0,3.71,0.116,0420-014
53505.36,5000.0,3.551,0.12,0420-014
53505.505,5000.0,3.796,0.113,0420-014
53543.491,5000.0,4.043,0.118,0420-014
53544.279,5000.0,3.802,0.111,0420-014
53544.382,5000.0,3.829,0.121,0420-014
53576.419,5000.0,3.837,0.132,0420-014
53577.263,5000.0,3.862,0.124,0420-014
53577.369,5000.0,3.765,0.137,0420-014
53578.288,5000.0,3.786,0.123,0420-014
53606.089,5000.0,3.399,0.117,0420-014
53639.001,5000.0,3.451,0.113,0420-014
53639.065,5000.0,3.474,0.098,0420-014
53639.179,5000.0,3.349,0.087,0420-014
53639.253,5000.0,3.282,0.123,0420-014
53639.991,5000.0,3.299,0.099,0420-014
53640.11,5000.0,3.205,0.091,0420-014
53640.184,5000.0,3.216,0.097,0420-014
53640.298,5000.0,3.256,0.107,0420-014
53723.882,5000.0,3.481,0.151,0420-014
53723.977,5000.0,3.409,0.106,0420-014
53763.663,5000.0,2.592,0.125,0420-014
53763.894,5000.0,2.631,0.106,0420-014
53770.687,5000.0,2.679,0.09,0420-014
53770.696,5000.0,2.635,0.094,0420-014
53826.563,5000.0,2.337,0.113,0420-014
53826.572,5000.0,2.408,0.128,0420-014
53826.581,5000.0,2.22,0.13,0420-014
53975.194,5000.0,2.468,0.088,0420-014
53975.203,5000.0,2.438,0.095,0420-014
54012.073,5000.0,2.667,0.106,0420-014
54012.082,5000.0,2.6,0.072,0420-014
54024.013,5000.0,2.567,0.082,0420-014
54024.022,5000.0,2.552,0.076,0420-014
54297.307,5000.0,3.389,0.103,0420-014
54297.316,5000.0,3.339,0.104,0420-014
54348.154,5000.0,3.484,0.104,0420-014
54348.163,5000.0,3.505,0.103,0420-014
54348.172,5000.0,3.459,0.102,0420-014
54348.182,5000.0,3.458,0.103,0420-014
54374.089,5000.0,3.013,0.081,0420-014
54374.098,5000.0,2.985,0.086,0420-014
54397.03,5000.0,2.562,0.088,0420-014
54397.039,5000.0,2.524,0.08,0420-014
54563.532,5000.0,3.805,0.239,0420-014
54724.11,5000.0,3.259,0.115,0420-014
54724.119,5000.0,3.225,0.111,0420-014
54912.643,5000.0,3.473,0.252,0420-014
54912.652,5000.0,3.542,0.377,0420-014
54953.617,5000.0,3.444,0.378,0420-014
54953.626,5000.0,3.588,0.354,0420-014
55002.456,5000.0,4.575,0.313,0420-014
55002.466,5000.0,4.531,0.388,0420-014
55034.307,5000.0,4.177,0.28,0420-014
55034.317,5000.0,4.105,0.27,0420-014
55063.264,5000.0,4.401,0.229,0420-014
55063.274,5000.0,4.319,0.23,0420-014
55100.079,5000.0,4.87,0.121,0420-014
55100.089,5000.0,4.888,0.116,0420-014
55122.153,5000.0,4.598,0.121,0420-014
55122.163,5000.0,4.741,0.127,0420-014
55209.804,5000.0,5.035,0.138,0420-014
55209.813,5000.0,5.029,0.184,0420-014
53451.551,8000.0,5.07,0.07,0420-014
53463.446,8000.0,4.98,0.076,0420-014
53463.509,8000.0,5.007,0.076,0420-014
53464.44,8000.0,5.052,0.08,0420-014
53464.508,8000.0,4.964,0.083,0420-014
53478.656,8000.0,4.751,0.158,0420-014
53504.43,8000.0,4.726,0.131,0420-014
53504.572,8000.0,4.547,0.122,0420-014
53505.428,8000.0,4.675,0.124,0420-014
53505.569,8000.0,4.353,0.117,0420-014
53506.322,8000.0,4.577,0.137,0420-014
53544.465,8000.0,4.174,0.145,0420-014
53545.338,8000.0,4.09,0.17,0420-014
53577.193,8000.0,3.768,0.127,0420-014
53578.136,8000.0,3.819,0.163,0420-014
53578.237,8000.0,3.786,0.138,0420-014
53578.375,8000.0,4.048,0.126,0420-014
53605.372,8000.0,3.803,0.152,0420-014
53606.146,8000.0,3.689,0.149,0420-014
53606.25,8000.0,3.671,0.143,0420-014
53637.169,8000.0,3.688,0.168,0420-014
53637.28,8000.0,3.689,0.13,0420-014
53637.973,8000.0,3.514,0.13,0420-014
53638.09,8000.0,3.47,0.108,0420-014
53698.049,8000.0,3.389,0.18,0420-014
53698.827,8000.0,3.503,0.152,0420-014
53698.943,8000.0,3.249,0.147,0420-014
53720.754,8000.0,3.28,0.117,0420-014
53720.862,8000.0,3.258,0.124,0420-014
53721.94,8000.0,3.015,0.118,0420-014
53722.051,8000.0,3.402,0.124,0420-014
53722.756,8000.0,3.3,0.116,0420-014
53741.758,8000.0,3.318,0.074,0420-014
53742.754,8000.0,3.036,0.122,0420-014
53742.865,8000.0,3.115,0.148,0420-014
53743.776,8000.0,3.049,0.121,0420-014
53743.883,8000.0,2.949,0.224,0420-014
53765.693,8000.0,3.262,0.359,0420-014
53771.701,8000.0,3.018,0.125,0420-014
53771.709,8000.0,3.07,0.13,0420-014
53804.637,8000.0,3.304,0.151,0420-014
53804.646,8000.0,3.087,0.126,0420-014
53804.654,8000.0,3.112,0.114,0420-014
53860.469,8000.0,2.576,0.149,0420-014
53907.381,8000.0,2.927,0.096,0420-014
53956.278,8000.0,2.713,0.217,0420-014
53974.214,8000.0,3.035,0.365,0420-014
54011.11,8000.0,3.045,0.125,0420-014
54023.032,8000.0,3.306,0.121,0420-014
54038.005,8000.0,2.94,0.114,0420-014
54058.93,8000.0,3.063,0.315,0420-014
54079.896,8000.0,3.56,0.1,0420-014
54098.846,8000.0,2.948,0.092,0420-014
54121.789,8000.0,3.647,0.146,0420-014
54199.569,8000.0,4.306,0.134,0420-014
54220.583,8000.0,3.833,0.154,0420-014
54275.267,8000.0,3.849,0.167,0420-014
54289.253,8000.0,3.708,0.075,0420-014
54296.325,8000.0,3.938,0.127,0420-014
54325.277,8000.0,4.014,0.138,0420-014
54344.188,8000.0,4.432,0.118,0420-014
54373.075,8000.0,4.02,0.103,0420-014
54420.966,8000.0,4.608,0.146,0420-014
54434.915,8000.0,4.385,0.103,0420-014
54476.822,8000.0,4.649,0.266,0420-014
54512.667,8000.0,4.421,0.128,0420-014
54562.687,8000.0,4.66,0.123,0420-014
54576.671,8000.0,4.874,0.186,0420-014
54605.575,8000.0,4.865,0.758,0420-014
54640.487,8000.0,4.269,0.115,0420-014
54652.432,8000.0,5.184,0.176,0420-014
54667.4,8000.0,4.43,0.152,0420-014
54688.352,8000.0,3.773,0.103,0420-014
54723.147,8000.0,4.622,0.282,0420-014
54777.958,8000.0,3.783,0.113,0420-014
54951.586,8000.0,4.678,0.215,0420-014
55003.378,8000.0,5.855,0.261,0420-014
55035.348,8000.0,5.449,0.194,0420-014
55064.19,8000.0,5.481,0.411,0420-014
55077.219,8000.0,6.378,0.275,0420-014
55101.116,8000.0,6.671,0.112,0420-014
55123.087,8000.0,6.173,0.245,0420-014
55207.789,8000.0,7.159,0.44,0420-014
53510.368,22000.0,1.94,0.816,0440-003
53637.0,22000.0,1.532,0.629,0440-003
53638.186,22000.0,0.954,0.384,0440-003
53697.902,22000.0,1.283,0.58,0440-003
53720.958,22000.0,0.939,0.393,0440-003
53743.979,22000.0,1.046,0.311,0440-003
53750.688,22000.0,0.942,0.062,0440-003
53766.752,22000.0,0.726,0.344,0440-003
53766.76,22000.0,0.733,0.309,0440-003
53772.757,22000.0,1.059,0.271,0440-003
53772.766,22000.0,1.044,0.274,0440-003
53772.774,22000.0,0.932,0.279,0440-003
53805.651,22000.0,0.692,0.306,0440-003
53849.557,22000.0,1.207,0.359,0440-003
53861.507,22000.0,1.786,0.307,0440-003
53955.245,22000.0,1.151,0.341,0440-003
53955.258,22000.0,1.271,0.35,0440-003
53973.204,22000.0,1.043,0.308,0440-003
53973.218,22000.0,0.964,0.317,0440-003
54010.063,22000.0,1.332,0.389,0440-003
54010.076,22000.0,1.336,0.363,0440-003
54022.048,22000.0,1.282,0.451,0440-003
54057.911,22000.0,1.642,0.583,0440-003
54057.924,22000.0,1.566,0.664,0440-003
54097.851,22000.0,1.208,0.364,0440-003
54097.865,22000.0,1.296,0.363,0440-003
54097.878,22000.0,1.3,0.333,0440-003
54097.891,22000.0,1.038,0.412,0440-003
54120.813,22000.0,1.153,0.627,0440-003
54148.724,22000.0,1.136,0.443,0440-003
54148.737,22000.0,1.026,0.36,0440-003
54148.75,22000.0,1.135,0.371,0440-003
54148.764,22000.0,1.286,0.438,0440-003
54197.477,22000.0,1.03,0.36,0440-003
54197.49,22000.0,0.938,0.379,0440-003
54197.503,22000.0,0.858,0.338,0440-003
54218.508,22000.0,1.163,0.358,0440-003
54218.521,22000.0,1.407,0.377,0440-003
54218.548,22000.0,1.102,0.517,0440-003
54288.352,22000.0,1.13,0.291,0440-003
54294.439,22000.0,1.794,0.425,0440-003
54294.453,22000.0,0.827,0.441,0440-003
54323.285,22000.0,1.248,0.588,0440-003
54323.298,22000.0,1.282,0.701,0440-003
54323.312,22000.0,1.811,0.4,0440-003
54323.325,22000.0,0.913,0.639,0440-003
54345.251,22000.0,0.845,0.698,0440-003
54345.29,22000.0,0.542,0.423,0440-003
54372.199,22000.0,2.024,0.616,0440-003
54386.137,22000.0,0.955,0.177,0440-003
54386.146,22000.0,1.494,0.214,0440-003
54455.913,22000.0,1.729,0.413,0440-003
54460.866,22000.0,1.67,0.256,0440-003
54460.879,22000.0,1.091,0.199,0440-003
54477.837,22000.0,0.717,0.193,0440-003
54510.73,22000.0,1.264,0.136,0440-003
54510.743,22000.0,1.26,0.154,0440-003
54561.649,22000.0,1.398,0.189,0440-003
54561.658,22000.0,1.247,0.168,0440-003
54575.646,22000.0,1.141,0.944,0440-003
54639.519,22000.0,1.08,0.207,0440-003
54666.439,22000.0,0.493,0.185,0440-003
54687.383,22000.0,1.408,0.296,0440-003
54779.141,22000.0,1.723,0.572,0440-003
54779.15,22000.0,2.141,0.493,0440-003
54911.744,22000.0,0.808,0.428,0440-003
54911.753,22000.0,1.206,0.449,0440-003
55062.168,22000.0,1.195,0.232,0440-003
55062.177,22000.0,1.099,0.265,0440-003
55099.137,22000.0,0.717,1.114,0440-003
55121.142,22000.0,0.899,0.333,0440-003
55121.151,22000.0,1.178,0.234,0440-003
55208.939,22000.0,1.042,0.337,0440-003
55208.949,22000.0,1.151,0.337,0440-003
53827.484,43000.0,0.855,0.508,0440-003
53855.4,43000.0,0.824,0.887,0440-003
53878.359,43000.0,1.092,0.524,0440-003
53879.359,43000.0,1.292,0.531,0440-003
53913.275,43000.0,0.714,0.407,0440-003
53951.15,43000.0,1.378,0.505,0440-003
53952.15,43000.0,1.283,0.485,0440-003
53953.15,43000.0,1.014,0.434,0440-003
53971.109,43000.0,0.995,0.623,0440-003
53972.109,43000.0,1.165,0.529,0440-003
53973.109,43000.0,1.31,0.544,0440-003
53999.025,43000.0,0.696,0.365,0440-003
54000.025,43000.0,0.845,0.405,0440-003
54025.942,43000.0,0.55,0.486,0440-003
54277.275,43000.0,1.099,0.163,0440-003
54322.151,43000.0,0.995,0.134,0440-003
54365.026,43000.0,0.99,0.142,0440-003
54367.026,43000.0,0.66,0.122,0440-003
54390.984,43000.0,0.846,0.168,0440-003
54421.848,43000.0,1.262,0.206,0440-003
54423.848,43000.0,1.117,0.19,0440-003
54424.848,43000.0,1.096,0.177,0440-003
54450.805,43000.0,1.348,0.255,0440-003
54479.723,43000.0,0.944,0.15,0440-003
54480.723,43000.0,1.083,0.168,0440-003
54521.605,43000.0,0.999,0.138,0440-003
54522.603,43000.0,1.071,0.121,0440-003
54556.483,43000.0,1.143,0.22,0440-003
54557.48,43000.0,1.019,0.138,0440-003
54580.395,43000.0,0.926,0.121,0440-003
54611.312,43000.0,0.664,0.118,0440-003
54612.312,43000.0,0.817,0.108,0440-003
54642.228,43000.0,0.668,0.117,0440-003
54643.228,43000.0,0.695,0.1,0440-003
54644.232,43000.0,0.747,0.123,0440-003
54659.188,43000.0,0.63,0.126,0440-003
54660.188,43000.0,0.768,0.119,0440-003
54680.145,43000.0,0.892,0.111,0440-003
54681.145,43000.0,0.852,0.105,0440-003
54682.145,43000.0,0.749,0.131,0440-003
54708.062,43000.0,1.544,0.182,0440-003
54709.062,43000.0,1.327,0.162,0440-003
54710.062,43000.0,1.145,0.175,0440-003
54743.983,43000.0,0.77,0.224,0440-003
54744.984,43000.0,1.012,0.18,0440-003
54779.848,43000.0,0.969,0.162,0440-003
54780.848,43000.0,0.905,0.15,0440-003
54807.848,43000.0,0.649,0.166,0440-003
54808.848,43000.0,0.857,0.16,0440-003
54809.848,43000.0,0.981,0.191,0440-003
54840.723,43000.0,1.008,0.227,0440-003
54841.723,43000.0,1.232,0.305,0440-003
54929.482,43000.0,0.976,0.134,0440-003
54930.479,43000.0,0.901,0.109,0440-003
54959.35,43000.0,0.66,0.099,0440-003
54961.354,43000.0,0.635,0.094,0440-003
55009.228,43000.0,1.006,0.122,0440-003
55010.229,43000.0,0.998,0.135,0440-003
55011.228,43000.0,1.006,0.143,0440-003
55167.849,43000.0,0.709,0.156,0440-003
55168.849,43000.0,0.8,0.212,0440-003
55209.724,43000.0,0.776,0.145,0440-003
53576.428,5000.0,2.242,0.117,0440-003
53577.271,5000.0,2.123,0.094,0440-003
53577.377,5000.0,2.19,0.106,0440-003
53578.296,5000.0,2.175,0.095,0440-003
53606.097,5000.0,2.204,0.102,0440-003
53639.009,5000.0,2.134,0.084,0440-003
53639.074,5000.0,2.119,0.084,0440-003
53639.188,5000.0,2.162,0.081,0440-003
53639.999,5000.0,2.141,0.099,0440-003
53640.119,5000.0,2.147,0.08,0440-003
53640.193,5000.0,2.153,0.083,0440-003
53640.307,5000.0,2.179,0.097,0440-003
53723.89,5000.0,2.087,0.092,0440-003
53723.985,5000.0,2.205,0.091,0440-003
53763.671,5000.0,2.115,0.115,0440-003
53763.902,5000.0,2.19,0.1,0440-003
53770.705,5000.0,2.169,0.087,0440-003
53770.713,5000.0,2.259,0.088,0440-003
53770.722,5000.0,2.18,0.089,0440-003
53826.59,5000.0,2.073,0.128,0440-003
53826.599,5000.0,2.166,0.123,0440-003
53826.607,5000.0,1.925,0.116,0440-003
53975.213,5000.0,2.195,0.098,0440-003
53975.222,5000.0,2.136,0.082,0440-003
54012.092,5000.0,2.263,0.078,0440-003
54012.101,5000.0,2.236,0.078,0440-003
54024.032,5000.0,2.157,0.072,0440-003
54024.041,5000.0,2.11,0.073,0440-003
54297.326,5000.0,2.192,0.081,0440-003
54297.336,5000.0,2.181,0.075,0440-003
54348.192,5000.0,2.262,0.076,0440-003
54348.201,5000.0,2.172,0.07,0440-003
54348.21,5000.0,2.14,0.067,0440-003
54348.219,5000.0,2.198,0.069,0440-003
54374.108,5000.0,2.135,0.07,0440-003
54374.117,5000.0,2.167,0.071,0440-003
54397.049,5000.0,2.172,0.075,0440-003
54397.058,5000.0,2.119,0.088,0440-003
54563.552,5000.0,2.298,0.177,0440-003
54724.129,5000.0,2.018,0.103,0440-003
54724.139,5000.0,1.999,0.099,0440-003
54912.662,5000.0,2.178,0.225,0440-003
54912.671,5000.0,2.042,0.346,0440-003
54953.636,5000.0,2.156,0.363,0440-003
54953.646,5000.0,2.282,0.356,0440-003
55002.476,5000.0,2.43,0.501,0440-003
55002.486,5000.0,2.417,0.347,0440-003
55034.327,5000.0,2.457,0.253,0440-003
55034.337,5000.0,2.345,0.296,0440-003
55063.285,5000.0,2.395,0.176,0440-003
55063.295,5000.0,2.403,0.216,0440-003
55100.1,5000.0,2.296,0.076,0440-003
55100.11,5000.0,2.233,0.081,0440-003
55122.173,5000.0,2.408,0.085,0440-003
55122.183,5000.0,2.55,0.087,0440-003
55209.824,5000.0,2.333,0.088,0440-003
55209.833,5000.0,2.386,0.089,0440-003
53577.201,8000.0,1.69,0.107,0440-003
53578.245,8000.0,1.734,0.082,0440-003
53578.384,8000.0,1.691,0.128,0440-003
53605.38,8000.0,1.768,0.1,0440-003
53606.154,8000.0,1.686,0.102,0440-003
53606.259,8000.0,1.794,0.097,0440-003
53637.288,8000.0,1.758,0.091,0440-003
53637.981,8000.0,1.767,0.099,0440-003
53638.098,8000.0,1.643,0.084,0440-003
53698.057,8000.0,1.79,0.15,0440-003
53698.835,8000.0,1.889,0.116,0440-003
53698.951,8000.0,1.845,0.116,0440-003
53720.762,8000.0,1.752,0.091,0440-003
53720.871,8000.0,1.737,0.087,0440-003
53722.06,8000.0,1.83,0.106,0440-003
53722.764,8000.0,1.747,0.095,0440-003
53741.723,8000.0,1.701,0.038,0440-003
53742.874,8000.0,1.81,0.114,0440-003
53743.784,8000.0,1.756,0.126,0440-003
53771.718,8000.0,1.684,0.096,0440-003
53771.735,8000.0,1.663,0.145,0440-003
53804.663,8000.0,1.715,0.096,0440-003
53804.68,8000.0,1.665,0.097,0440-003
53860.493,8000.0,1.613,0.072,0440-003
53907.405,8000.0,1.687,0.105,0440-003
53956.308,8000.0,1.76,0.21,0440-003
54011.133,8000.0,1.872,0.086,0440-003
54023.056,8000.0,1.804,0.084,0440-003
54038.034,8000.0,1.696,0.103,0440-003
54058.948,8000.0,1.744,0.158,0440-003
54079.919,8000.0,1.732,0.044,0440-003
54098.87,8000.0,1.867,0.079,0440-003
54121.812,8000.0,1.68,0.078,0440-003
54149.722,8000.0,1.783,0.193,0440-003
54185.635,8000.0,1.849,0.342,0440-003
54199.592,8000.0,1.772,0.054,0440-003
54220.607,8000.0,1.839,0.082,0440-003
54275.291,8000.0,1.836,0.077,0440-003
54289.277,8000.0,1.771,0.048,0440-003
54296.349,8000.0,1.804,0.096,0440-003
54325.301,8000.0,1.684,0.074,0440-003
54344.212,8000.0,1.802,0.061,0440-003
54373.098,8000.0,1.685,0.08,0440-003
54420.989,8000.0,1.71,0.076,0440-003
54434.938,8000.0,1.656,0.072,0440-003
54476.846,8000.0,1.867,0.154,0440-003
54512.691,8000.0,1.806,0.073,0440-003
54562.716,8000.0,1.948,0.116,0440-003
54605.599,8000.0,1.901,0.152,0440-003
54640.51,8000.0,1.739,0.08,0440-003
54652.455,8000.0,2.002,0.21,0440-003
54667.423,8000.0,1.677,0.085,0440-003
54688.375,8000.0,1.648,0.079,0440-003
54723.171,8000.0,1.731,0.357,0440-003
55003.402,8000.0,1.763,0.102,0440-003
55035.366,8000.0,1.722,0.131,0440-003
55064.213,8000.0,1.724,0.134,0440-003
55077.243,8000.0,1.904,0.107,0440-003
55101.14,8000.0,1.873,0.111,0440-003
55123.105,8000.0,1.833,0.124,0440-003
55207.819,8000.0,1.917,0.152,0440-003
53510.472,22000.0,3.07,0.688,0528+134
53637.016,22000.0,2.519,0.507,0528+134
53637.353,22000.0,2.455,0.396,0528+134
53637.361,22000.0,2.463,0.417,0528+134
53697.918,22000.0,3.556,0.506,0528+134
53720.974,22000.0,2.594,0.425,0528+134
53722.125,22000.0,2.575,0.355,0528+134
53722.133,22000.0,2.389,0.362,0528+134
53743.995,22000.0,2.758,0.305,0528+134
53744.003,22000.0,3.067,0.319,0528+134
53764.755,22000.0,3.162,0.195,0528+134
53766.768,22000.0,2.957,0.339,0528+134
53766.776,22000.0,3.049,0.329,0528+134
53772.805,22000.0,3.517,0.302,0528+134
53772.814,22000.0,3.582,0.307,0528+134
53805.693,22000.0,3.153,0.343,0528+134
53805.702,22000.0,3.038,0.357,0528+134
53849.611,22000.0,3.051,0.395,0528+134
53849.62,22000.0,3.161,0.384,0528+134
53861.57,22000.0,2.405,0.327,0528+134
53955.312,22000.0,3.244,0.39,0528+134
53955.322,22000.0,3.533,0.403,0528+134
53973.272,22000.0,3.368,0.344,0528+134
53973.281,22000.0,3.332,0.335,0528+134
54010.131,22000.0,3.977,0.43,0528+134
54010.14,22000.0,4.273,0.456,0528+134
54022.089,22000.0,4.185,0.387,0528+134
54022.098,22000.0,3.957,0.413,0528+134
54057.978,22000.0,4.428,0.717,0528+134
54057.987,22000.0,3.955,0.59,0528+134
54058.005,22000.0,3.848,0.579,0528+134
54097.904,22000.0,3.91,0.388,0528+134
54097.913,22000.0,3.603,0.395,0528+134
54097.922,22000.0,3.695,0.391,0528+134
54120.839,22000.0,3.141,0.434,0528+134
54120.848,22000.0,4.166,0.555,0528+134
54148.776,22000.0,4.418,0.343,0528+134
54148.785,22000.0,4.07,0.392,0528+134
54148.794,22000.0,4.377,0.457,0528+134
54198.49,22000.0,4.031,0.433,0528+134
54198.5,22000.0,3.421,0.39,0528+134
54198.509,22000.0,3.89,0.355,0528+134
54198.518,22000.0,3.833,0.35,0528+134
54219.504,22000.0,4.79,0.414,0528+134
54219.514,22000.0,4.887,0.374,0528+134
54219.532,22000.0,4.481,0.365,0528+134
54274.468,22000.0,5.035,0.37,0528+134
54274.477,22000.0,5.56,0.441,0528+134
54274.486,22000.0,3.867,0.403,0528+134
54274.496,22000.0,4.545,0.394,0528+134
54288.395,22000.0,5.416,0.405,0528+134
54288.404,22000.0,4.563,0.379,0528+134
54294.494,22000.0,4.607,0.453,0528+134
54294.503,22000.0,5.675,0.484,0528+134
54324.168,22000.0,5.419,0.553,0528+134
54324.177,22000.0,4.997,0.572,0528+134
54324.186,22000.0,5.302,0.474,0528+134
54324.195,22000.0,5.02,0.519,0528+134
54346.17,22000.0,6.003,0.74,0528+134
54346.179,22000.0,5.128,0.675,0528+134
54346.188,22000.0,5.51,0.714,0528+134
54346.198,22000.0,5.267,1.022,0528+134
54372.239,22000.0,5.827,0.499,0528+134
54372.248,22000.0,6.267,0.649,0528+134
54386.186,22000.0,5.889,0.44,0528+134
54456.916,22000.0,4.256,0.39,0528+134
54456.926,22000.0,4.876,0.339,0528+134
54456.935,22000.0,4.184,0.343,0528+134
54456.944,22000.0,4.894,0.406,0528+134
54460.891,22000.0,4.633,0.284,0528+134
54460.901,22000.0,4.944,0.258,0528+134
54511.699,22000.0,3.605,0.226,0528+134
54511.708,22000.0,3.696,0.216,0528+134
54511.717,22000.0,2.473,0.231,0528+134
54511.727,22000.0,2.782,0.323,0528+134
54561.698,22000.0,3.849,0.194,0528+134
54561.707,22000.0,3.447,0.204,0528+134
54575.665,22000.0,2.886,1.27,0528+134
54575.675,22000.0,4.028,1.179,0528+134
54604.584,22000.0,3.085,0.372,0528+134
54604.593,22000.0,3.402,0.383,0528+134
54639.538,22000.0,3.946,0.429,0528+134
54639.548,22000.0,3.751,0.416,0528+134
54666.45,22000.0,3.186,0.318,0528+134
54666.459,22000.0,3.182,0.329,0528+134
54687.402,22000.0,3.301,0.435,0528+134
54779.16,22000.0,3.447,0.685,0528+134
54779.169,22000.0,3.642,0.598,0528+134
54816.036,22000.0,2.656,0.652,0528+134
54816.045,22000.0,3.316,0.733,0528+134
54911.763,22000.0,2.424,0.478,0528+134
54911.772,22000.0,2.487,0.444,0528+134
55062.188,22000.0,1.764,0.267,0528+134
55062.197,22000.0,1.958,0.308,0528+134
55099.148,22000.0,1.682,0.614,0528+134
55099.157,22000.0,1.466,0.175,0528+134
55121.162,22000.0,1.721,0.234,0528+134
55121.172,22000.0,0.766,0.461,0528+134
55208.96,22000.0,1.327,0.195,0528+134
55208.969,22000.0,1.024,0.208,0528+134
53826.558,43000.0,2.299,0.839,0528+134
53852.473,43000.0,2.752,0.913,0528+134
53878.432,43000.0,2.757,0.673,0528+134
53879.432,43000.0,2.75,0.654,0528+134
53913.348,43000.0,2.115,0.541,0528+134
53928.307,43000.0,3.636,0.706,0528+134
53951.223,43000.0,4.673,1.002,0528+134
53952.223,43000.0,4.923,1.08,0528+134
53953.223,43000.0,4.769,1.008,0528+134
53972.182,43000.0,4.952,1.135,0528+134
53973.182,43000.0,4.386,1.024,0528+134
53998.098,43000.0,4.672,0.888,0528+134
53999.098,43000.0,4.445,0.845,0528+134
54000.098,43000.0,4.365,0.834,0528+134
54026.015,43000.0,4.428,1.156,0528+134
54276.572,43000.0,7.082,1.057,0528+134
54276.58,43000.0,6.812,1.052,0528+134
54276.599,43000.0,6.721,1.053,0528+134
54276.61,43000.0,6.716,0.874,0528+134
54276.62,43000.0,7.767,1.088,0528+134
54276.631,43000.0,7.333,1.032,0528+134
54276.642,43000.0,5.889,0.88,0528+134
54276.652,43000.0,6.979,1.209,0528+134
54276.663,43000.0,5.4,1.244,0528+134
54277.348,43000.0,5.399,0.653,0528+134
54321.223,43000.0,5.412,0.635,0528+134
54322.224,43000.0,5.14,0.645,0528+134
54365.098,43000.0,5.906,0.663,0528+134
54367.099,43000.0,5.352,0.608,0528+134
54391.057,43000.0,6.45,0.661,0528+134
54421.921,43000.0,4.381,0.55,0528+134
54423.921,43000.0,4.829,0.607,0528+134
54424.921,43000.0,5.302,0.657,0528+134
54437.921,43000.0,4.96,0.788,0528+134
54479.796,43000.0,4.306,0.625,0528+134
54480.796,43000.0,4.331,0.613,0528+134
54505.714,43000.0,3.986,0.62,0528+134
54506.712,43000.0,4.439,0.598,0528+134
54521.671,43000.0,3.287,0.365,0528+134
54522.671,43000.0,3.039,0.34,0528+134
54523.672,43000.0,3.795,0.411,0528+134
54556.547,43000.0,3.612,0.388,0528+134
54557.547,43000.0,4.084,0.444,0528+134
54580.463,43000.0,2.839,0.31,0528+134
54611.38,43000.0,2.478,0.278,0528+134
54612.38,43000.0,2.499,0.285,0528+134
54642.295,43000.0,2.206,0.343,0528+134
54643.296,43000.0,2.161,0.288,0528+134
54659.255,43000.0,2.003,0.349,0528+134
54660.255,43000.0,2.329,0.387,0528+134
54680.213,43000.0,3.121,0.343,0528+134
54681.213,43000.0,3.3,0.352,0528+134
54682.214,43000.0,3.258,0.352,0528+134
54708.114,43000.0,3.018,0.342,0528+134
54708.151,43000.0,2.886,0.426,0528+134
54709.114,43000.0,2.982,0.331,0528+134
54709.151,43000.0,2.947,0.39,0528+134
54710.114,43000.0,2.557,0.289,0528+134
54710.151,43000.0,2.648,0.311,0528+134
54744.056,43000.0,3.504,0.582,0528+134
54745.057,43000.0,3.175,0.52,0528+134
54779.921,43000.0,1.933,0.3,0528+134
54780.921,43000.0,1.862,0.296,0528+134
54781.921,43000.0,1.907,0.295,0528+134
54807.921,43000.0,3.04,0.428,0528+134
54808.921,43000.0,2.81,0.407,0528+134
54809.921,43000.0,2.651,0.383,0528+134
54840.796,43000.0,1.603,0.375,0528+134
54842.796,43000.0,1.883,0.355,0528+134
54878.713,43000.0,2.203,0.453,0528+134
54929.546,43000.0,1.782,0.229,0528+134
54930.546,43000.0,1.782,0.208,0528+134
54931.546,43000.0,1.613,0.204,0528+134
54959.422,43000.0,1.32,0.181,0528+134
54961.421,43000.0,1.541,0.214,0528+134
55009.296,43000.0,1.799,0.245,0528+134
55011.296,43000.0,1.496,0.223,0528+134
55157.969,43000.0,1.426,0.192,0528+134
55158.973,43000.0,1.258,0.222,0528+134
55160.006,43000.0,1.537,0.344,0528+134
55160.96,43000.0,1.678,0.268,0528+134
55161.957,43000.0,1.887,0.319,0528+134
55167.922,43000.0,1.693,0.282,0528+134
55168.923,43000.0,1.61,0.269,0528+134
55174.914,43000.0,1.815,0.251,0528+134
55175.917,43000.0,1.675,0.242,0528+134
55176.909,43000.0,1.798,0.256,0528+134
55178.925,43000.0,1.786,0.254,0528+134
55184.873,43000.0,1.686,0.223,0528+134
55185.879,43000.0,1.548,0.209,0528+134
55186.885,43000.0,1.623,0.222,0528+134
55188.869,43000.0,1.723,0.238,0528+134
55188.879,43000.0,1.643,0.243,0528+134
55189.874,43000.0,1.483,0.203,0528+134
55189.884,43000.0,1.539,0.237,0528+134
55209.797,43000.0,1.48,0.197,0528+134
55213.785,43000.0,1.773,0.222,0528+134
55214.79,43000.0,1.57,0.202,0528+134
53511.604,5000.0,2.977,0.114,0528+134
53576.436,5000.0,3.103,0.107,0528+134
53577.28,5000.0,3.286,0.111,0528+134
