MJD,Freq,Flux,Flux_err,Source
54611.161,43000.0,1.065,0.136,0219+428
54611.223,43000.0,1.077,0.131,0219+428
54612.161,43000.0,1.043,0.131,0219+428
54612.223,43000.0,1.023,0.123,0219+428
54613.161,43000.0,1.201,0.165,0219+428
54613.223,43000.0,0.99,0.118,0219+428
54642.139,43000.0,1.069,0.245,0219+428
54643.077,43000.0,1.148,0.157,0219+428
54643.14,43000.0,1.112,0.162,0219+428
54644.078,43000.0,1.111,0.157,0219+428
54644.14,43000.0,1.127,0.163,0219+428
54659.036,43000.0,0.872,0.157,0219+428
54659.098,43000.0,1.152,0.211,0219+428
54660.036,43000.0,0.844,0.146,0219+428
54660.098,43000.0,1.171,0.207,0219+428
54679.994,43000.0,0.907,0.113,0219+428
54680.057,43000.0,1.097,0.153,0219+428
54680.994,43000.0,1.069,0.151,0219+428
54681.057,43000.0,0.883,0.119,0219+428
54681.993,43000.0,1.03,0.137,0219+428
54682.056,43000.0,0.911,0.128,0219+428
54707.973,43000.0,0.996,0.14,0219+428
54708.888,43000.0,0.862,0.254,0219+428
54708.973,43000.0,0.842,0.125,0219+428
54709.888,43000.0,0.997,0.16,0219+428
54709.973,43000.0,0.767,0.127,0219+428
54710.888,43000.0,0.949,0.238,0219+428
54743.879,43000.0,1.16,0.265,0219+428
54745.818,43000.0,0.906,0.203,0219+428
54745.879,43000.0,1.004,0.261,0219+428
54779.702,43000.0,0.714,0.14,0219+428
54779.765,43000.0,0.811,0.176,0219+428
54780.763,43000.0,0.982,0.16,0219+428
54807.703,43000.0,0.931,0.18,0219+428
54808.702,43000.0,0.936,0.18,0219+428
54840.641,43000.0,1.441,0.349,0219+428
54841.577,43000.0,1.26,0.276,0219+428
54841.64,43000.0,1.347,0.368,0219+428
54842.64,43000.0,1.185,0.46,0219+428
54878.504,43000.0,1.325,0.423,0219+428
54879.494,43000.0,1.335,0.239,0219+428
54930.327,43000.0,0.602,0.108,0219+428
54961.202,43000.0,0.784,0.109,0219+428
54961.265,43000.0,0.727,0.117,0219+428
55009.078,43000.0,1.007,0.137,0219+428
55009.139,43000.0,1.016,0.199,0219+428
55010.079,43000.0,1.006,0.16,0219+428
55010.14,43000.0,0.855,0.131,0219+428
55011.139,43000.0,1.103,0.188,0219+428
55168.765,43000.0,0.85,0.159,0219+428
55209.578,43000.0,0.703,0.123,0219+428
53388.572,5000.0,1.596,0.126,0219+428
53477.704,5000.0,1.662,0.087,0219+428
53478.768,5000.0,1.5,0.094,0219+428
53503.37,5000.0,1.756,0.091,0219+428
53510.638,5000.0,1.531,0.101,0219+428
53511.274,5000.0,1.612,0.087,0219+428
53511.559,5000.0,1.58,0.084,0219+428
53543.472,5000.0,1.549,0.086,0219+428
53544.261,5000.0,1.636,0.092,0219+428
53544.592,5000.0,1.484,0.093,0219+428
53576.401,5000.0,1.495,0.085,0219+428
53577.243,5000.0,1.508,0.087,0219+428
53605.967,5000.0,1.62,0.081,0219+428
53607.389,5000.0,1.472,0.096,0219+428
53638.871,5000.0,1.565,0.078,0219+428
53639.225,5000.0,1.632,0.08,0219+428
53639.825,5000.0,1.599,0.096,0219+428
53639.963,5000.0,1.451,0.077,0219+428
53640.156,5000.0,1.53,0.076,0219+428
53640.335,5000.0,1.501,0.095,0219+428
53723.853,5000.0,1.715,0.095,0219+428
53724.539,5000.0,1.621,0.085,0219+428
53763.635,5000.0,1.794,0.115,0219+428
53763.866,5000.0,1.663,0.093,0219+428
53770.612,5000.0,1.816,0.101,0219+428
53770.621,5000.0,1.82,0.088,0219+428
53826.466,5000.0,1.712,0.086,0219+428
53851.523,5000.0,1.754,0.11,0219+428
54012.124,5000.0,1.895,0.183,0219+428
54012.133,5000.0,1.933,0.175,0219+428
54023.952,5000.0,1.957,0.067,0219+428
54023.961,5000.0,1.979,0.073,0219+428
54296.407,5000.0,1.799,0.08,0219+428
54296.416,5000.0,1.778,0.077,0219+428
54347.996,5000.0,1.879,0.062,0219+428
54348.005,5000.0,1.794,0.059,0219+428
54348.015,5000.0,1.749,0.06,0219+428
54348.024,5000.0,1.667,0.059,0219+428
54374.149,5000.0,1.772,0.062,0219+428
54374.158,5000.0,1.772,0.067,0219+428
54397.09,5000.0,1.891,0.292,0219+428
54563.592,5000.0,1.873,0.106,0219+428
54912.683,5000.0,1.643,0.245,0219+428
54912.692,5000.0,1.207,0.276,0219+428
54953.658,5000.0,1.402,0.279,0219+428
55002.499,5000.0,1.641,0.444,0219+428
55034.35,5000.0,1.687,0.201,0219+428
55063.308,5000.0,1.626,0.159,0219+428
55100.122,5000.0,1.547,0.064,0219+428
55100.132,5000.0,1.635,0.063,0219+428
55122.195,5000.0,1.585,0.074,0219+428
55122.205,5000.0,1.623,0.072,0219+428
55209.845,5000.0,1.531,0.079,0219+428
55209.855,5000.0,1.564,0.073,0219+428
53349.673,8000.0,1.173,0.068,0219+428
53349.778,8000.0,1.072,0.06,0219+428
53350.052,8000.0,1.036,0.073,0219+428
53350.638,8000.0,1.161,0.082,0219+428
53350.752,8000.0,1.129,0.057,0219+428
53350.929,8000.0,1.076,0.058,0219+428
53351.01,8000.0,1.078,0.06,0219+428
53351.124,8000.0,1.149,0.078,0219+428
53351.739,8000.0,1.193,0.058,0219+428
