Source,Freq,MJD_1,MJD_2,MJD_diff,Flux_1,Flux_2,Flux_diff
0235+164,5000.0,53359.925,53386.738,26.812999999994645,1.379,1.263,-0.1160000000000001
0235+164,5000.0,53359.925,53387.738,27.812999999994645,1.379,1.23,-0.14900000000000002
0235+164,5000.0,53359.925,53388.738,28.812999999994645,1.379,1.281,-0.09800000000000009
0235+164,5000.0,53359.925,53389.738,29.812999999994645,1.379,1.318,-0.06099999999999994
0235+164,5000.0,53444.512,53477.688,33.175999999999476,1.228,0.859,-0.369
0235+164,5000.0,53444.512,53477.696,33.184000000001106,1.228,0.863,-0.365
0235+164,5000.0,53445.479,53477.688,32.20900000000256,1.256,0.859,-0.397
0235+164,5000.0,53445.479,53477.696,32.21700000000419,1.256,0.863,-0.393
0235+164,5000.0,53446.478,53477.688,31.209999999999127,1.238,0.859,-0.379
0235+164,5000.0,53446.478,53477.696,31.218000000000757,1.238,0.863,-0.375
0235+164,5000.0,53448.446,53477.688,29.24199999999837,1.183,0.859,-0.32400000000000007
0235+164,5000.0,53448.446,53477.696,29.25,1.183,0.863,-0.32000000000000006
0235+164,5000.0,53449.475,53477.688,28.213000000003376,1.228,0.859,-0.369
0235+164,5000.0,53449.475,53477.696,28.221000000005006,1.228,0.863,-0.365
0235+164,5000.0,53450.446,53477.688,27.24199999999837,1.215,0.859,-0.3560000000000001
0235+164,5000.0,53450.446,53477.696,27.25,1.215,0.863,-0.3520000000000001
0235+164,5000.0,53454.56,53477.688,23.12800000000425,1.171,0.859,-0.31200000000000006
0235+164,5000.0,53454.56,53477.696,23.13600000000588,1.171,0.863,-0.30800000000000005
0235+164,5000.0,53454.645,53477.688,23.043000000005122,1.166,0.859,-0.30699999999999994
0235+164,5000.0,53454.645,53477.696,23.051000000006752,1.166,0.863,-0.30299999999999994
0235+164,5000.0,53454.653,53477.688,23.035000000003492,1.206,0.859,-0.347
0235+164,5000.0,53454.653,53477.696,23.043000000005122,1.206,0.863,-0.34299999999999997
0235+164,5000.0,53456.74,53477.688,20.948000000003958,1.171,0.859,-0.31200000000000006
0235+164,5000.0,53456.74,53477.696,20.956000000005588,1.171,0.863,-0.30800000000000005
0235+164,5000.0,53456.748,53477.688,20.94000000000233,1.166,0.859,-0.30699999999999994
0235+164,5000.0,53456.748,53477.696,20.948000000003958,1.166,0.863,-0.30299999999999994
0235+164,5000.0,53457.512,53477.688,20.175999999999476,1.132,0.859,-0.2729999999999999
0235+164,5000.0,53457.512,53477.696,20.184000000001106,1.132,0.863,-0.2689999999999999
0235+164,5000.0,53457.52,53477.688,20.168000000005122,1.167,0.859,-0.30800000000000005
0235+164,5000.0,53457.52,53477.696,20.176000000006752,1.167,0.863,-0.30400000000000005
0235+164,5000.0,53477.688,53505.618,27.93000000000029,0.859,1.045,0.18599999999999994
0235+164,5000.0,53477.688,53511.551,33.862999999997555,0.859,1.307,0.44799999999999995
0235+164,5000.0,53477.696,53505.618,27.92199999999866,0.863,1.045,0.18199999999999994
0235+164,5000.0,53477.696,53511.551,33.854999999995925,0.863,1.307,0.44399999999999995
0235+164,5000.0,53505.618,53543.455,37.836999999999534,1.045,1.129,0.08400000000000007
0235+164,5000.0,53505.618,53543.463,37.845000000001164,1.045,1.078,0.03300000000000014
0235+164,5000.0,53505.618,53544.244,38.625999999996566,1.045,1.149,0.10400000000000009
0235+164,5000.0,53505.618,53544.252,38.633999999998196,1.045,1.14,0.09499999999999997
0235+164,5000.0,53511.551,53543.455,31.90400000000227,1.307,1.129,-0.17799999999999994
0235+164,5000.0,53511.551,53543.463,31.9120000000039,1.307,1.078,-0.22899999999999987
0235+164,5000.0,53511.551,53544.244,32.6929999999993,1.307,1.149,-0.15799999999999992
0235+164,5000.0,53511.551,53544.252,32.70100000000093,1.307,1.14,-0.16700000000000004
0235+164,5000.0,53543.455,53576.384,32.92899999999645,1.129,1.28,0.15100000000000002
0235+164,5000.0,53543.455,53576.392,32.93699999999808,1.129,1.268,0.139
0235+164,5000.0,53543.455,53577.225,33.7699999999968,1.129,1.167,0.038000000000000034
0235+164,5000.0,53543.455,53577.234,33.778999999994994,1.129,1.254,0.125
