Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
0440-003,154205,55943.65625,5125,16.9714,3.0657,0.0725,
0440-003,163508,55973.69531,5125,40.8867,3.1155,0.0963,
0440-003,135817,56002.58594,5125,36.1064,3.0615,0.0918,
0440-003,114850,56033.49609,5125,35.1564,3.2368,0.0991,
0440-003,91819,56037.39062,5125,14.2846,3.0261,0.1162,
0440-003,105440,56068.45703,5125,43.3263,3.1399,0.0711,
0440-003,93201,56096.39844,5125,44.6627,3.3339,0.044,
0440-003,94014,56139.40625,5125,34.7085,3.3832,0.0488,
0440-003,233906,56204.98828,5125,27.6195,3.3533,0.039,
0440-003,24017,56205.11328,5125,45.092,3.2762,0.0411,
0440-003,61217,56205.26172,5125,27.3858,3.2409,0.0566,
0440-003,204916,56272.87109,5125,40.147,3.4805,0.0513,
0440-003,163209,55943.69141,8305,25.2057,2.4293,0.1238,
0440-003,135455,55973.58203,8305,18.7942,2.1065,0.1511,
0440-003,122704,56002.51953,8305,22.8703,2.5083,0.2424,
0440-003,92621,56033.39453,8305,12.9506,2.2126,0.2199,
0440-003,85147,56068.37109,8305,29.9468,2.5625,0.2374,
0440-003,130734,56096.55078,8305,29.3763,2.838,0.2205,
0440-003,25722,56141.125,8305,19.0484,2.3532,0.1658,
0440-003,50637,56141.21484,8305,37.8636,2.5813,0.1686,
0440-003,12139,56176.05859,8305,25.8491,2.4288,0.1929,
0440-003,225848,56272.96094,8305,44.668,1.5952,0.2163,
0440-003,22638,56273.10547,8305,20.7294,2.3308,0.1972,
0440-003,23242,57276.11034,5075,37.8096,2.6608,0.0498,
0440-003,2916,57301.02463,5075,34.7474,2.651,0.0669,
0440-003,222808,57336.94051,5075,37.2626,2.6186,0.0541,
0440-003,71425,57240.3095,24000,44.8252,1.0898,0.1088,
0440-003,45144,57276.21041,24100,44.8595,1.1633,0.0513,
0440-003,3308,57337.03082,24100,45.1889,1.1612,0.0832,
0440-003,204501,57370.87241,24100,41.1146,1.0643,0.0502,
0440-003,32502,57240.14643,8520,25.5549,1.8947,0.032,
0440-003,5857,57276.04498,8520,24.8381,2.0747,0.0226,
0440-003,205743,57336.87746,8520,24.6122,1.9083,0.0215,
0440-003,174236,57433.74223,5075,44.7349,2.3698,0.0604,
0440-003,171705,57468.7245,5075,41.5582,2.5569,0.0494,
0440-003,115112,57498.49778,5075,37.1934,2.5329,0.0539,
0440-003,65205,57560.29008,5075,29.8351,2.5279,0.0527,
0440-003,62127,57582.27069,5075,37.5753,2.511,0.0386,
0440-003,135217,57468.5858,24100,38.3751,1.0598,0.0653,
0440-003,133025,57498.57029,24100,44.9942,1.2054,0.163,
0440-003,145357,57525.63044,24100,30.9885,0.986,0.0644,
0440-003,82621,57581.35912,24100,45.2087,1.2767,0.0733,
0440-003,181940,57737.77097,24100,22.6813,0.8131,0.066,
0440-003,173818,57400.73894,8520,32.4078,1.942,0.0196,
0440-003,104202,57498.44957,8520,27.8458,1.8699,0.0237,
0440-003,100341,57526.42294,8520,37.557,1.8621,0.0235,
0440-003,52245,57560.22784,8520,15.536,2.0599,0.0973,
0440-003,41743,57582.18268,8520,19.1783,1.9062,0.0315,
0440-003,225151,57720.9563,8520,44.7835,1.6208,0.0216,
0440-003,23240,57721.10966,8520,28.0641,1.6693,0.0242,
0440-003,11314,57738.05448,8520,29.949,1.6464,0.0276,
0440-003,165439,57777.70836,5075,32.6015,1.8114,0.0334,
0440-003,135742,57837.58548,5075,39.7154,2.0171,0.0377,
0440-003,192728,57777.8171,24100,45.2001,0.7874,0.0422,
0440-003,140144,57811.59089,24100,27.668,0.6657,0.0615,
0440-003,162503,57837.69041,24100,43.8341,0.6593,0.1325,
0440-003,104047,57920.45135,24100,44.6468,0.7483,0.078,
0440-003,141711,57920.60163,24100,19.1555,0.6701,0.1526,
0440-003,83037,57947.36096,24100,45.1895,0.8709,0.0814,
0440-003,73819,57981.32463,24100,41.0025,0.8805,0.0652,
0440-003,51923,58042.22814,24100,28.4742,0.6984,0.0594,
0440-003,4347,58043.03676,24100,41.707,0.7803,0.041,
0440-003,43913,58043.20026,24100,33.6392,0.7532,0.052,
0440-003,122617,57837.52188,8520,27.9846,1.4285,0.0293,
0440-003,93607,57875.40372,8520,24.7767,1.4471,0.0288,
0440-003,82231,57920.35261,8520,38.8712,1.4563,0.0245,
0440-003,44541,57947.20202,8520,23.6064,1.4906,0.0217,
0440-003,43414,57982.19406,8520,40.4506,1.4124,0.0331,
0440-003,120049,58324.50431,4835,17.0389,1.8871,0.1642,
0440-003,45046,58325.20566,4835,38.5564,1.9967,0.0308,
0440-003,80138,58325.33821,4835,51.8689,1.9747,0.0282,
0440-003,211304,58136.89043,24100,42.0155,0.6622,0.0464,
0440-003,194311,58159.82801,24100,41.971,0.7322,0.0395,
0440-003,130205,58254.54947,24100,43.8178,0.8756,0.0716,
0440-003,91315,58290.39055,24100,44.476,0.894,0.0689,
0440-003,55902,58383.25568,24100,36.1244,1.0953,0.095,
0440-003,11614,58434.05931,24100,43.7229,0.8466,0.0636,
0440-003,192325,58467.80957,24100,30.9173,0.893,0.071,
0440-003,150242,58159.63051,8520,25.9096,1.4531,0.0214,
0440-003,112656,58224.48067,8520,31.8162,1.3211,0.0236,
0440-003,92640,58254.39715,8520,31.4874,1.3934,0.0248,
0440-003,4900,58383.03767,8520,29.9794,1.3701,0.025,
0440-003,2257,58406.01956,8520,38.3403,1.533,0.0259,
0440-003,231604,58406.97313,8520,30.1835,1.419,0.0272,
0440-003,211335,58438.88805,8520,30.6645,1.4238,0.0211,
0440-003,152048,58532.64109,24100,32.741,0.9531,0.0824,
0440-003,73153,58659.31546,24100,36.6681,1.1563,0.1589,
0440-003,53721,58688.23592,24100,36.6073,1.1901,0.1586,
0440-003,42108,58710.18299,24100,37.8094,1.0801,0.1409,
0440-003,10707,58758.04826,24100,37.1984,1.1151,0.1268,
0440-003,55721,58659.25371,8305,23.8603,1.522,0.0287,
0440-003,40619,58688.17662,8305,24.3407,1.5833,0.0276,
0440-003,24105,58710.11742,8520,24.5381,1.6421,0.0209,
0440-003,233700,58757.98959,8520,25.2718,1.6385,0.056,
0440-003,221911,58776.93556,8305,24.7802,1.536,0.0298,
0440-003,201522,58808.84957,8305,25.0939,1.4662,0.0345,
0440-003,142845,58908.6048,6075,32.7059,1.5953,0.0121,
0440-003,103143,58960.44019,6075,27.1946,1.7366,0.0138,
0440-003,161327,58908.67731,23840,46.6273,1.4665,0.0116,
0440-003,23529,59073.11354,8305,22.2104,1.4304,0.0295,
0440-003,4413,59104.03627,8305,23.9252,1.4777,0.027,
0440-003,22501,59104.10235,24100,37.4596,0.924,0.1221,
0440-003,230456,59130.96733,8305,25.0206,1.5317,0.0291,
0440-003,4250,59131.03139,24100,37.9131,0.9219,0.1019,
0440-003,3441,59132.02573,24100,37.4341,1.0249,0.1289,
0440-003,24617,59132.11643,24100,45.0956,1.1426,0.1444,
0440-003,204356,59164.86941,8305,23.852,1.5184,0.0275,
0440-003,213911,59174.90386,24100,36.6721,1.0346,0.077,
0440-003,202037,59197.8493,24100,38.048,0.9249,0.0943,
0440-003,183910,59197.78277,8305,24.6465,1.4402,0.0246,
0440-003,162530,59230.68994,8305,24.019,1.3018,0.0223,
0440-003,181848,59230.76471,24100,38.9138,0.9233,0.058,
0440-003,143553,59261.61383,8305,25.9624,1.426,0.0265,
0440-003,122508,59292.52301,8305,24.5635,1.3134,0.0306,
0440-003,140258,59292.58704,24100,37.5772,0.7681,0.0756,
0440-003,121016,59297.51269,8305,25.3222,1.3915,0.0296,
0440-003,140551,59297.58905,24100,39.9956,0.7746,0.0703,
0440-003,82018,59354.353,8305,24.3981,1.3799,0.0276,
0440-003,100624,59354.42276,24100,38.3962,1.0166,0.1677,
0440-003,55309,59391.25081,8305,24.1325,1.3954,0.0262,
0440-003,72954,59391.31408,24100,37.1403,1.0285,0.1802,
0440-003,93732,59391.40272,24100,45.232,0.9187,0.0991,
0440-003,41014,59416.17934,8305,23.3903,1.5058,0.0378,
0440-003,53951,59416.23766,24100,35.7023,1.0584,0.2153,
0440-003,13907,59456.0744,8305,24.3755,1.3608,0.0256,
0440-003,239,59482.00741,8305,25.2867,1.2797,0.0283,
0440-003,14045,59482.07162,24100,38.1251,0.784,0.2079,
0440-003,221736,59506.93447,8305,24.2148,1.2777,0.0246,
0440-003,234208,59506.98924,24100,35.7149,0.771,0.1897,
0440-003,15406,59507.08089,24100,45.2025,0.9571,0.1421,
0440-003,193842,59547.82411,8305,24.5765,1.2328,0.0283,
0440-003,211813,59547.8893,24100,37.7786,0.8136,0.1091,
0440-003,181633,59568.76705,8305,24.6401,1.2064,0.0328,
0440-003,200121,59568.83592,24100,38.4168,0.7979,0.157,
0440-003,163131,59593.69412,8305,23.5646,1.2642,0.0325,
0440-003,153954,59632.65436,24100,37.3074,0.9781,0.1191,
0440-003,152444,59662.64382,24100,44.9518,0.7909,0.1043,
0440-003,101349,59718.42886,24100,38.8136,0.9668,0.1745,
0440-003,54154,59787.23908,24100,38.5963,1.2788,0.2496,
