Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
0420-014,174346,55916.74219,5125,21.978,4.7595,0.1003,
0420-014,185259,55916.78906,8305,32.3013,5.1453,0.1982,
0420-014,153044,55943.64844,5125,17.5509,4.7099,0.0845,
0420-014,162406,55973.6875,5125,40.5891,4.4828,0.0953,
0420-014,135015,56002.57812,5125,36.5277,4.3135,0.1026,
0420-014,114046,56033.48828,5125,35.6445,4.1376,0.1099,
0420-014,91026,56037.38281,5125,15.4898,3.8968,0.1326,
0420-014,102624,56068.4375,5125,41.7277,3.8324,0.1289,
0420-014,90351,56096.37891,5125,43.2925,4.0749,0.0447,
0420-014,93159,56139.39844,5125,32.3604,3.865,0.044,
0420-014,231155,56204.96875,5125,25.5938,4.0197,0.046,
0420-014,21140,56205.09375,5125,43.8586,3.9983,0.0399,
0420-014,53856,56205.23828,5125,28.6497,4.0817,0.0525,
0420-014,172104,56272.72656,5125,11.7899,4.0009,0.0653,
0420-014,202117,56272.85156,5125,38.324,3.9928,0.0978,
0420-014,162044,55943.68359,8305,25.6244,5.1306,0.1904,
0420-014,134336,55973.57422,8305,19.3533,4.2699,0.1901,
0420-014,121909,56002.51562,8305,23.8929,4.5467,0.3316,
0420-014,91829,56033.39062,8305,14.1757,3.954,0.2975,
0420-014,84023,56068.36328,8305,30.2356,4.1522,0.2131,
0420-014,123406,56096.52734,8305,30.5664,4.5643,0.2595,
0420-014,23014,56141.10547,8305,16.9639,3.7782,0.1638,
0420-014,43859,56141.19531,8305,35.9798,4.0499,0.2019,
0420-014,5427,56176.03906,8305,23.8022,3.7659,0.2009,
0420-014,223002,56272.94141,8305,43.9076,2.7785,0.3147,
0420-014,15323,56273.08203,8305,22.207,3.9827,0.2304,
0420-014,220131,56314.92188,5125,31.3939,4.1274,0.0255,
0420-014,155030,56394.66406,5125,38.1144,3.958,0.0265,
0420-014,134250,56418.57812,5125,41.0064,4.3754,0.033,
0420-014,120200,56474.50781,5125,27.186,4.6046,0.0357,
0420-014,95125,56489.41406,5125,36.5971,4.4632,0.0257,
0420-014,74738,56511.32812,5125,40.2067,5.0641,0.0438,
0420-014,62006,56538.26953,5125,38.5392,4.8566,0.0335,
0420-014,222229,56313.93359,8305,29.4488,4.8567,0.1392,
0420-014,4441,56314.03516,8305,6.1787,4.4131,0.1659,
0420-014,155530,56393.66797,8305,38.0063,5.204,0.1114,
0420-014,135541,56419.58594,8305,39.8943,5.3373,0.1257,
0420-014,115423,56476.5,8305,27.3814,5.1855,0.1716,
0420-014,100838,56490.42578,8305,34.3496,5.3269,0.204,
0420-014,63931,56539.28125,8305,36.3059,5.3747,0.0986,
0420-014,100701,56539.42578,8305,3.9491,3.7637,0.1336,
0420-014,214042,56678.90723,5075,35.6079,4.0321,0.0257,
0420-014,194826,56701.82926,5075,38.0575,3.974,0.0215,
0420-014,223330,56701.9439,5075,13.9609,4.0253,0.0563,
0420-014,175120,56744.74796,5075,31.7369,3.8625,0.0242,
0420-014,215119,56679.91451,8305,33.7193,4.3342,0.0682,
0420-014,2345,56680.01753,8305,10.0169,4.2006,0.1007,
0420-014,194825,56700.82916,8520,38.397,4.2059,0.0269,
