Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1221+21,153805,55326.65625,5125,29.2125,1.3643,0.0286,
1221+21,163755,55326.69922,5125,39.873,1.3825,0.0287,
1221+21,143418,55327.61328,5125,18.6107,1.3084,0.034,
1221+21,55520,58468.24841,24100,66.7431,2.3928,0.0789,
1221+21,72920,58468.31374,8520,60.1502,2.887,0.036,
1221+21,14443,58532.07436,24100,66.7459,1.958,0.0647,0.4039
1221+21,130,58557.00269,24100,66.7054,1.8674,0.0722,
1221+21,215518,58588.91505,24100,66.7012,1.8489,0.0868,
1221+21,231853,58588.9731,24100,61.8578,1.7236,0.0844,
1221+21,192040,58625.80767,24100,66.5143,1.7805,0.1033,
1221+21,204415,58625.86571,24100,62.8817,1.8975,0.1121,
1221+21,174624,58658.7422,24100,66.4172,1.7052,0.126,
1221+21,152351,58687.64321,24100,66.684,1.9449,0.1709,
1221+21,153825,58709.65332,24100,59.9782,1.618,0.1217,
1221+21,102630,58781.43672,24100,63.3303,1.5112,0.1868,
1221+21,120531,58781.50548,24100,49.3377,1.4799,0.1429,
1221+21,73245,58809.31607,24100,66.7447,1.4727,0.1036,
1221+21,31114,58532.1345,8520,60.9679,2.6858,0.0338,
1221+21,14740,58557.07647,8520,59.0583,2.579,0.03,
1221+21,234129,58588.98885,8520,59.107,2.5571,0.0278,
1221+21,2638,58589.02019,8520,52.37,2.6249,0.0308,
1221+21,211340,58625.88571,8520,59.5902,2.5174,0.0453,
1221+21,212122,58625.89153,8520,58.3727,2.5163,0.0314,
1221+21,220629,58625.92287,8520,51.5088,2.5294,0.0394,
1221+21,191716,58658.80536,8305,57.5736,2.423,0.0371,
1221+21,170439,58687.71326,8305,60.112,2.3414,0.0384,
1221+21,160127,58709.66936,8520,56.894,2.1671,0.0251,
1221+21,171500,58709.72045,8520,44.9957,2.3102,0.034,
1221+21,90300,58809.37879,8305,60.3629,2.2579,0.0341,
1221+21,101640,58809.42993,8305,49.2656,2.3777,0.0435,
1221+21,30026,58908.12678,6075,60.8856,2.5559,0.0148,
1221+21,21103,58908.09236,23840,68.0522,1.6152,0.0114,
1221+21,135718,59072.58311,24100,66.4514,1.6902,0.1665,
1221+21,152718,59072.64567,8305,62.479,2.0916,0.0497,
1221+21,164100,59072.69684,8305,52.1622,2.1628,0.037,
