Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1334-127,72652,55943.3125,5125,23.572,2.5537,0.0681,
1334-127,51646,55974.22266,5125,24.4842,2.6778,0.0934,
1334-127,61401,55974.26172,5125,17.3984,2.7741,0.1183,
1334-127,214050,56002.90625,5125,15.8822,3.0511,0.1086,
1334-127,222515,56002.9375,5125,21.7549,3.1832,0.1129,
1334-127,191059,56033.80078,5125,11.7692,3.018,0.1221,
1334-127,171544,56068.72266,5125,15.1539,2.9259,0.0612,
1334-127,180904,56068.75781,5125,22.2144,2.8972,0.0586,
1334-127,190245,56068.79297,5125,27.4772,3.0005,0.1096,
1334-127,164701,56096.70312,5125,25.2981,2.6873,0.0415,
1334-127,181249,56140.76172,5125,25.419,2.7641,0.0463,
1334-127,153547,56175.65234,5125,27.2965,2.4518,0.0677,
1334-127,183228,56175.77344,5125,3.4534,2.5062,0.3653,
1334-127,81436,56205.34375,5125,14.726,2.4515,0.0656,
1334-127,114334,56205.49219,5125,32.449,2.2337,0.0364,
1334-127,103427,56250.44141,5125,27.8638,2.469,0.0659,
1334-127,90951,56272.38281,5125,27.7005,2.3795,0.1586,
1334-127,40529,55974.17188,8305,30.5317,3.4629,0.2592,
1334-127,202654,56068.85547,8305,32.2822,3.2699,0.3293,
1334-127,145826,56096.625,8305,11.032,2.1578,0.2502,
1334-127,124649,56139.53516,8305,16.5381,2.9072,0.2011,
1334-127,133756,56175.57031,8305,32.4276,2.42,0.3308,
1334-127,105451,56204.45703,8305,30.9863,2.6215,0.1899,
1334-127,140644,56204.58984,8305,24.8381,2.9159,0.1934,
1334-127,41710,56273.17969,8305,18.8845,2.3147,0.1933,
1334-127,10802,56315.05078,5125,15.5153,2.4299,0.0296,
1334-127,185629,56394.79297,5125,6.903,2.4647,0.0478,
1334-127,151809,56474.64453,5125,20.7155,2.9471,0.0276,
1334-127,125725,56489.54688,5125,9.1862,2.739,0.0556,
1334-127,115547,56511.50391,5125,12.9582,2.9949,0.0373,
1334-127,100713,56538.42578,5125,12.6028,3.2451,0.0344,
1334-127,2518,56314.01953,8305,8.0693,2.9652,0.1584,
1334-127,24810,56314.12109,8305,26.5689,3.2096,0.1263,
1334-127,190136,56393.79688,8305,7.0905,3.0389,0.1775,
1334-127,150257,56476.63281,8305,19.9016,3.7644,0.1395,
1334-127,130655,56490.55078,8305,11.3252,3.7426,0.1699,
1334-127,115239,56510.5,8305,11.984,3.7954,0.1184,
1334-127,93739,56539.40625,8305,8.764,4.1014,0.1161,
1334-127,15235,56679.08214,5075,20.7107,4.0225,0.0324,
1334-127,16,56702.00229,5075,17.476,3.996,0.0661,
1334-127,23933,56680.11467,8305,26.4754,5.241,0.0796,
1334-127,414,56701.00679,8520,17.9357,5.147,0.0318,
1334-127,211315,57102.88811,5075,14.0811,5.5264,0.0429,
1334-127,204938,57161.87176,5075,32.3992,6.3211,0.099,
1334-127,133353,57276.56949,5075,32.4227,5.7799,0.048,
1334-127,60448,57371.25762,5075,30.3686,5.0012,0.0542,
1334-127,174009,57161.74168,24600,17.2838,5.8617,0.7086,
1334-127,170954,57238.72302,24000,29.5979,4.8451,0.2577,
1334-127,153144,57276.65484,24100,25.1114,5.5487,0.2095,
