Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1633+382,132653,55916.5625,5125,48.2821,2.9634,0.0769,
1633+382,142247,55916.60156,8305,38.6471,2.9754,0.1466,
1633+382,93313,55943.40234,5125,70.8755,2.9664,0.0962,
1633+382,102955,55973.44141,5125,40.2202,2.9751,0.0996,
1633+382,92049,56002.39062,5125,32.8701,3.4481,0.1866,
1633+382,73607,56037.32031,5125,27.5577,2.7491,0.1133,
1633+382,94054,56037.40625,5125,9.6402,2.8072,0.1258,
1633+382,171915,56096.72266,5125,39.5972,2.5881,0.0461,
1633+382,182644,56140.77344,5125,81.1524,2.6035,0.0427,
1633+382,192246,56175.80859,5125,59.4329,3.0384,0.1125,
1633+382,215329,56204.91406,5125,15.8152,3.1158,0.0626,
1633+382,85008,56205.37109,5125,26.4033,2.9843,0.0488,
1633+382,122852,56205.52344,5125,63.9082,2.8117,0.0351,
1633+382,95715,56272.41797,5125,82.2989,3.4704,0.1542,
1633+382,155349,56272.66406,5125,29.7711,3.2425,0.047,
1633+382,190401,56272.79688,5125,3.6553,3.0108,0.0704,
1633+382,121356,55943.51172,8305,42.6029,2.8724,0.1458,
1633+382,114432,55973.49219,8305,27.8225,2.6628,0.1463,
1633+382,104851,56002.45312,8305,19.1468,2.6652,0.2578,
1633+382,124716,56002.53125,8305,4.2741,2.2805,0.7703,
1633+382,74404,56033.32422,8305,28.7965,2.6416,0.2101,
1633+382,205655,56068.875,8305,58.4297,2.6108,0.1366,
1633+382,153658,56096.65234,8305,23.0313,2.2644,0.1759,
1633+382,131803,56139.55859,8305,27.7253,2.454,0.1911,
1633+382,141227,56175.59375,8305,61.3378,2.7727,0.1421,
1633+382,211842,56175.89062,8305,39.1326,2.9939,0.1882,
1633+382,234220,56175.98828,8305,16.5462,2.6153,0.1877,
1633+382,113931,56204.48828,8305,54.4023,3.5289,0.1665,
1633+382,140018,56250.58594,8305,64.3605,3.5445,0.1797,
1633+382,122037,56272.51562,8305,66.7094,3.7326,0.1644,
1633+382,45956,56273.21094,8305,32.3602,3.7165,0.1946,
1633+382,100204,56315.42188,5125,60.7823,3.1866,0.0237,
1633+382,41018,56395.17969,5125,67.4174,3.1775,0.029,
1633+382,20152,56419.08984,5125,73.3648,3.2422,0.0177,
1633+382,230134,56489.96484,5125,55.868,3.2325,0.0243,
1633+382,181330,56538.76562,5125,72.7753,3.1828,0.0197,
1633+382,125346,56643.54144,5075,57.231,3.3914,0.0301,
1633+382,93229,56314.40234,8305,67.2891,3.737,0.0985,
1633+382,120241,56314.50391,8305,40.752,3.5203,0.1168,
1633+382,41927,56394.18359,8305,66.4948,3.5066,0.0942,
1633+382,20256,56420.08984,8305,72.6945,3.6257,0.0867,
1633+382,233749,56475.98828,8305,59.3982,3.5585,0.093,
1633+382,215908,56490.92188,8305,66.4849,3.7336,0.1076,
1633+382,200353,56510.83984,8305,72.9093,3.7673,0.1022,
1633+382,181909,56539.76953,8305,71.3002,4.1466,0.1053,
1633+382,95710,56679.41884,5075,63.4835,3.2829,0.0178,
1633+382,81715,56702.34945,5075,65.1819,3.2015,0.0397,
1633+382,53737,56745.23858,5075,63.5041,3.0299,0.0317,
1633+382,80429,56745.3405,5075,37.7691,3.0034,0.0222,
1633+382,112434,56680.47944,8520,47.2982,3.8982,0.0345,
1633+382,74959,56701.33053,8520,70.7063,3.7041,0.028,
1633+382,55135,57103.24828,5075,66.0966,2.4784,0.0245,
1633+382,82601,57103.35545,5075,38.9459,2.4812,0.0272,
1633+382,20640,57162.09275,5075,64.6721,2.3974,0.0341,
1633+382,181723,57239.76646,5075,81.208,2.4444,0.1816,
1633+382,141508,57276.5982,5075,65.0912,2.2946,0.0557,
1633+382,101602,57337.43215,5075,65.2209,2.3847,0.0437,
1633+382,64543,57371.28609,5075,51.5653,2.4221,0.0357,
1633+382,222549,57161.94026,24600,72.5286,2.7252,0.2185,
1633+382,193352,57238.82407,24000,78.7839,2.9281,0.1229,
1633+382,171057,57276.72424,24100,77.8971,3.2152,0.0824,
1633+382,213814,57276.90936,24100,31.6682,2.8786,0.0839,
1633+382,140922,57300.59834,24100,81.1796,3.1568,0.2012,
1633+382,144033,57337.61958,24100,62.4085,3.1917,0.1249,
1633+382,93140,57371.40552,24100,81.3663,3.5449,0.0743,
1633+382,81701,57057.34934,8520,72.329,2.4412,0.031,
1633+382,55135,57102.24825,8520,66.8048,2.3789,0.0268,
1633+382,83031,57102.35857,8520,38.8534,2.3816,0.0239,
1633+382,11147,57240.0539,8520,21.9758,2.1652,0.0351,
1633+382,224539,57275.95241,8520,22.6728,2.4491,0.0274,
1633+382,184428,57336.78493,8520,22.8699,2.3305,0.027,
1633+382,165644,57370.71011,8520,18.9989,2.5437,0.0336,
1633+382,180852,57559.76004,5075,49.0181,2.2519,0.0476,
1633+382,160450,57581.67624,5075,43.0714,2.2248,0.0408,
1633+382,172153,57720.72731,5075,24.4403,2.2078,0.0652,
1633+382,134100,57401.57291,24100,30.529,2.8777,0.4308,
1633+382,12547,57469.06766,24100,64.522,3.5146,0.2015,
1633+382,61120,57469.26594,24100,60.6701,3.2982,0.1154,
1633+382,317,57499.00976,24100,70.6542,2.7489,0.0614,
1633+382,44223,57499.20358,24100,55.6517,2.785,0.1563,
1633+382,4527,57526.03957,24100,78.3688,2.4714,0.0615,
1633+382,204730,57559.87381,24100,78.102,2.4071,0.1118,
1633+382,184625,57581.78969,24100,72.3043,2.394,0.1483,
1633+382,124402,57737.53788,24100,59.0224,2.6775,0.075,
1633+382,152419,57400.64594,8520,15.3547,2.5563,0.0308,
1633+382,114901,57433.4964,8520,28.1803,2.7226,0.0341,
1633+382,93555,57468.40398,8520,27.4645,2.7227,0.0321,
1633+382,84309,57498.36701,8520,17.673,2.4822,0.0305,
1633+382,32547,57560.14661,8520,28.888,2.2881,0.0403,
1633+382,647,57582.00843,8520,47.8277,2.3043,0.0346,
1633+382,21522,57582.09771,8520,26.3372,2.263,0.0367,
1633+382,61614,57721.26493,8520,36.1393,2.3091,0.0196,
1633+382,44211,57738.19961,8520,31.6505,2.2997,0.0374,
1633+382,84355,57738.36749,8520,73.745,2.3131,0.022,
1633+382,101759,57778.43551,24100,56.559,2.4107,0.0426,
1633+382,14400,57779.07858,24100,29.6845,2.1377,0.0496,
1633+382,50631,57779.21921,24100,64.7042,2.3398,0.0459,
1633+382,24855,57812.12366,24100,63.2969,2.241,0.1047,
1633+382,43103,57837.19459,24100,76.7681,2.4356,0.0882,
1633+382,4649,57947.03888,24100,40.2494,2.449,0.1059,
1633+382,145752,58042.62987,22664,77.3118,2.3066,0.0383,
1633+382,100119,57837.42123,8520,21.3603,2.351,0.0353,
1633+382,71122,57875.30321,8520,24.5041,2.444,0.0294,
1633+382,21451,57947.09729,8520,26.5961,2.2679,0.0244,
1633+382,235038,58324.99526,4835,37.8177,2.3869,0.0382,
1633+382,124539,58382.53347,4835,56.7686,2.9402,0.0438,
1633+382,44746,58160.2062,24100,72.3505,3.1573,0.1179,
1633+382,31413,58224.14123,24100,75.3363,3.9214,0.1098,
1633+382,13213,58254.07041,24100,72.6068,5.0412,0.3459,
1633+382,232921,58289.98508,24100,69.3381,6.7443,0.6737,
1633+382,172635,58383.73316,24100,68.1232,7.886,0.8836,
1633+382,152755,58403.65074,24100,75.0844,5.705,0.2692,
1633+382,122718,58159.5226,8520,25.0533,2.2556,0.0338,
1633+382,85516,58224.37536,8520,18.4951,2.7507,0.0327,
1633+382,65517,58254.29204,8520,18.7987,3.0337,0.034,
1633+382,21145,58290.09515,8520,41.5162,3.2516,0.0375,
1633+382,44506,58290.20163,8520,17.1559,3.2547,0.0381,
1633+382,221748,58382.93267,8520,20.2963,3.6632,0.0606,
1633+382,190111,58403.79445,8520,38.5026,3.5777,0.0413,
1633+382,204012,58406.8649,8520,20.7749,3.8239,0.0338,
1633+382,184214,58438.78299,8520,19.6069,4.1545,0.038,
1633+382,115459,58467.49822,8520,69.7218,4.0919,0.0323,
1633+382,23,58659.00192,24100,62.3941,2.6678,0.1148,
1633+382,214804,58687.91003,24100,65.658,2.5452,0.1069,
1633+382,201150,58709.84321,24100,67.3881,2.3968,0.0934,
1633+382,173759,58757.73636,24100,61.1654,2.252,0.1179,
1633+382,73315,58532.31646,8520,70.8084,4.1136,0.0332,
1633+382,62438,58557.26881,8520,65.5546,3.8541,0.0382,
1633+382,41155,58589.17664,8520,66.7864,3.7904,0.0382,
1633+382,14506,58626.07469,8520,67.0261,3.4255,0.0356,
1633+382,5011,58659.03656,8305,53.6814,3.2404,0.0408,
1633+382,223850,58687.94534,8305,56.7631,3.0612,0.0375,
1633+382,210639,58709.88132,8520,57.7747,2.7767,0.0252,
1633+382,183419,58757.77554,8520,51.31,2.5319,0.0756,
1633+382,170504,58776.71356,8305,53.8829,2.5501,0.0468,
1633+382,180925,58776.75825,8305,42.6181,2.6487,0.0487,
1633+382,145320,58808.62207,8305,54.933,2.3411,0.0385,
1633+382,40032,58959.16853,6075,67.1375,2.8511,0.0246,
1633+382,202351,59072.85154,24100,66.8322,2.9619,0.1466,
1633+382,211637,59072.88825,8305,57.5751,2.3326,0.0424,
1633+382,193555,59103.81832,8305,53.8014,2.4165,0.0369,
1633+382,203955,59103.86276,8305,42.6036,2.4756,0.0396,
1633+382,184646,59103.78412,24100,62.407,2.8805,0.1282,
1633+382,175141,59130.74593,8305,53.4599,2.4781,0.0359,
1633+382,185335,59130.78892,8305,42.6306,2.5118,0.0408,
1633+382,163207,59130.69062,24100,67.4793,3.2056,0.0976,
1633+382,152715,59164.64563,8305,55.3694,2.5923,0.0408,
1633+382,163212,59164.69074,8305,43.957,2.593,0.0376,
1633+382,122105,59198.5163,24100,64.572,3.2596,0.0946,
1633+382,131135,59198.55142,8305,55.7196,2.6284,0.0283,
1633+382,141631,59198.59652,8305,44.2999,2.6131,0.0364,
1633+382,111344,59230.46957,8305,54.3048,2.7902,0.0355,
1633+382,101712,59230.43026,24100,64.2245,3.3039,0.0768,
1633+382,95511,59261.41503,8305,46.6737,3.0236,0.0499,
1633+382,90227,59261.37836,24100,55.8121,3.3813,0.093,
1633+382,70538,59292.29729,8305,55.0762,3.3528,0.04,
1633+382,60950,59292.25848,24100,64.8721,3.2477,0.1065,
1633+382,65328,59297.28884,8305,53.7473,3.2755,0.0352,
1633+382,55515,59297.24835,24100,63.9667,3.3579,0.0834,
1633+382,30509,59354.13028,8305,54.4989,3.4968,0.0423,
1633+382,41256,59354.17736,8305,42.6244,3.5604,0.0404,
1633+382,20055,59354.08563,24100,65.7949,3.2542,0.0957,
1633+382,2934,59391.02224,8305,56.297,3.3028,0.0398,
1633+382,232940,59390.98059,24100,66.823,3.1747,0.0924,
1633+382,234120,59415.98876,8305,47.4513,3.3722,0.0454,
1633+382,225340,59416.95565,8305,55.171,3.3223,0.0411,
1633+382,215736,59416.91666,24100,65.008,2.8161,0.2093,
1633+382,204744,59455.86819,8305,50.3167,3.0905,0.0387,
1633+382,215210,59455.91292,8305,39.1622,3.1728,0.0344,
1633+382,193843,59455.8202,24100,62.427,2.9172,0.1579,
1633+382,193815,59481.81994,8305,44.5922,2.9704,0.0406,
1633+382,184924,59482.78602,8305,52.4639,3.0258,0.0411,
1633+382,174925,59482.74431,24100,62.985,2.8988,0.2071,
1633+382,170818,59506.7158,8305,53.6577,2.7909,0.0389,
1633+382,181143,59506.75985,8305,42.5603,2.9518,0.0405,
1633+382,160159,59506.6697,24100,65.3164,2.7957,0.164,
1633+382,142242,59548.6008,8305,53.7381,2.5055,0.0387,
1633+382,132022,59548.55746,24100,64.6911,2.5875,0.0911,
1633+382,125552,59568.5405,8305,55.1944,2.8551,0.0416,
1633+382,140650,59568.58979,8305,42.75,2.8971,0.0397,
1633+382,115059,59568.49539,24100,66.6047,2.7984,0.1185,
1633+382,102058,59593.43287,24100,65.1321,2.7406,0.0998,
1633+382,112624,59593.47837,8305,53.6275,2.9143,0.0556,
1633+382,122949,59593.52241,8305,42.5309,2.8474,0.0563,
1633+382,102058,59593.43287,24100,65.1321,2.7406,0.0998,
1633+382,74933,59632.32773,24100,64.7876,2.3051,0.1137,
1633+382,54847,59662.24386,24100,65.292,2.595,0.0985,
1633+382,21411,59718.09579,24100,64.0594,2.8347,0.1223,
1633+382,214507,59786.90798,24100,63.9109,2.7908,0.1994,
1633+382,112624,59593.47837,8305,53.6275,2.9143,0.0556,
1633+382,122949,59593.52241,8305,42.5309,2.8474,0.0563,
1633+382,84646,59632.36752,8305,54.7446,2.7328,0.0472,
1633+382,100239,59632.42022,8305,41.4722,2.7991,0.0474,
1633+382,65626,59662.29089,8305,53.3969,3.3195,0.0477,
1633+382,80112,59662.33588,8305,42.0744,3.2642,0.0545,
1633+382,51506,59689.22052,8305,52.5441,3.1198,0.0465,
1633+382,61830,59689.26456,8305,41.4831,3.1011,0.0501,
1633+382,31631,59718.13818,8305,53.3532,3.1229,0.0441,
1633+382,41959,59718.18226,8305,42.2553,3.1505,0.0443,
1633+382,224344,59786.94875,8305,53.617,3.0914,0.0438,
1633+382,235453,59786.99816,8305,41.1933,3.085,0.0459,
1633+382,195457,59811.83148,24100,66.0249,2.9928,0.1739,
1633+382,205832,59811.87569,8305,54.8431,2.9483,0.039,
1633+382,160035,59871.66872,24100,65.7454,2.8091,0.1074,
1633+382,170047,59871.71059,8305,55.1643,2.9552,0.0439,
1633+382,144241,59907.61467,8305,54.5543,2.8395,0.0388,
1633+382,155839,59907.66744,8305,41.2705,2.8708,0.039,
1633+382,134121,59907.57202,24100,65.3338,2.9029,0.1147,
1633+382,141847,59933.59808,8305,40.869,2.9481,0.0444,
1633+382,114932,59933.49438,24100,67.0405,2.5303,0.1365,
1633+382,125502,59933.53986,24100,55.3523,2.8637,0.1631,
1633+382,84153,59973.36407,24100,72.3853,2.7154,0.0728,
1633+382,100055,59973.41902,8305,58.5169,2.9529,0.0557,
1633+382,85726,59997.37492,8305,53.0279,3.0846,0.0406,
1633+382,100835,59997.42434,8305,40.6238,3.0565,0.0457,
1633+382,43444,60031.19249,8305,75.8098,3.7498,0.0659,
1633+382,55721,60031.24987,8305,61.296,3.0505,0.0373,
1633+382,71713,60031.30533,8305,47.141,3.0499,0.0363,
1633+382,45402,60055.2059,8305,55.7594,3.0704,0.0412,
1633+382,61316,60055.26091,8305,41.8767,3.1104,0.0469,
1633+382,72628,60055.31175,8305,29.6787,3.2759,0.0505,
1633+382,82201,60055.35032,8305,21.0436,3.0404,0.0535,
1633+382,25400,60089.12254,8305,53.3373,3.1225,0.0478,
1633+382,10603,60116.04757,8305,53.6558,3.0654,0.0464,
1633+382,21710,60116.09697,8305,41.236,3.1063,0.0465,
1633+382,224343,60151.94874,8305,53.7934,3.0001,0.047,
1633+382,235452,60151.99815,8305,41.3654,3.0696,0.0488,
1633+382,205228,60178.87148,8305,54.6954,2.9923,0.0403,
1633+382,220906,60178.9247,8305,41.2972,2.8841,0.0482,
1633+382,190822,60205.79918,8305,54.3313,2.9422,0.0427,
1633+382,75731,59997.33326,24100,63.5457,2.7428,0.0911,
1633+382,14839,60089.0771,24100,64.8292,3.0884,0.1176,
1633+382,722,60116.00677,24100,63.9564,3.0369,0.1177,
1633+382,214759,60151.90997,22664,63.5715,3.218,0.1145,
1633+382,194908,60178.82745,24100,65.831,2.8912,0.1182,
1633+382,180851,60205.7578,24100,64.7856,2.58,0.1101,
