Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1ES2344+514,195947,58467.86692,24100,55.9247,0.1869,0.0149,
1ES2344+514,233844,58467.99185,8520,30.4354,0.2218,0.0305,
1ES2344+514,155714,58532.69852,24100,53.9269,0.1814,0.0148,
1ES2344+514,143101,58556.63504,24100,53.3546,0.1747,0.0196,
1ES2344+514,75458,58659.36359,24100,51.3502,0.1689,0.0249,
1ES2344+514,44432,58710.23137,24100,49.8262,0.1971,0.0258,
1ES2344+514,44432,58710.23137,24100,49.8262,0.1971,0.0258,
1ES2344+514,1554,58777.04006,24100,51.6493,0.1752,0.0309,
1ES2344+514,221911,58808.96375,24100,49.2509,0.1804,0.0365,
1ES2344+514,213951,58499.90929,8520,29.5544,0.2458,0.0277,
1ES2344+514,192923,58532.8187,8520,29.6387,0.1925,0.0203,
1ES2344+514,181417,58556.76654,8520,27.2542,0.2331,0.019,
1ES2344+514,194640,58556.82898,8520,17.0292,0.2055,0.0232,
1ES2344+514,154230,58588.66114,8520,30.4881,0.1596,0.0223,
1ES2344+514,171901,58588.72768,8520,19.4574,0.2194,0.0251,
1ES2344+514,132048,58625.56274,8520,30.0101,0.1793,0.0204,
1ES2344+514,103432,58659.461,8305,31.6569,0.1503,0.0286,
1ES2344+514,80305,58687.35583,8305,37.1935,0.3327,0.1346,
1ES2344+514,104745,58687.45669,8305,19.1084,0.2552,0.0336,
1ES2344+514,33914,58758.17259,8520,35.1138,0.2661,0.037,
1ES2344+514,24508,58780.13503,8305,30.85,0.2479,0.0292,
1ES2344+514,1233,58809.02907,8305,35.9482,0.2472,0.0391,
1ES2344+514,25133,58809.12379,8305,19.5103,0.2447,0.1238,
1ES2344+514,171640,58908.72394,6075,40.6042,0.2535,0.006,
1ES2344+514,140927,58960.59308,6075,38.2052,0.2233,0.0148,
1ES2344+514,164420,58908.70648,23840,44.2815,0.1675,0.0041,
1ES2344+514,63141,59073.29237,8305,38.5574,0.2181,0.0248,
1ES2344+514,44033,59104.21517,8305,37.0752,0.1911,0.0277,
1ES2344+514,25456,59132.14183,8305,36.4626,0.3181,0.081,
1ES2344+514,5745,59132.07386,24100,50.3894,0.2433,0.0304,
1ES2344+514,225300,59197.97382,8305,34.09,0.226,0.0131,
1ES2344+514,224958,59200.97169,8305,32.9323,0.3129,0.0634,
1ES2344+514,184150,59230.81279,24100,48.4007,0.1572,0.0175,
1ES2344+514,185012,59297.79711,8305,17.5309,0.2011,0.023,
1ES2344+514,145859,59354.63484,8305,18.8447,0.192,0.0167,
1ES2344+514,121505,59391.52813,8305,19.2499,0.17,0.036,
1ES2344+514,75302,59391.36224,24100,50.7605,0.1299,0.0252,
1ES2344+514,103806,59416.45536,8305,19.9481,0.2053,0.0251,
1ES2344+514,34229,59455.18827,24100,50.5983,0.1677,0.0629,
1ES2344+514,35852,59482.18622,8305,35.9243,0.22,0.0202,
1ES2344+514,20350,59482.11976,24100,49.4727,0.2408,0.039,
1ES2344+514,21857,59507.11682,8305,36.1492,0.2366,0.0388,
1ES2344+514,202423,59568.88401,24100,49.0842,0.1573,0.051,
1ES2344+514,185226,59593.82015,24100,48.1377,0.1332,0.0308,
1ES2344+514,211007,59592.88693,8305,34.7723,0.2015,0.0351,
1ES2344+514,185226,59593.82015,24100,48.1377,0.1332,0.0308,
1ES2344+514,160258,59632.70245,24100,50.547,0.2038,0.0343,
1ES2344+514,211007,59592.88693,8305,34.7723,0.2015,0.0351,
1ES2344+514,170005,59688.71551,8305,19.5572,0.1959,0.0265,
1ES2344+514,144232,59717.63323,8305,19.9854,0.202,0.024,
1ES2344+514,100242,59787.43886,8305,20.478,0.2242,0.025,
1ES2344+514,42126,59812.21524,24100,49.6407,0.1675,0.0651,
1ES2344+514,85000,59812.38373,8305,18.1298,0.2074,0.019,
1ES2344+514,3754,59871.06001,24100,48.3817,0.1803,0.0366,
1ES2344+514,322,59908.02266,8305,35.4801,0.2139,0.0178,
1ES2344+514,220124,59907.95134,24100,50.027,0.1237,0.031,
1ES2344+514,222653,59932.95565,8305,35.2357,0.2132,0.0217,
1ES2344+514,204818,59996.87251,8305,19.4342,0.2501,0.0347,
1ES2344+514,142431,60054.62068,8305,35.5903,0.4821,0.0689,
1ES2344+514,81440,60151.36385,8305,34.0491,0.209,0.0229,
1ES2344+514,162008,59997.7101,24100,48.9802,0.1355,0.0424,
1ES2344+514,105833,60088.49101,24100,42.8383,0.1899,0.0341,
1ES2344+514,83235,60116.38516,24100,48.9346,0.1558,0.0351,
1ES2344+514,41355,60179.21002,24100,49.739,0.1464,0.0399,
