Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1606+105,123656,55916.52734,5125,35.3485,0.9922,0.0596,
1606+105,112003,55916.47656,8305,46.9167,0.8294,0.1095,
1606+105,83640,55943.36328,5125,53.1181,1.0263,0.0527,
1606+105,94823,55973.41016,5125,25.8584,1.0869,0.0936,
1606+105,214513,56002.91016,5125,8.5497,1.0438,0.2129,
1606+105,172038,56068.72656,5125,7.736,1.0561,0.063,
1606+105,181401,56068.76172,5125,17.2569,1.1621,0.0458,
1606+105,173727,56096.73828,5125,30.1165,1.1261,0.0411,
1606+105,184841,56140.78516,5125,55.7941,1.0839,0.037,
1606+105,191434,56175.80469,5125,38.8513,1.0602,0.1395,
1606+105,84200,56205.36328,5125,11.2119,1.0867,0.0529,
1606+105,122031,56205.51562,5125,47.4059,1.048,0.0297,
1606+105,111207,56250.46875,5125,55.8686,1.0803,0.0708,
1606+105,94725,56272.41016,5125,55.8887,1.0598,0.047,
1606+105,112624,55943.48047,8305,29.3279,1.1271,0.1596,
1606+105,84717,55973.37109,8305,36.2585,0.9765,0.1019,
1606+105,203200,56068.85938,8305,40.7649,0.9888,0.1356,
1606+105,155458,56096.66406,8305,11.9939,0.9046,0.2299,
1606+105,134116,56139.57422,8305,18.3116,0.85,0.1636,
1606+105,143109,56175.60547,8305,48.9829,0.7437,0.1362,
1606+105,211034,56175.88281,8305,18.9914,0.8091,0.188,
1606+105,113116,56204.48047,8305,39.7628,0.8319,0.2074,
1606+105,144347,56204.61719,8305,55.632,0.8942,0.1348,
1606+105,45149,56273.20312,8305,17.8521,0.7425,0.1785,
1606+105,92944,56315.40234,5125,43.2829,1.1048,0.0393,
1606+105,32946,56395.15234,5125,49.2031,0.8931,0.0204,
1606+105,12105,56419.0625,5125,52.6069,0.875,0.0176,
1606+105,192457,56511.8125,5125,51.7793,0.8279,0.0606,
1606+105,173243,56538.73438,5125,52.3198,0.7104,0.02,
1606+105,122114,56643.51871,5075,40.5177,0.7707,0.034,
1606+105,91012,56314.38672,8305,46.8996,0.7473,0.1102,
1606+105,114846,56314.49609,8305,21.45,0.6352,0.2271,
1606+105,33858,56394.15625,8305,48.5899,0.6065,0.0865,
1606+105,12406,56420.0625,8305,52.2387,0.635,0.0961,
1606+105,225922,56475.96094,8305,43.1406,0.567,0.0893,
1606+105,212028,56490.89453,8305,48.4791,0.5555,0.1129,
1606+105,192500,56510.8125,8305,52.3564,0.5179,0.0764,
1606+105,174021,56539.74219,8305,51.4861,0.4665,0.0776,
1606+105,92417,56679.39588,5075,45.6832,0.7261,0.0321,
1606+105,74420,56702.32647,5075,46.9621,0.72,0.0198,
1606+105,74345,56745.326,5075,19.5571,0.7347,0.0251,
1606+105,71542,57056.30656,5075,54.3156,0.7762,0.034,
1606+105,80518,57103.34097,5075,20.7962,0.7614,0.0377,
1606+105,140001,57276.58763,5075,47.5605,0.7574,0.0377,
1606+105,95723,57337.41915,5075,47.2004,0.8508,0.0523,
1606+105,213629,57161.90579,24600,48.4823,0.8567,0.4037,
1606+105,181356,57238.76757,24000,55.9043,0.4652,0.0671,
1606+105,163536,57276.69929,24100,54.5636,0.6536,0.0531,
1606+105,134319,57300.57965,24100,55.1973,0.6455,0.0478,
1606+105,90537,57371.38679,24100,55.2564,0.6389,0.0896,
1606+105,103050,57057.44204,8520,26.9838,0.6917,0.0393,
1606+105,51839,57102.22528,8520,48.1257,0.7271,0.0258,
1606+105,80950,57102.34413,8520,20.6873,0.7093,0.0265,
1606+105,151150,57239.63725,8520,36.7575,0.7339,0.0221,
1606+105,123938,57276.53158,8520,35.6663,0.699,0.0193,
1606+105,114856,57300.49633,8520,42.5182,0.7198,0.0212,
