Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1741-038,130111,55916.54688,5125,33.7187,3.0708,0.0633,
1741-038,114455,55916.49219,8305,40.2427,3.9507,0.1746,
1741-038,90250,55943.37891,5125,41.6306,3.0173,0.0709,
1741-038,95945,55973.41797,5125,28.3149,3.0763,0.1136,
1741-038,190311,56140.79688,5125,39.4214,3.1726,0.0478,
1741-038,165024,56175.70312,5125,39.7287,3.1022,0.0746,
1741-038,125143,56205.53906,5125,26.7971,3.0044,0.0451,
1741-038,134833,56205.57812,5125,34.0985,2.9268,0.055,
1741-038,114956,56250.49609,5125,39.3734,2.8765,0.0822,
1741-038,102357,56272.4375,5125,39.4075,3.5456,0.0399,
1741-038,115058,55943.49609,8305,29.2997,3.4428,0.1433,
1741-038,85843,55973.37891,8305,35.7009,3.678,0.1938,
1741-038,211828,56140.89062,8305,39.0607,4.3194,0.1802,
1741-038,231559,56140.97266,8305,25.8013,4.4118,0.1982,
1741-038,2650,56141.02344,8305,14.6388,3.898,0.1512,
1741-038,120207,56204.50391,8305,18.6178,3.857,0.2153,
1741-038,152402,56204.64453,8305,41.0606,3.8964,0.2085,
1741-038,165515,56204.70703,8305,39.8161,4.1025,0.1959,
1741-038,185536,56204.79297,8305,27.0574,4.2892,0.2213,
1741-038,142528,56250.60156,8305,37.6946,2.3649,0.17,
1741-038,124719,56272.53516,8305,38.6313,2.7152,0.1735,
1741-038,92054,56315.39453,5125,40.244,3.4293,0.0196,
1741-038,32054,56395.14453,5125,41.1324,3.4867,0.0202,
1741-038,70247,56395.29688,5125,21.282,3.488,0.0415,
1741-038,11216,56419.05469,5125,40.3994,3.3017,0.0238,
1741-038,221223,56489.92969,5125,39.2367,3.6262,0.0318,
1741-038,191606,56511.80859,5125,40.7238,3.0084,0.0311,
1741-038,172354,56538.73047,5125,40.5292,3.351,0.0331,
1741-038,121425,56643.51397,5075,39.4883,3.1152,0.0295,
1741-038,33008,56394.15234,8305,41.1376,4.4948,0.1275,
1741-038,11547,56420.05859,8305,40.8429,4.1663,0.0951,
1741-038,225103,56475.95703,8305,40.3265,4.0846,0.0991,
1741-038,21646,56476.09766,8305,16.7154,3.9462,0.1801,
1741-038,211207,56490.88672,8305,41.3315,4.165,0.1194,
1741-038,191642,56510.80859,8305,40.8033,3.6803,0.0893,
1741-038,173201,56539.73438,8305,41.0689,3.9263,0.0954,
1741-038,91726,56679.39107,5075,41.1882,3.4227,0.0206,
1741-038,115636,56679.50159,5075,25.8147,3.4161,0.0222,
1741-038,73729,56702.32166,5075,41.4325,3.1472,0.0207,
1741-038,45754,56745.21084,5075,41.189,3.2157,0.0239,
1741-038,73705,56745.32137,5075,25.8214,3.2787,0.0226,
1741-038,104424,56680.45146,8520,34.6073,3.8715,0.0313,
1741-038,70956,56701.30253,8520,41.5703,3.7788,0.0362,
1741-038,50032,56743.21266,8520,41.3346,3.5941,0.0312,
1741-038,70856,57056.3018,5075,40.2059,3.313,0.0334,
1741-038,51144,57103.22043,5075,41.5262,3.272,0.0323,
1741-038,75837,57103.33633,5075,26.8268,3.3117,0.0424,
1741-038,11137,57162.05432,5075,41.6118,3.2829,0.044,
1741-038,201256,57239.84661,5075,41.5244,2.9915,0.0684,
1741-038,204505,57275.86894,5075,25.8002,3.2245,0.149,
1741-038,180728,57300.75949,5075,33.5949,3.3388,0.1548,
1741-038,205607,57238.88012,24000,39.7393,2.5748,0.1183,
1741-038,183150,57276.77993,24100,39.4126,3.2143,0.0892,
1741-038,151315,57300.64201,24100,40.8925,3.3581,0.0897,
1741-038,155355,57337.67027,24100,31.3524,3.4235,0.1363,
1741-038,110737,57371.47142,24100,41.6307,4.4103,0.1061,
1741-038,102407,57057.43737,8520,31.5736,3.1193,0.034,
1741-038,51148,57102.22048,8520,41.5786,3.2367,0.0246,
1741-038,80309,57102.33948,8520,26.7413,3.1683,0.0272,
1741-038,215812,57239.91946,8520,34.5689,3.0201,0.0288,
1741-038,172411,57275.72917,8520,41.5725,2.8324,0.0351,
1741-038,193120,57300.81748,8520,22.0413,2.8811,0.0427,
1741-038,180413,57337.75697,8520,12.5319,2.7838,0.031,
1741-038,110427,57720.46517,5075,38.4858,2.2361,0.0543,
1741-038,91505,57739.38921,5075,35.3128,2.647,0.0593,
1741-038,23308,57469.11416,24100,33.0988,4.0758,0.0798,
1741-038,11829,57499.06198,24100,37.508,4.224,0.0878,
1741-038,20329,57526.09322,24100,39.7854,4.0204,0.102,
1741-038,220327,57559.92655,24100,40.5434,3.9917,0.0986,
1741-038,200203,57581.84224,24100,38.3321,4.114,0.2946,
1741-038,145309,57737.62755,24100,20.5752,4.5228,0.1585,
1741-038,112537,57433.48018,8520,16.0744,3.0248,0.0495,
1741-038,30621,57560.13312,8520,16.1532,1.5574,0.0237,
1741-038,234458,57581.99328,8520,32.8742,3.3101,0.0241,
1741-038,91118,57721.38648,8520,25.9688,3.1896,0.0238,
1741-038,93125,57738.40045,8520,36.6274,3.8481,0.0221,
1741-038,62211,57812.26815,5075,41.639,3.0225,0.0495,
1741-038,112254,57778.48059,24100,28.0803,5.0914,0.1077,
1741-038,61146,57779.26453,24100,33.018,5.3472,0.0956,
1741-038,35407,57812.16895,24100,32.0597,4.3419,0.14,
1741-038,54548,57837.24649,24100,39.304,5.1299,0.1219,
1741-038,225912,57920.96414,24100,41.5969,5.3556,0.3581,
1741-038,212858,57946.90146,24100,41.6415,5.1623,0.1493,
1741-038,191128,57981.80598,24100,41.6446,4.7958,0.1561,
1741-038,170412,58013.7176,24100,41.656,4.2608,0.1391,
1741-038,161037,58042.6804,22664,39.6626,4.5468,0.0692,
1741-038,92815,57837.39752,8520,10.0317,4.0146,0.0679,
1741-038,24347,57921.11736,8520,22.4555,4.2037,0.0327,
1741-038,15203,57947.0795,8520,14.7901,4.2943,0.0373,
1741-038,222827,57981.94005,8520,24.8095,4.2105,0.0274,
1741-038,230609,57981.96623,8520,18.9712,4.223,0.0634,
1741-038,233550,57981.98684,8520,14.086,4.1196,0.0473,
1741-038,204436,58013.86793,8520,21.4678,4.3178,0.032,
1741-038,200911,58323.84246,4835,48.9071,3.3588,0.0347,
1741-038,1752,58325.01516,4835,22.9758,3.2143,0.0424,
1741-038,132326,58382.56069,4835,28.5708,3.5163,0.0531,
1741-038,90058,58159.38202,24100,37.3653,3.3954,0.2106,
1741-038,55952,58160.25509,24100,38,3.9523,0.1382,
1741-038,42531,58224.19074,24100,38.9437,3.6556,0.1343,
1741-038,24334,58254.11994,24100,37.6896,4.0313,0.2879,
1741-038,4038,58290.03457,24100,35.9667,3.8061,0.4005,
1741-038,183754,58383.78267,24100,35.2606,3.5334,0.4145,
1741-038,163910,58403.70022,24100,38.8448,2.9358,0.1182,
1741-038,134229,58435.57752,24100,41.3533,3.4086,0.1197,
1741-038,112004,58467.47392,24100,41.6383,3.589,0.1197,
1741-038,114120,58159.49068,8520,16.5296,3.809,0.0281,
1741-038,205111,58383.87251,8520,17.4102,3.6007,0.0339,
1741-038,184650,58403.78446,8520,24.5082,3.1354,0.0381,
1741-038,193241,58406.81798,8520,15.4521,3.2829,0.0306,
1741-038,200222,58406.83839,8520,10.0625,3.2245,0.0332,
1741-038,162709,58435.68915,8520,26.5966,3.4157,0.0309,
1741-038,170416,58435.71493,8520,21.0078,3.4326,0.033,
1741-038,120850,58467.50784,8520,40.4524,3.3405,0.0304,
1741-038,63641,58532.27712,24100,41.2294,4.3097,0.0906,
1741-038,31830,58589.1395,24100,41.6292,4.6741,0.1064,
1741-038,235758,58626.00023,24100,39.9648,5.1027,0.133,
1741-038,4756,58626.03494,24100,41.6057,5.0745,0.139,
1741-038,235424,58658.99776,24100,39.2063,4.8824,0.1977,
1741-038,214201,58687.90583,24100,40.3069,4.7776,0.1921,
1741-038,200548,58709.83901,24100,40.7651,5.4987,0.1639,
1741-038,173201,58757.73222,24100,38.7127,5.4101,0.2088,
1741-038,74708,58532.32611,8520,40.7326,3.7824,0.0299,
1741-038,42543,58589.18622,8520,39.5141,3.9743,0.0341,
1741-038,15857,58626.08429,8520,39.5992,4.0525,0.104,
1741-038,4252,58659.03147,8305,34.9916,3.9902,0.0406,
1741-038,14619,58659.07553,8305,27.0188,3.997,0.0505,
1741-038,223128,58687.94022,8305,36.7336,4.1203,0.0474,
1741-038,205917,58709.8762,8520,37.2556,4.3066,0.0326,
1741-038,182701,58757.77046,8520,33.5024,4.3313,0.0843,
1741-038,165745,58776.70847,8305,35.1129,4.4362,0.0634,
1741-038,180213,58776.75325,8305,27.0355,4.4179,0.0653,
1741-038,144559,58808.61698,8305,35.7194,4.2694,0.0473,
1741-038,35242,58959.16308,6075,45.6431,4.3459,0.0337,
1741-038,201748,59072.84734,24100,40.63,5.6209,0.2302,0.0494
1741-038,210915,59072.88312,8305,37.1555,4.6229,0.0599,
1741-038,192837,59103.81323,8305,35.0661,4.7338,0.0422,
1741-038,203243,59103.85776,8305,27.0254,4.6922,0.0447,
1741-038,184047,59103.77997,24100,39.2153,5.5916,0.2021,
1741-038,174421,59130.74084,8305,34.8603,4.572,0.04,
1741-038,184624,59130.78392,8305,27.0478,4.5969,0.0496,
1741-038,162603,59130.6864,24100,40.7889,5.7097,0.1481,
1741-038,151954,59164.64051,8305,35.9776,4.8287,0.0435,
1741-038,162500,59164.68572,8305,28.1307,4.8777,0.0475,
1741-038,121503,59198.5121,24100,39.9796,7.3251,0.1677,
1741-038,130413,59198.5463,8305,36.1738,4.7312,0.0408,
1741-038,140919,59198.5915,8305,28.4048,4.7001,0.0441,
1741-038,110625,59230.46449,8305,35.3634,5.1308,0.0436,
1741-038,121316,59230.51092,8305,27.0386,5.0834,0.0493,
1741-038,100209,59230.41981,24100,40.3593,7.5769,0.1506,
1741-038,94758,59261.41,8305,30.2389,5.4993,0.0505,
1741-038,84636,59261.36734,24100,37.0443,7.9217,0.1595,
1741-038,65819,59292.29219,8305,35.8096,6.4414,0.0413,
1741-038,55819,59292.25048,24100,40.3634,8.2453,0.2186,
1741-038,64609,59297.28375,8305,35.0322,6.0877,0.0486,
1741-038,54344,59297.24036,24100,40.0936,7.9332,0.1559,
1741-038,25750,59354.12519,8305,35.476,6.4097,0.0468,
1741-038,40545,59354.17236,8305,27.0416,6.4945,0.0404,
1741-038,14919,59354.07756,24100,40.6158,7.8738,0.1956,
1741-038,2213,59391.01712,8305,36.4873,6.276,0.0485,
1741-038,231806,59390.97255,24100,40.8641,7.0785,0.1486,
1741-038,233406,59415.98371,8305,30.8201,6.3787,0.0551,
1741-038,224620,59416.95054,8305,35.865,6.2376,0.0514,
1741-038,235729,59416.99995,8305,27.1252,6.2303,0.0708,
1741-038,214604,59416.90864,24100,40.4035,6.5348,0.3441,
1741-038,204028,59455.86313,8305,32.8429,6.29,0.0495,
1741-038,214500,59455.90795,8305,24.0785,6.3812,0.0555,
1741-038,192714,59455.81223,24100,39.5817,5.5939,0.3169,
1741-038,193102,59481.81492,8305,28.6389,5.9326,0.0645,
1741-038,184206,59482.78094,8305,34.2466,6.0416,0.0552,
1741-038,173750,59482.73625,24100,39.7864,5.6163,0.3167,
1741-038,170059,59506.71071,8305,34.9817,5.7116,0.0439,
1741-038,180431,59506.75484,8305,26.993,5.7387,0.0511,
1741-038,141523,59548.59571,8305,35.0301,5.0248,0.0587,
1741-038,130851,59548.54946,24100,40.3122,4.58,0.1232,
1741-038,124832,59568.53539,8305,35.8799,4.9775,0.0521,
1741-038,135938,59568.58478,8305,27.1512,5.0511,0.0555,
1741-038,113925,59568.48736,24100,40.8121,4.5383,0.1243,
1741-038,100927,59593.42488,24100,40.435,4.2161,0.1529,
1741-038,111906,59593.47329,8305,34.961,5.2808,0.0741,
1741-038,122237,59593.51741,8305,26.9694,5.207,0.075,
1741-038,100927,59593.42488,24100,40.435,4.2161,0.1529,
1741-038,53716,59662.23587,24100,40.4753,3.9868,0.1149,
1741-038,20322,59718.08827,24100,40.0872,3.5499,0.1473,
1741-038,111906,59593.47329,8305,34.961,5.2808,0.0741,
1741-038,122237,59593.51741,8305,26.9694,5.207,0.075,
1741-038,83926,59632.36242,8305,35.6212,5.6384,0.0724,
1741-038,95529,59632.41522,8305,26.0822,5.5452,0.0755,
1741-038,64907,59662.2858,8305,34.822,5.8148,0.0662,
1741-038,75401,59662.33087,8305,26.5887,5.7919,0.0677,
1741-038,50748,59689.21545,8305,34.2945,5.1989,0.0917,
1741-038,61120,59689.25957,8305,26.0911,5.2056,0.0715,
1741-038,30913,59718.13309,8305,34.7946,4.8883,0.0527,
1741-038,41248,59718.17726,8305,26.7405,4.9853,0.0549,
1741-038,223619,59786.94358,8305,34.9696,4.5061,0.0487,
1741-038,234737,59786.99309,8305,25.8636,4.5681,0.0553,
1741-038,194320,59811.82341,24100,40.672,3.2789,0.2442,
1741-038,205106,59811.87052,8305,35.6905,4.234,0.0541,
1741-038,154900,59871.66067,24100,40.6051,3.1968,0.1694,
1741-038,165321,59871.70542,8305,35.8746,4.1653,0.0509,
1741-038,181236,59871.76045,8305,25.9785,4.1232,0.0563,
1741-038,143515,59907.6095,8305,35.5243,3.8402,0.0459,
1741-038,155122,59907.66237,8305,25.9304,3.8893,0.0479,
