Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
0336-019,173823,55916.73828,5125,27.5707,2.8392,0.0622,
0336-019,184734,55916.78516,8305,36.6386,3.2201,0.1442,
0336-019,152520,55943.64453,5125,23.458,2.9622,0.0732,
0336-019,161809,55973.68359,5125,42.6851,3.2179,0.0765,
0336-019,134632,56002.57422,5125,40.114,3.1716,0.1058,
0336-019,113703,56033.48438,5125,39.4574,3.4095,0.1045,
0336-019,90645,56037.38281,5125,21.7919,3.1111,0.1005,
0336-019,102238,56068.43359,5125,43.3231,3.1182,0.0855,
0336-019,90004,56096.37891,5125,43.7435,3.9049,0.0454,
0336-019,92818,56139.39844,5125,26.2972,3.5116,0.0586,
0336-019,230813,56204.96484,5125,31.0823,3.6393,0.0492,
0336-019,20753,56205.08984,5125,43.608,3.6545,0.0773,
0336-019,53515,56205.23438,5125,22.1848,3.8016,0.0705,
0336-019,171723,56272.72266,5125,18.2775,3.9699,0.1543,
0336-019,201731,56272.84766,5125,41.3748,4.1127,0.0607,
0336-019,161518,55943.67969,8305,30.8742,3.1801,0.1469,
0336-019,133812,55973.57031,8305,25.1459,3.0357,0.1643,
0336-019,121527,56002.51172,8305,29.5595,3.1596,0.2614,
0336-019,91447,56033.38672,8305,20.5493,3.3787,0.221,
0336-019,83458,56068.35938,8305,34.907,3.3984,0.2181,
0336-019,123024,56096.52344,8305,24.2926,3.5956,0.2315,
0336-019,22633,56141.10547,8305,23.1794,3.2632,0.16,
0336-019,43516,56141.19141,8305,39.7131,3.3033,0.1826,
0336-019,222121,56175.93359,8305,4.9207,2.5942,0.3212,
0336-019,5045,56176.03906,8305,29.4781,3.1389,0.1924,
0336-019,222617,56272.9375,8305,41.7321,2.5925,0.2079,
0336-019,14942,56273.07812,8305,15.2769,3.3953,0.2345,
0336-019,215319,56314.91797,5125,26.0697,3.8826,0.039,
0336-019,154215,56394.66016,5125,33.9507,3.05,0.0252,
0336-019,133433,56418.57031,5125,37.7752,3.5537,0.0202,
0336-019,115347,56474.5,5125,21.4373,3.4862,0.0267,
0336-019,94310,56489.41016,5125,32.0874,3.2955,0.0244,
0336-019,73924,56511.32422,5125,36.6574,3.36,0.0937,
0336-019,61151,56538.26172,5125,34.4831,3.4321,0.031,
0336-019,221717,56313.93359,8305,23.3568,3.5341,0.1237,
0336-019,154714,56393.66406,8305,33.8166,2.9865,0.1021,
0336-019,134756,56419.57812,8305,36.0279,3.1357,0.1098,
0336-019,114640,56476.49609,8305,21.5239,3.0013,0.1368,
0336-019,100055,56490.42188,8305,29.2696,3.022,0.1425,
0336-019,63146,56539.27734,8305,31.5695,2.9166,0.0846,
0336-019,213319,56678.90284,5075,30.4012,2.7347,0.0589,
0336-019,194208,56701.82488,5075,33.3226,2.6126,0.02,
