Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
0736+017,170208,55973.71484,5125,22.0265,1.3701,0.0982,
0736+017,143125,56002.60547,5125,15.5045,1.1191,0.1053,
0736+017,120922,56033.50781,5125,11.9781,1.0996,0.1074,
0736+017,95334,56096.41406,5125,30.5789,1.0828,0.1022,
0736+017,100124,56139.41797,5125,47.0211,0.8348,0.0706,
0736+017,30154,56205.12891,5125,33.0683,0.9442,0.0372,
0736+017,62851,56205.27344,5125,46.2571,0.644,0.0371,
0736+017,100209,56205.42188,5125,20.1043,0.999,0.1073,
0736+017,175916,55973.75391,8305,31.0404,1.2241,0.1393,
0736+017,151956,56002.64062,8305,23.7359,1.0359,0.2166,
0736+017,131938,56033.55859,8305,23.9987,1.0904,0.1876,
0736+017,142739,56033.60547,8305,34.4126,1.1137,0.1616,
0736+017,122405,56068.51953,8305,36.3192,0.8246,0.239,
0736+017,132414,56096.5625,8305,46.7191,1.1069,0.15,
0736+017,134756,56139.57812,8305,25.686,0.7511,0.1726,
0736+017,81256,56204.34375,8305,37.3211,1.2463,0.2148,
0736+017,95256,56204.41406,8305,22.3125,0.9428,0.1828,
0736+017,231310,56272.96875,8305,38.2382,1.0649,0.1695,
0736+017,24258,56273.11719,8305,43.6113,1.0922,0.1641,
0736+017,61258,56273.26172,8305,13.5189,1.1338,0.241,
0736+017,224450,56314.95312,5125,46.5212,1.1803,0.0282,
0736+017,163433,56394.69531,5125,45.3251,0.8837,0.0295,
0736+017,200423,56394.83984,5125,33.5525,1.0078,0.022,
0736+017,142720,56418.60938,5125,43.0828,0.8313,0.0219,
0736+017,124504,56474.53516,5125,45.7474,0.9633,0.0198,
0736+017,103510,56489.44531,5125,45.9549,0.9662,0.0508,
0736+017,70419,56538.30078,5125,45.1096,1.0112,0.0311,
0736+017,225241,56313.95703,8305,46.512,1.14,0.1259,
0736+017,11053,56314.05078,8305,35.6009,1.1546,0.1222,
0736+017,163939,56393.69922,8305,45.386,0.816,0.0858,
0736+017,123526,56476.53125,8305,46.0374,1.0552,0.1051,
0736+017,105021,56490.45703,8305,46.6474,1.0152,0.1007,
0736+017,93606,56510.40625,8305,46.7079,0.9681,0.0923,
0736+017,72127,56539.3125,8305,46.2367,0.9718,0.0778,
0736+017,221647,56678.93228,5075,46.6094,0.8146,0.0209,
0736+017,4751,56679.03718,5075,39.1532,0.8537,0.0277,
0736+017,230420,56701.96531,5075,40.638,0.7994,0.0348,
0736+017,182704,56744.77275,5075,47.0575,0.8915,0.0247,
0736+017,222633,56679.93898,8305,46.9529,0.7573,0.0359,
0736+017,4952,56680.0385,8305,38.3581,0.731,0.0424,
0736+017,202403,56700.85391,8520,45.4396,0.7789,0.023,
0736+017,225945,56700.96204,8520,41.4689,0.7803,0.0243,
0736+017,184242,56742.78353,8520,46.9998,1.1154,0.0333,
0736+017,211245,57055.88781,5075,45.8625,1.244,0.0293,
0736+017,171702,57102.72411,5075,41.9857,1.3836,0.0433,
0736+017,195336,57102.83284,5075,45.0616,1.3102,0.0376,
0736+017,11410,57371.0558,5075,47.0548,0.9192,0.0534,
0736+017,142923,57161.60924,24600,46.581,1.4878,0.3645,
0736+017,91518,57239.39342,24000,46.4463,1.2688,0.0935,
0736+017,54412,57276.24685,24100,41.8358,1.2852,0.058,
0736+017,12529,57337.06717,24100,39.8036,1.0328,0.0666,
0736+017,213637,57370.90648,24100,26.0333,1.1283,0.0675,
0736+017,201000,57056.84416,8520,41.2534,1.4623,0.0254,
0736+017,181717,57101.76589,8520,46.1558,1.4161,0.0196,
0736+017,205319,57101.87424,8520,39.9384,1.4676,0.0296,
0736+017,141758,57160.59969,8520,45.7982,1.0919,0.0209,
0736+017,170059,57160.71289,8520,39.9762,1.131,0.0282,
0736+017,132021,57239.55984,8520,27.4867,0.9188,0.0291,
0736+017,102649,57276.43934,8520,31.7825,0.9728,0.023,
0736+017,93326,57300.40226,8520,25.4247,1.1824,0.0276,
0736+017,64627,57337.28631,8520,28.8345,1.1012,0.0209,
0736+017,30328,57371.13145,8520,40.8284,1.0482,0.0182,
0736+017,123201,57559.52611,5075,46.7971,1.2059,0.0924,
0736+017,110937,57581.46889,5075,46.8878,1.2839,0.0608,
0736+017,220516,57738.92407,5075,31.4063,0.9885,0.0426,
0736+017,144343,57468.62152,24100,21.9394,0.8867,0.0812,
0736+017,142023,57498.60499,24100,36.2683,1.2252,0.0536,
0736+017,155100,57525.66789,24100,45.6013,1.3233,0.0815,
0736+017,90138,57581.38361,24100,37.2534,1.6985,0.1175,
0736+017,231133,57737.97365,24100,40.4586,1.6164,0.0675,
0736+017,212726,57433.89811,8520,46.8316,0.9938,0.0258,
0736+017,193657,57468.82137,8520,45.8113,0.9663,0.0167,
0736+017,181343,57498.76323,8520,43.438,0.9842,0.0199,
0736+017,104307,57526.45032,8520,18.6816,1.0338,0.0284,
0736+017,115038,57526.49721,8520,29.6925,1.0345,0.0251,
0736+017,130609,57526.54964,8520,39.9159,1.0454,0.0235,
0736+017,140902,57559.59333,8520,43.8345,1.1322,0.0316,
0736+017,161348,57559.67995,8520,28.2669,1.1176,0.0295,
