Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1510-089,165137,55754.70703,5125,29.0745,1.3778,0.0409,
1510-089,144845,55783.62109,5125,28.1072,1.397,0.0451,
1510-089,132739,55812.5625,5125,31.4103,1.5346,0.0469,
1510-089,132811,55826.5625,5125,35.256,1.4388,0.0403,
1510-089,114731,55847.49219,5125,34.271,1.4936,0.0457,
1510-089,100016,55881.42188,5125,35.5976,2.473,0.1044,
1510-089,90751,55896.38281,5125,35.8229,2.8148,0.0828,
1510-089,92335,55896.39453,5125,36.1973,2.7761,0.0952,
1510-089,95403,55908.41406,5125,34.6071,3.2088,0.07,
1510-089,100950,55908.42578,5125,33.6495,3.3072,0.0709,
1510-089,94301,55916.40625,5125,33.2838,3.6557,0.1299,
1510-089,155858,55754.66797,8305,22.653,1.463,0.1436,
1510-089,140130,55770.58594,8305,14.5066,0.9497,0.2986,
1510-089,161929,55783.68359,8305,35.3547,1.4917,0.1373,
1510-089,155924,55826.66797,8305,31.4841,1.8441,0.1897,
1510-089,130951,55847.55078,8305,36.204,2.2876,0.1309,
1510-089,115850,55881.50391,8305,33.4146,3.9511,0.1679,
1510-089,82603,55896.35547,8305,33.6988,4.3029,0.2017,
1510-089,84139,55896.36719,8305,34.6936,4.3781,0.2065,
1510-089,80728,55908.33984,8305,35.3311,4.8602,0.2111,
1510-089,82314,55908.35156,8305,35.8984,4.9493,0.2093,
1510-089,104148,55916.44922,8305,27.7094,5.2249,0.2116,
1510-089,94954,55930.41406,5125,27.3387,3.7897,0.0819,
1510-089,75932,55943.33594,5125,33.0837,3.9887,0.0645,
1510-089,55536,55974.25,5125,33.2365,4.0194,0.1016,
1510-089,214914,56002.91406,5125,5.4869,4.2313,0.1268,
1510-089,213649,56042.90234,5125,26.9837,4.913,0.0882,
1510-089,230803,56042.96875,5125,34.917,4.9412,0.109,
1510-089,3310,56043.02734,5125,35.8894,4.8953,0.0889,
1510-089,20907,56043.09375,5125,29.1841,5.0044,0.0806,
1510-089,172510,56068.73047,5125,4.7081,4.7412,0.0859,
1510-089,181833,56068.76562,5125,13.4968,5.0692,0.0728,
1510-089,174130,56096.74219,5125,24.1246,4.8374,0.0646,
1510-089,185306,56140.78906,5125,33.6598,3.7836,0.0462,
1510-089,154350,56175.66016,5125,36.0566,3.4389,0.0524,
