Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
0954+658,134939,55916.57812,5125,20.9739,1.0877,0.0844,
0954+658,164634,55916.70312,5125,21.7957,1.3107,0.2262,
0954+658,144536,55916.61719,8305,20.081,0.9776,0.1408,
0954+658,154421,55916.66016,8305,20.2942,0.9814,0.1358,
0954+658,95653,55943.41797,5125,26.7218,1.061,0.0756,
0954+658,103236,56033.44141,5125,25.8435,1.1223,0.309,
0954+658,75634,56037.33203,5125,20.4025,0.9028,0.1299,
0954+658,100128,56037.41797,5125,24.9505,0.8962,0.2434,
0954+658,153302,56068.65234,5125,65.4854,0.9244,0.0456,
0954+658,112120,56139.47656,5125,67.1686,0.854,0.041,
0954+658,213957,56204.90625,5125,21.4236,0.6202,0.1428,
0954+658,10547,56205.04688,5125,33.9161,0.7399,0.0481,
0954+658,83145,56205.35938,5125,68.7504,0.7285,0.0405,
0954+658,120915,56205.50781,5125,51.5489,0.7577,0.0442,
0954+658,110050,56250.46094,5125,40.4939,0.7865,0.0481,
0954+658,153558,56272.65234,5125,20.0238,0.806,0.1474,
0954+658,123614,55943.52734,8305,20.3231,0.9075,0.1194,
0954+658,110927,56002.46875,8305,21.7968,0.939,0.2518,
0954+658,80432,56033.33984,8305,20.2881,0.7847,0.1909,
0954+658,132001,56068.55859,8305,53.1728,1.0298,0.1612,
0954+658,152250,56096.64453,8305,68.9886,1.1363,0.1904,
0954+658,130401,56139.54688,8305,68.3956,0.8827,0.1608,
0954+658,135738,56175.58203,8305,52.5367,0.8412,0.1746,
0954+658,232849,56175.98047,8305,21.2715,0.5417,0.1808,
0954+658,90449,56204.37891,8305,67.7601,0.8844,0.1611,
0954+658,112017,56204.47656,8305,56.9669,0.7925,0.1685,
0954+658,143246,56204.60938,8305,37.53,1.0056,0.1947,
0954+658,134148,56250.57422,8305,27.0849,0.5964,0.1856,
0954+658,10407,56273.04688,8305,60.161,1.1636,0.1918,
0954+658,44117,56273.19922,8305,67.3914,0.7672,0.18,
0954+658,2816,56315.02344,5125,69.1793,0.9338,0.0225,
0954+658,181714,56394.76562,5125,66.476,1.259,0.0465,
0954+658,160854,56418.67969,5125,63.8779,1.0662,0.016,
0954+658,143751,56474.61328,5125,69.4529,0.9928,0.0217,
0954+658,121804,56489.51953,5125,67.3865,0.9804,0.0227,
0954+658,84646,56538.37109,5125,66.1876,0.9135,0.0397,
0954+658,3,56314.00391,8305,67.7724,1.0135,0.0862,
0954+658,182217,56393.76953,8305,66.5519,1.3607,0.182,
0954+658,161641,56419.68359,8305,64.6674,1.2333,0.095,
0954+658,142443,56476.60547,8305,69.3001,1.043,0.1033,
0954+658,122944,56490.52734,8305,68.0118,0.9565,0.0949,
0954+658,111528,56510.47266,8305,68.2083,1.0413,0.086,
0954+658,90032,56539.37891,8305,67.141,0.9483,0.0795,
0954+658,194632,56744.82832,5075,67.43,1.1472,0.0336,
0954+658,234328,56679.99252,8305,66.4631,1.4777,0.0525,
0954+658,214029,56700.90712,8520,63.5189,1.2138,0.0276,
