Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
0235+164,172413,55916.72656,5125,49.1955,1.1096,0.0737,
0235+164,183337,55916.77734,8305,58.2665,1.1029,0.1249,
0235+164,151100,55943.63672,5125,44.9229,1.0928,0.0607,
0235+164,160503,55973.67188,5125,62.1382,1.0231,0.107,
0235+164,134208,56002.57422,5125,61.5717,0.9941,0.0868,
0235+164,90230,56037.37891,5125,44.8547,1.104,0.0843,
0235+164,85549,56096.375,5125,59.7201,1.082,0.0357,
0235+164,92417,56139.39453,5125,30.3468,1.056,0.054,
0235+164,230358,56204.96484,5125,54.1284,0.9919,0.0332,
0235+164,20335,56205.08984,5125,58.2196,1.0165,0.0276,
0235+164,53114,56205.23047,5125,25.639,1.0152,0.0823,
0235+164,145418,56272.625,5125,16.7898,0.8733,0.0931,
0235+164,171307,56272.71875,5125,41.2847,1.0636,0.0558,
0235+164,201308,56272.84375,5125,62.0651,1.0209,0.0324,
0235+164,140441,55943.58984,8305,33.6054,1.0163,0.1268,
0235+164,132427,55973.5625,8305,46.6782,0.9112,0.1375,
0235+164,121112,56002.51172,8305,52.649,1.0107,0.1759,
0235+164,91031,56033.38281,8305,43.5933,1.0501,0.1848,
0235+164,82111,56068.35156,8305,56.6268,1.1257,0.1235,
0235+164,122623,56096.51953,8305,28.0204,1.1105,0.194,
0235+164,224348,56140.94922,8305,8.1253,1.0226,0.1831,
0235+164,43053,56141.19141,8305,61.3538,0.9605,0.1406,
0235+164,4630,56176.03516,8305,52.566,1.0662,0.1407,
0235+164,182334,56204.76953,8305,6.6502,0.987,0.2712,
0235+164,135526,56272.58203,8305,6.5163,0.8394,0.1801,
0235+164,222209,56272.93359,8305,52.6344,0.9896,0.1597,
0235+164,13910,56273.07031,8305,19.3365,1.0105,0.1927,
0235+164,121812,56315.51953,5125,19.1957,1.1467,0.0628,
0235+164,63202,56395.27734,5125,13.5884,0.8491,0.0413,
0235+164,12120,56490.0625,5125,24.7659,0.8413,0.0416,
0235+164,143821,56643.61391,5075,17.7028,0.9997,0.0986,
