Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
0323+342,62032,57240.28087,24000,74.13,0.3271,0.0467,
0323+342,35747,57276.18172,24100,74.3139,0.4082,0.0284,
0323+342,235502,57337.01314,24100,74.7378,0.3513,0.0319,
0323+342,195217,57370.84459,24100,75.8286,0.3014,0.0218,
0323+342,25652,57240.13117,8520,58.7957,0.3421,0.025,
0323+342,3048,57276.02975,8520,57.9926,0.3946,0.0127,
0323+342,202936,57336.86225,8520,57.7473,0.2693,0.0124,
0323+342,184148,57370.78738,8520,62.3296,0.3299,0.0133,
0323+342,131514,57498.55322,24100,77.7467,0.4242,0.2588,
0323+342,170939,57400.72339,8520,66.8148,0.3927,0.0142,
0323+342,102416,57498.43451,8520,61.5872,0.2901,0.0535,
0323+342,93646,57526.40819,8520,73.5615,0.2866,0.0164,
0323+342,13435,57582.07332,8520,28.2112,0.3394,0.0169,
0323+342,35203,57582.16881,8520,52.1531,0.3669,0.0162,
0323+342,190225,57777.7997,24100,76.0399,0.3232,0.0312,
0323+342,184404,57778.78696,24100,77.7487,0.4021,0.0325,
0323+342,75158,57947.33411,24100,76.3078,0.3466,0.0611,
0323+342,531,58043.0102,24100,76.9113,0.4229,0.0372,
0323+342,35645,58043.17076,24100,52.5313,0.4279,0.04,
0323+342,120125,57837.50462,8520,61.0777,0.3783,0.0204,
0323+342,91124,57875.38656,8520,57.4587,0.2899,0.0383,
0323+342,41456,57947.18069,8520,55.048,0.432,0.0211,
0323+342,40530,57982.17413,8520,76.3137,0.3804,0.0492,
0323+342,202855,58136.85977,24100,66.3512,0.358,0.0562,
0323+342,114922,58254.49898,24100,75.1903,0.3283,0.0491,
0323+342,72800,58290.31747,24100,73.8516,0.5819,0.1434,
0323+342,2423,58434.0233,24100,71.809,0.276,0.0845,
0323+342,142715,58159.6059,8520,56.7982,0.3697,0.0185,
0323+342,105537,58224.45894,8520,64.5501,0.3495,0.0205,
0323+342,34859,58290.16267,8520,35.0219,0.3689,0.0308,
0323+342,1753,58383.01606,8520,62.3221,0.3034,0.017,
0323+342,224241,58406.94996,8520,62.1747,0.269,0.0185,
0323+342,204221,58438.86639,8520,63.1366,0.3016,0.0257,
