Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
1730-130,125541,55916.54297,5125,24.8361,4.5387,0.148,
1730-130,85648,55943.375,5125,32.3905,4.4563,0.0644,
1730-130,95416,55973.41406,5125,19.8003,4.3963,0.1142,
1730-130,185855,56140.79297,5125,30.8259,4.273,0.0628,
1730-130,164609,56175.69922,5125,31.0677,3.7888,0.0726,
1730-130,194157,56175.82422,5125,26.1167,4.5649,0.2931,
1730-130,124730,56205.53516,5125,19.9651,4.0454,0.0585,
1730-130,134420,56205.57422,5125,26.4002,4.0874,0.0417,
1730-130,114539,56250.49219,5125,30.7873,4.3592,0.1062,
1730-130,101942,56272.43359,5125,30.8147,4.8789,0.1034,
1730-130,114458,55943.49219,8305,20.7218,4.3214,0.1431,
1730-130,85312,55973.375,8305,26.6787,4.3151,0.1919,
1730-130,211140,56140.88672,8305,29.8526,4.656,0.1954,
1730-130,230913,56140.96875,8305,17.548,4.6926,0.2703,
1730-130,2003,56141.01953,8305,6.9504,4.1496,0.1629,
1730-130,213731,56175.90234,8305,11.2488,3.8719,0.2842,
1730-130,115755,56204.5,8305,12.4785,4.1494,0.2264,
1730-130,151945,56204.64062,8305,32.0686,4.1036,0.23,
1730-130,164828,56204.70312,8305,30.5553,4.4077,0.2103,
1730-130,184850,56204.78906,8305,18.7249,4.4876,0.2372,
1730-130,142111,56250.60156,8305,28.428,2.7754,0.2075,
1730-130,124301,56272.53125,8305,29.314,2.7195,0.174,
1730-130,91235,56315.39062,5125,31.0185,4.5419,0.0209,
1730-130,31238,56395.14062,5125,31.8924,4.3664,0.0194,
1730-130,65429,56395.29297,5125,13.2629,4.4473,0.0296,
1730-130,10400,56419.05078,5125,31.3344,4.5303,0.0252,
1730-130,220404,56489.92578,5125,30.0984,4.0444,0.0355,
1730-130,190749,56511.80078,5125,31.5921,4.4477,0.0339,
1730-130,171536,56538.72266,5125,31.4382,4.2944,0.0344,
1730-130,120805,56643.50957,5075,30.2591,4.7903,0.0931,
1730-130,32150,56394.14453,8305,31.8833,4.5425,0.187,
1730-130,10801,56420.05078,8305,31.7394,4.5084,0.1005,
1730-130,224313,56475.95312,8305,31.0896,5.0076,0.1015,
1730-130,20900,56476.09375,8305,8.4749,4.2892,0.2288,
1730-130,210421,56490.88281,8305,32.0659,4.1137,0.1126,
1730-130,3746,56491.02734,8305,14.2069,3.6966,0.2373,
1730-130,190855,56510.80469,8305,31.709,4.5684,0.1032,
1730-130,172414,56539.73047,8305,31.9133,4.5861,0.1055,
1730-130,91105,56679.38666,5075,31.8732,5.2521,0.0245,
1730-130,73109,56702.31726,5075,32.1232,5.0647,0.0213,
1730-130,45134,56745.20643,5075,31.8744,3.6569,0.0247,
1730-130,73045,56745.31697,5075,17.5897,3.7734,0.0402,
1730-130,103802,56680.44705,8520,25.7568,4.9795,0.0378,
1730-130,70337,56701.29813,8520,32.3685,5.1112,0.0345,
1730-130,45411,56743.20825,8520,32.023,4.3058,0.0327,
1730-130,70239,57056.29745,5075,31.3495,4.5357,0.0323,
1730-130,50523,57103.21603,5075,32.225,4.6947,0.0352,
1730-130,75216,57103.33192,5075,18.5347,4.7209,0.0708,
1730-130,10419,57162.04926,5075,32.337,4.5969,0.0562,
1730-130,200539,57239.84154,5075,32.2365,4.3087,0.0742,
1730-130,204353,57238.87162,24000,30.8116,2.6383,0.1418,
1730-130,181936,57276.77143,24100,30.5329,3.3017,0.1008,
1730-130,150101,57300.63353,24100,31.695,3.2964,0.1091,
1730-130,154148,57337.66186,24100,23.407,3.2334,0.1505,
1730-130,105525,57371.46295,24100,32.3761,4.5684,0.1235,
1730-130,73033,57057.31683,8520,32.2694,4.0717,0.0646,
1730-130,101809,57057.43297,8520,22.9534,4.1007,0.0396,
1730-130,50527,57102.21607,8520,32.2847,4.3091,0.0279,
1730-130,75649,57102.33508,8520,18.4523,4.194,0.0342,
1730-130,215122,57239.91474,8520,25.7665,4.0172,0.0277,
1730-130,171724,57275.72446,8520,32.3659,3.8598,0.0309,
1730-130,192433,57300.81275,8520,14.0932,3.9535,0.0933,
1730-130,104729,57720.45339,5075,29.2136,4.6373,0.0443,
1730-130,85759,57739.37735,5075,26.2482,4.7807,0.0638,
1730-130,22057,57469.1057,24100,24.7008,3.4658,0.1014,
1730-130,10649,57499.05387,24100,28.7143,3.6672,0.0936,
1730-130,15144,57526.08508,24100,30.8261,3.8016,0.1043,
1730-130,215145,57559.91841,24100,31.4036,3.5815,0.1653,
1730-130,195023,57581.83413,24100,29.4458,3.4641,0.3611,
1730-130,143139,57737.61261,24100,14.8678,3.0446,0.1787,
1730-130,233841,57581.98891,8520,24.149,3.893,0.0389,
1730-130,90331,57721.38108,8520,18.7421,4.584,0.031,
1730-130,91445,57738.38887,8520,27.4943,4.513,0.0309,
1730-130,111113,57778.47247,24100,20.3851,3.4327,0.1688,
1730-130,60009,57779.25645,24100,24.6852,3.7997,0.0809,
1730-130,53405,57837.23836,24100,30.4125,3.5949,0.1063,
1730-130,224731,57920.95601,24100,32.3458,3.8883,0.2885,
1730-130,211715,57946.89335,24100,32.3958,4.3857,0.1478,
1730-130,185947,57981.79786,24100,32.3982,3.8105,0.1505,
