Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
2223-052,31627,57947.14005,8520,38.5106,3.8926,0.0224,
2223-052,60509,57947.2572,8520,18.1363,3.8781,0.0316,
2223-052,31135,57982.13667,8520,23.6799,3.7721,0.0317,
2223-052,1052,58013.01118,8520,31.6112,3.8584,0.087,
2223-052,203344,58323.85951,4835,12.618,4.3486,0.0427,
2223-052,3827,58325.02944,4835,47.6171,4.4281,0.0351,
2223-052,104121,58159.45173,24100,36.827,2.5163,0.0647,
2223-052,60016,58224.25653,24100,34.4234,2.6278,0.0962,
2223-052,45548,58254.21177,24100,38.8127,2.7345,0.1095,
2223-052,60244,58254.25825,24100,40.6007,2.8042,0.1126,
2223-052,195556,58383.83687,24100,36.7437,3.3907,0.4029,
2223-052,180113,58403.75719,24100,33.2113,2.6483,0.1127,
2223-052,150439,58435.63457,24100,26.8439,2.506,0.11,
2223-052,140615,58467.58932,24100,34.2788,2.7959,0.0941,
2223-052,132848,58159.5653,8520,37.8508,3.7453,0.024,
2223-052,95633,58224.41791,8520,33.9377,3.9672,0.0285,
2223-052,75630,58254.33454,8520,34.1706,4.0528,0.027,
2223-052,30013,58290.12877,8520,39.8607,4.1801,0.0751,
2223-052,231903,58382.97519,8520,35.1951,3.8751,0.0304,
2223-052,214350,58406.90906,8520,35.2813,3.9,0.0299,
2223-052,194329,58438.82549,8520,34.7376,4.037,0.0495,
2223-052,142953,58467.60579,8520,36.4637,3.8617,0.0332,
2223-052,94937,58532.4111,24100,34.1683,2.7572,0.1276,
2223-052,81053,58557.34254,24100,34.118,2.8216,0.0931,
2223-052,62005,58589.2656,24100,35.6127,2.8826,0.1057,
2223-052,40125,58626.16931,24100,36.2344,2.708,0.2626,
2223-052,34406,58659.15727,24100,40.4645,2.951,0.1427,
2223-052,15623,58688.08246,24100,40.3297,2.7674,0.1521,
2223-052,3234,58710.02426,24100,40.263,2.9866,0.1479,
2223-052,212249,58757.89249,24100,40.2879,2.7389,0.1346,
2223-052,180137,58808.75277,24100,40.3049,2.4834,0.168,
2223-052,102617,58532.43661,8520,37.4436,4.0397,0.0373,
2223-052,84023,58557.36307,8520,36.8339,4.1073,0.0355,
2223-052,64356,58589.28221,8520,37.5778,4.281,0.0362,
2223-052,43808,58659.1987,8305,37.7009,4.5933,0.0327,
2223-052,24705,58688.1216,8305,37.4772,4.3288,0.031,
2223-052,12128,58710.06213,8520,37.4123,4.4348,0.0265,
2223-052,221744,58757.93457,8520,37.0117,4.4194,0.0642,
2223-052,205958,58776.88054,8305,37.2604,4.2052,0.0339,
2223-052,185610,58808.79458,8305,37.0971,4.1438,0.0277,
2223-052,133238,58908.5658,6075,35.2362,4.3781,0.0162,
2223-052,93907,58960.40371,6075,38.8666,4.4481,0.0276,
2223-052,151003,58908.63328,23840,19.7591,3.461,0.031,
2223-052,2812,59073.02123,24100,40.5427,2.6019,0.1962,
2223-052,11614,59073.05851,8305,38.4204,4.3342,0.0294,
2223-052,232459,59103.98125,8305,37.6796,4.29,0.0279,
2223-052,224248,59103.94804,24100,40.1783,2.9405,0.1417,
2223-052,214543,59130.91232,8305,37.1451,4.4583,0.0277,
2223-052,205040,59130.87017,24100,40.3392,2.7114,0.1137,
2223-052,192112,59164.81196,8305,37.9654,4.3784,0.0233,
2223-052,162235,59197.684,24100,40.4404,2.6664,0.116,
2223-052,171959,59197.72777,8305,37.328,4.0497,0.0325,
2223-052,190838,59197.7996,8305,25.0936,4.2771,0.0504,
2223-052,150616,59230.63492,8305,37.6298,4.0495,0.029,
2223-052,165500,59230.71041,8305,25.3241,4.0253,0.0325,
2223-052,142316,59230.60114,24100,40.182,2.6619,0.0927,
2223-052,131641,59261.55881,8305,36.6455,4.1364,0.0284,
2223-052,150520,59261.63427,8305,23.5363,4.1489,0.0312,
2223-052,121445,59261.51189,24100,40.3671,2.5796,0.1079,
2223-052,110555,59292.46802,8305,37.3678,4.0019,0.0232,
2223-052,105103,59297.45767,8305,36.9881,4.283,0.0295,
2223-052,70105,59354.29798,8305,37.4556,4.2345,0.0276,
2223-052,61232,59354.26036,24100,40.2823,2.7054,0.1367,
2223-052,43355,59391.19579,8305,37.586,4.1861,0.0323,
2223-052,23931,59391.11243,24100,39.788,2.4488,0.1427,
2223-052,41111,59391.17608,24100,39.333,2.6065,0.1071,
2223-052,25100,59416.12432,8305,37.9286,4.2704,0.0402,
2223-052,20919,59416.09145,24100,40.2613,2.4601,0.2165,
2223-052,1904,59455.0188,8305,37.8298,4.169,0.0734,
2223-052,1955,59456.01941,8305,37.4697,4.0077,0.03,
