Name,HHMMSS,# MJD,Freq (MHz),Elev (deg),Flux (Jy),e_flux (Jy),Unnamed: 7
2230+114,162223,55916.6875,5125,56.0421,4.2432,0.0645,
2230+114,152012,55916.64062,8305,56.9929,3.1968,0.1088,
2230+114,103005,55943.44141,5125,35.4832,4.3348,0.0626,
2230+114,153322,55973.65234,5125,33.3551,4.2649,0.0903,
2230+114,131148,56002.55078,5125,38.2044,4.2104,0.0955,
2230+114,110230,56033.46094,5125,39.4059,4.2124,0.0911,
2230+114,82753,56037.35547,5125,56.0608,3.8963,0.0942,
2230+114,14437,56043.07422,5125,12.2154,4.2476,0.1034,
2230+114,82332,56096.35156,5125,24.2508,4.6583,0.0745,
2230+114,191804,56140.80469,5125,11.7218,4.099,0.0948,
2230+114,170516,56175.71484,5125,12.5832,3.7636,0.103,
2230+114,200533,56175.83984,5125,43.4877,3.8577,0.0778,
2230+114,200156,56204.83594,5125,55.9567,3.9401,0.0373,
2230+114,222343,56204.93359,5125,51.1053,4.1148,0.0373,
2230+114,110439,56272.46484,5125,16.2913,4.5,0.0852,
2230+114,163142,56272.69141,5125,57.1511,4.0679,0.0424,
2230+114,193448,56272.81641,5125,36.8149,4.1135,0.043,
2230+114,130840,55943.55078,8305,55.8464,3.0474,0.0973,
2230+114,125104,55973.53906,8305,55.2452,2.934,0.137,
2230+114,113714,56002.48438,8305,51.6188,3.2966,0.2624,
2230+114,83549,56033.35938,8305,56.4649,3.2255,0.1792,
2230+114,74733,56068.32812,8305,47.7391,3.4403,0.2735,
2230+114,11520,56048.05469,8305,10.505,3.0312,0.2066,
2230+114,201933,56140.84766,8305,22.6964,3.0112,0.1831,
2230+114,221824,56140.92969,8305,42.7579,3.2324,0.1782,
2230+114,358,56141.00391,8305,55.3277,3.0731,0.1518,
2230+114,11448,56141.05469,8305,57.0588,2.9594,0.1182,
2230+114,40045,56141.16797,8305,38.9542,3.1988,0.167,
2230+114,215556,56175.91797,8305,55.9552,2.8799,0.1543,
2230+114,1232,56176.01172,8305,51.6966,2.9763,0.1781,
2230+114,154557,56204.66016,8305,18.7809,2.8805,0.1943,
2230+114,175256,56204.74609,8305,40.6143,3.1483,0.217,
2230+114,150335,56250.62891,8305,42.4113,2.2709,0.2829,
2230+114,132907,56272.5625,8305,41.1765,2.4862,0.1848,
2230+114,214210,56272.90625,8305,14.5268,2.9625,0.232,
2230+114,113938,56315.49219,5125,49.5488,4.1739,0.0209,
2230+114,55249,56395.25,5125,45.2546,4.3545,0.0218,
2230+114,34440,56419.16016,5125,40.16,4.0289,0.058,
2230+114,3934,56490.03125,5125,52.6476,4.626,0.0222,
2230+114,214817,56511.91406,5125,41.6053,4.606,0.0604,
2230+114,195615,56538.83594,5125,40.6941,4.5899,0.0486,
2230+114,141301,56643.59631,5075,50.3518,4.3139,0.0236,
2230+114,104403,56314.44922,8305,40.7175,3.5564,0.11,
2230+114,60200,56394.25781,8305,45.9952,4.0429,0.1063,
2230+114,34105,56420.16016,8305,40.2868,4.01,0.1165,
2230+114,11101,56476.05469,8305,50.19,4.0641,0.1037,
2230+114,233706,56490.98828,8305,45.5876,4.086,0.1087,
2230+114,214204,56510.91016,8305,40.0902,4.2343,0.1121,
2230+114,195722,56539.83594,8305,41.5543,4.0546,0.0988,
2230+114,94127,56702.40774,5075,45.0434,4.2801,0.023,
2230+114,102344,56702.43711,5075,50.6778,4.2331,0.0306,
2230+114,65638,56745.29328,5075,45.6556,4.259,0.0513,
2230+114,91738,56745.38912,5075,57.2815,4.0722,0.0353,
2230+114,150059,56679.6297,8520,52.4931,3.3439,0.0306,
2230+114,91415,56701.38886,8520,40.2909,3.3787,0.027,
2230+114,103545,56701.44546,8520,51.6119,3.3234,0.0284,
2230+114,85820,57056.3778,5075,30.9131,4.3555,0.0319,
2230+114,102635,57056.43908,5075,45.1749,4.3523,0.0376,
2230+114,71547,57103.30659,5075,44.2937,4.3746,0.0237,
2230+114,33543,57162.15441,5075,46.1542,4.3488,0.0549,
2230+114,210229,57239.88104,5075,32.3054,4.5981,0.0564,
